player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Collin Sexton,1629012,2025-11-23,CHA @ ATL,L,36.0,8,16,0.5,1,6,0.167,5,6,0.833,0,0,0,4,0,0,3,3,22,-3,ATL,AWAY,Collin Sexton
Collin Sexton,1629012,2025-11-22,CHA vs. LAC,L,23.0,7,13,0.538,0,0,0.0,4,4,1.0,1,2,3,4,0,0,2,1,18,-18,LAC,HOME,Collin Sexton
Collin Sexton,1629012,2025-11-19,CHA @ IND,L,25.0,4,13,0.308,0,3,0.0,3,3,1.0,0,0,0,5,1,0,2,2,11,-6,IND,AWAY,Collin Sexton
Collin Sexton,1629012,2025-11-17,CHA @ TOR,L,28.0,5,12,0.417,2,6,0.333,5,6,0.833,1,2,3,2,0,0,1,1,17,-4,TOR,AWAY,Collin Sexton
Collin Sexton,1629012,2025-11-15,CHA vs. OKC,L,30.0,5,13,0.385,3,6,0.5,0,0,0.0,1,3,4,3,1,0,3,2,13,-20,OKC,HOME,Collin Sexton
Collin Sexton,1629012,2025-11-14,CHA @ MIL,L,16.0,4,7,0.571,2,3,0.667,4,4,1.0,0,1,1,4,0,0,1,2,14,-12,MIL,AWAY,Collin Sexton
Collin Sexton,1629012,2025-11-12,CHA vs. MIL,W,32.0,5,14,0.357,1,5,0.2,5,6,0.833,0,5,5,8,2,0,3,1,16,29,MIL,HOME,Collin Sexton
Collin Sexton,1629012,2025-11-10,CHA vs. LAL,L,26.0,4,9,0.444,1,3,0.333,4,4,1.0,0,0,0,3,1,0,4,4,13,-16,LAL,HOME,Collin Sexton
Collin Sexton,1629012,2025-11-04,CHA @ NOP,L,30.0,6,14,0.429,2,6,0.333,3,4,0.75,0,0,0,5,1,0,5,2,17,12,NOP,AWAY,Collin Sexton
Collin Sexton,1629012,2025-11-02,CHA vs. UTA,W,29.0,4,11,0.364,1,4,0.25,1,1,1.0,1,3,4,12,0,0,6,2,10,17,UTA,HOME,Collin Sexton
Collin Sexton,1629012,2025-11-01,CHA vs. MIN,L,20.0,2,7,0.286,0,3,0.0,5,5,1.0,0,2,2,2,0,0,2,1,9,-22,MIN,HOME,Collin Sexton
Collin Sexton,1629012,2025-10-30,CHA vs. ORL,L,25.0,5,7,0.714,3,4,0.75,6,8,0.75,0,2,2,4,0,0,3,5,19,3,ORL,HOME,Collin Sexton
Collin Sexton,1629012,2025-10-28,CHA @ MIA,L,27.0,7,11,0.636,2,2,1.0,2,2,1.0,1,4,5,6,0,0,4,2,18,6,MIA,AWAY,Collin Sexton
Collin Sexton,1629012,2025-10-26,CHA @ WAS,W,33.0,7,10,0.7,0,1,0.0,6,7,0.857,0,2,2,3,2,0,3,2,20,4,WAS,AWAY,Collin Sexton
Collin Sexton,1629012,2025-10-25,CHA @ PHI,L,30.0,7,13,0.538,3,5,0.6,4,6,0.667,0,2,2,7,1,0,1,4,21,-19,PHI,AWAY,Collin Sexton
Collin Sexton,1629012,2025-10-22,CHA vs. BKN,W,17.0,4,9,0.444,1,2,0.5,6,7,0.857,0,1,1,3,1,0,1,2,15,5,BKN,HOME,Collin Sexton
