player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Dalen Terry,1631207,2025-11-21,CHI vs. MIA,L,13.0,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,2,0,0,1,5,0,-11,MIA,HOME,Dalen Terry
Dalen Terry,1631207,2025-11-19,CHI @ POR,W,17.0,3,6,0.5,0,2,0.0,0,1,0.0,2,1,3,5,3,1,1,1,6,16,POR,AWAY,Dalen Terry
Dalen Terry,1631207,2025-11-17,CHI @ DEN,W,18.0,2,4,0.5,1,3,0.333,0,0,0.0,0,3,3,4,0,0,1,2,5,18,DEN,AWAY,Dalen Terry
Dalen Terry,1631207,2025-11-12,CHI @ DET,L,10.0,0,0,0.0,0,0,0.0,1,4,0.25,0,1,1,1,1,0,1,0,1,3,DET,AWAY,Dalen Terry
Dalen Terry,1631207,2025-11-10,CHI vs. SAS,L,2.0,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,2,SAS,HOME,Dalen Terry
Dalen Terry,1631207,2025-11-07,CHI @ MIL,L,5.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,-8,MIL,AWAY,Dalen Terry
Dalen Terry,1631207,2025-11-04,CHI vs. PHI,W,14.0,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,2,0,2,0,4,2,2,PHI,HOME,Dalen Terry
Dalen Terry,1631207,2025-11-02,CHI @ NYK,L,1.0,1,3,0.333,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,3,NYK,AWAY,Dalen Terry
Dalen Terry,1631207,2025-10-25,CHI @ ORL,W,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,ORL,AWAY,Dalen Terry
Dalen Terry,1631207,2025-10-22,CHI vs. DET,W,6.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-10,DET,HOME,Dalen Terry
