player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Daniel Gafford,1629655,2025-11-22,DAL vs. MEM,L,27.0,2,6,0.333,0,0,0.0,1,1,1.0,3,5,8,4,0,2,2,5,5,-13,MEM,HOME,Daniel Gafford
Daniel Gafford,1629655,2025-11-21,DAL vs. NOP,W,25.0,3,5,0.6,0,0,0.0,2,4,0.5,2,5,7,3,3,1,3,2,8,-6,NOP,HOME,Daniel Gafford
Daniel Gafford,1629655,2025-11-19,DAL vs. NYK,L,25.0,2,3,0.667,0,0,0.0,3,4,0.75,2,6,8,2,0,1,1,5,7,-11,NYK,HOME,Daniel Gafford
Daniel Gafford,1629655,2025-11-16,DAL vs. POR,W,31.0,6,8,0.75,0,0,0.0,8,10,0.8,3,3,6,2,1,3,0,4,20,11,POR,HOME,Daniel Gafford
Daniel Gafford,1629655,2025-11-14,DAL vs. LAC,L,27.0,4,7,0.571,0,0,0.0,2,2,1.0,3,5,8,1,1,3,3,5,10,-1,LAC,HOME,Daniel Gafford
Daniel Gafford,1629655,2025-11-12,DAL vs. PHX,L,27.0,6,7,0.857,0,0,0.0,3,5,0.6,1,8,9,0,1,2,2,1,15,0,PHX,HOME,Daniel Gafford
Daniel Gafford,1629655,2025-11-10,DAL vs. MIL,L,23.0,2,8,0.25,0,0,0.0,3,4,0.75,5,3,8,3,1,0,1,4,7,-5,MIL,HOME,Daniel Gafford
Daniel Gafford,1629655,2025-11-08,DAL @ WAS,W,19.0,4,5,0.8,0,0,0.0,0,0,0.0,0,5,5,0,0,2,2,1,8,-2,WAS,AWAY,Daniel Gafford
Daniel Gafford,1629655,2025-11-07,DAL @ MEM,L,12.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-26,MEM,AWAY,Daniel Gafford
Daniel Gafford,1629655,2025-11-05,DAL vs. NOP,L,25.0,6,8,0.75,0,0,0.0,3,3,1.0,4,4,8,0,2,2,2,3,15,8,NOP,HOME,Daniel Gafford
Daniel Gafford,1629655,2025-11-03,DAL @ HOU,L,25.0,7,9,0.778,0,0,0.0,0,0,0.0,3,1,4,1,2,3,0,1,14,1,HOU,AWAY,Daniel Gafford
Daniel Gafford,1629655,2025-11-01,DAL @ DET,L,17.0,2,3,0.667,0,0,0.0,3,3,1.0,1,3,4,3,0,0,0,4,7,1,DET,AWAY,Daniel Gafford
