player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Day'Ron Sharpe,1630549,2025-11-23,BKN @ TOR,L,17.0,2,2,1.0,0,0,0.0,1,4,0.25,1,5,6,1,0,0,2,2,5,-4,TOR,AWAY,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-11-21,BKN @ BOS,W,13.0,1,2,0.5,0,0,0.0,2,3,0.667,1,3,4,1,0,1,3,2,4,-10,BOS,AWAY,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-11-18,BKN vs. BOS,L,18.0,7,10,0.7,0,2,0.0,2,3,0.667,3,4,7,2,3,0,1,3,16,-4,BOS,HOME,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-11-16,BKN @ WAS,W,16.0,2,4,0.5,0,0,0.0,2,2,1.0,1,4,5,3,0,0,2,2,6,9,WAS,AWAY,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-11-14,BKN @ ORL,L,14.0,2,4,0.5,0,1,0.0,0,0,0.0,2,3,5,3,1,0,0,3,4,3,ORL,AWAY,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-11-09,BKN @ NYK,L,12.0,3,3,1.0,0,0,0.0,4,4,1.0,5,1,6,1,1,1,2,1,10,-14,NYK,AWAY,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-11-07,BKN vs. DET,L,17.0,2,3,0.667,1,2,0.5,2,4,0.5,0,4,4,3,0,0,3,4,7,-8,DET,HOME,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-11-05,BKN @ IND,W,14.0,1,5,0.2,0,0,0.0,3,4,0.75,2,5,7,3,0,0,0,0,5,13,IND,AWAY,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-11-03,BKN vs. MIN,L,20.0,1,1,1.0,0,0,0.0,1,4,0.25,5,2,7,0,2,1,3,2,3,-18,MIN,HOME,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-11-02,BKN vs. PHI,L,10.0,0,2,0.0,0,1,0.0,1,2,0.5,1,1,2,0,1,0,1,0,1,-14,PHI,HOME,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-10-29,BKN vs. ATL,L,19.0,1,3,0.333,0,1,0.0,0,0,0.0,4,2,6,4,1,2,2,1,2,-15,ATL,HOME,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-10-27,BKN @ HOU,L,22.0,6,7,0.857,1,2,0.5,4,5,0.8,5,7,12,2,0,0,0,4,17,-10,HOU,AWAY,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-10-26,BKN @ SAS,L,15.0,3,4,0.75,0,1,0.0,0,0,0.0,2,1,3,1,2,0,4,4,6,15,SAS,AWAY,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-10-24,BKN vs. CLE,L,14.0,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,3,1,0,2,3,2,6,CLE,HOME,Day'Ron Sharpe
Day'Ron Sharpe,1630549,2025-10-22,BKN @ CHA,L,14.0,6,7,0.857,1,2,0.5,1,2,0.5,1,3,4,0,1,2,5,5,14,-13,CHA,AWAY,Day'Ron Sharpe
