player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Dennis Schroder,203471,2025-11-22,SAC @ DEN,W,18.0,6,8,0.75,3,3,1.0,6,6,1.0,0,3,3,7,0,0,0,1,21,20,DEN,AWAY,Dennis Schroder
Dennis Schroder,203471,2025-11-20,SAC @ MEM,L,25.0,0,8,0.0,0,4,0.0,3,4,0.75,1,1,2,6,0,1,3,2,3,-16,MEM,AWAY,Dennis Schroder
Dennis Schroder,203471,2025-11-19,SAC @ OKC,L,32.0,9,21,0.429,2,9,0.222,1,3,0.333,2,3,5,3,0,0,4,3,21,-7,OKC,AWAY,Dennis Schroder
Dennis Schroder,203471,2025-11-16,SAC @ SAS,L,35.0,8,13,0.615,5,8,0.625,1,1,1.0,0,6,6,5,1,0,0,3,22,-5,SAS,AWAY,Dennis Schroder
Dennis Schroder,203471,2025-11-14,SAC @ MIN,L,28.0,5,13,0.385,2,6,0.333,2,5,0.4,0,6,6,6,1,0,1,2,14,-8,MIN,AWAY,Dennis Schroder
Dennis Schroder,203471,2025-11-12,SAC vs. ATL,L,26.0,3,8,0.375,2,3,0.667,1,2,0.5,1,2,3,4,1,0,1,0,9,-20,ATL,HOME,Dennis Schroder
Dennis Schroder,203471,2025-11-11,SAC vs. DEN,L,21.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,3,0,0,-14,DEN,HOME,Dennis Schroder
Dennis Schroder,203471,2025-11-09,SAC vs. MIN,L,28.0,1,6,0.167,0,2,0.0,1,2,0.5,0,3,3,2,1,0,1,2,3,-15,MIN,HOME,Dennis Schroder
Dennis Schroder,203471,2025-11-07,SAC vs. OKC,L,25.0,0,10,0.0,0,5,0.0,2,2,1.0,0,2,2,8,0,0,0,1,2,-25,OKC,HOME,Dennis Schroder
Dennis Schroder,203471,2025-11-05,SAC vs. GSW,W,32.0,6,17,0.353,3,5,0.6,3,4,0.75,0,7,7,7,0,1,3,4,18,3,GSW,HOME,Dennis Schroder
Dennis Schroder,203471,2025-11-03,SAC @ DEN,L,35.0,7,14,0.5,0,5,0.0,4,4,1.0,1,3,4,9,1,0,2,1,18,-2,DEN,AWAY,Dennis Schroder
Dennis Schroder,203471,2025-11-01,SAC @ MIL,W,37.0,8,13,0.615,3,5,0.6,5,5,1.0,0,5,5,7,2,0,3,1,24,0,MIL,AWAY,Dennis Schroder
Dennis Schroder,203471,2025-10-29,SAC @ CHI,L,28.0,2,9,0.222,1,3,0.333,0,0,0.0,0,2,2,7,2,0,1,2,5,-20,CHI,AWAY,Dennis Schroder
Dennis Schroder,203471,2025-10-28,SAC @ OKC,L,32.0,4,9,0.444,0,3,0.0,0,0,0.0,0,5,5,3,1,0,2,4,8,-10,OKC,AWAY,Dennis Schroder
Dennis Schroder,203471,2025-10-26,SAC vs. LAL,L,35.0,7,18,0.389,3,9,0.333,1,1,1.0,2,0,2,12,1,1,2,2,18,-16,LAL,HOME,Dennis Schroder
Dennis Schroder,203471,2025-10-24,SAC vs. UTA,W,33.0,8,16,0.5,1,5,0.2,0,0,0.0,0,5,5,3,2,0,4,1,17,-7,UTA,HOME,Dennis Schroder
Dennis Schroder,203471,2025-10-22,SAC @ PHX,L,30.0,6,13,0.462,2,4,0.5,0,0,0.0,0,1,1,7,2,1,4,3,14,-8,PHX,AWAY,Dennis Schroder
