player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Dillon Brooks,1628415,2025-11-23,PHX vs. SAS,W,35.0,10,24,0.417,4,12,0.333,1,2,0.5,1,2,3,2,1,0,2,2,25,8,SAS,HOME,Dillon Brooks
Dillon Brooks,1628415,2025-11-21,PHX vs. MIN,W,37.0,8,17,0.471,4,8,0.5,2,4,0.5,0,5,5,1,2,0,3,6,22,-3,MIN,HOME,Dillon Brooks
Dillon Brooks,1628415,2025-11-18,PHX @ POR,W,26.0,5,11,0.455,1,6,0.167,1,2,0.5,1,1,2,4,3,0,3,3,12,16,POR,AWAY,Dillon Brooks
Dillon Brooks,1628415,2025-11-16,PHX vs. ATL,L,36.0,14,25,0.56,3,7,0.429,3,3,1.0,1,5,6,1,3,0,3,5,34,-2,ATL,HOME,Dillon Brooks
Dillon Brooks,1628415,2025-11-13,PHX vs. IND,W,28.0,12,18,0.667,3,7,0.429,5,5,1.0,0,1,1,0,1,0,2,4,32,9,IND,HOME,Dillon Brooks
Dillon Brooks,1628415,2025-11-12,PHX @ DAL,W,31.0,6,14,0.429,3,8,0.375,3,3,1.0,0,2,2,4,1,0,0,2,18,-6,DAL,AWAY,Dillon Brooks
Dillon Brooks,1628415,2025-11-10,PHX vs. NOP,W,26.0,4,13,0.308,1,6,0.167,9,10,0.9,1,4,5,0,1,0,3,2,18,7,NOP,HOME,Dillon Brooks
Dillon Brooks,1628415,2025-11-08,PHX @ LAC,W,28.0,4,6,0.667,2,3,0.667,6,7,0.857,0,2,2,3,2,0,1,2,16,2,LAC,AWAY,Dillon Brooks
Dillon Brooks,1628415,2025-10-25,PHX @ DEN,L,31.0,6,18,0.333,3,13,0.231,0,0,0.0,0,3,3,2,4,1,1,3,15,-16,DEN,AWAY,Dillon Brooks
Dillon Brooks,1628415,2025-10-24,PHX @ LAC,L,27.0,7,17,0.412,5,10,0.5,2,2,1.0,3,0,3,2,2,0,4,5,21,-15,LAC,AWAY,Dillon Brooks
Dillon Brooks,1628415,2025-10-22,PHX vs. SAC,W,34.0,9,24,0.375,1,8,0.125,3,3,1.0,1,3,4,3,2,1,2,5,22,2,SAC,HOME,Dillon Brooks
