player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Duncan Robinson,1629130,2025-11-22,DET @ MIL,W,28.0,5,6,0.833,5,6,0.833,0,0,0.0,0,3,3,2,2,0,0,0,15,16,MIL,AWAY,Duncan Robinson
Duncan Robinson,1629130,2025-11-18,DET @ ATL,W,31.0,5,10,0.5,4,9,0.444,0,0,0.0,1,2,3,3,1,0,2,1,14,4,ATL,AWAY,Duncan Robinson
Duncan Robinson,1629130,2025-11-17,DET vs. IND,W,34.0,4,12,0.333,3,11,0.273,2,3,0.667,1,1,2,4,2,0,1,3,13,8,IND,HOME,Duncan Robinson
Duncan Robinson,1629130,2025-11-14,DET vs. PHI,W,31.0,5,12,0.417,3,6,0.5,2,3,0.667,1,5,6,3,2,1,1,1,15,-9,PHI,HOME,Duncan Robinson
Duncan Robinson,1629130,2025-11-12,DET vs. CHI,W,28.0,8,13,0.615,7,10,0.7,0,0,0.0,0,2,2,1,1,0,1,6,23,20,CHI,HOME,Duncan Robinson
Duncan Robinson,1629130,2025-11-10,DET vs. WAS,W,38.0,5,11,0.455,3,9,0.333,0,0,0.0,0,3,3,2,1,0,0,1,13,1,WAS,HOME,Duncan Robinson
Duncan Robinson,1629130,2025-11-09,DET @ PHI,W,30.0,5,11,0.455,4,9,0.444,3,3,1.0,0,1,1,1,3,0,0,6,17,1,PHI,AWAY,Duncan Robinson
Duncan Robinson,1629130,2025-11-07,DET @ BKN,W,31.0,3,6,0.5,1,4,0.25,0,0,0.0,0,1,1,8,2,0,1,2,7,11,BKN,AWAY,Duncan Robinson
Duncan Robinson,1629130,2025-11-05,DET vs. UTA,W,28.0,3,7,0.429,3,6,0.5,0,2,0.0,0,2,2,0,0,0,2,3,9,8,UTA,HOME,Duncan Robinson
Duncan Robinson,1629130,2025-11-03,DET @ MEM,W,40.0,4,10,0.4,3,9,0.333,0,0,0.0,0,4,4,1,0,0,1,2,11,6,MEM,AWAY,Duncan Robinson
Duncan Robinson,1629130,2025-11-01,DET vs. DAL,W,34.0,6,11,0.545,3,6,0.5,3,3,1.0,1,5,6,1,0,0,0,1,18,19,DAL,HOME,Duncan Robinson
Duncan Robinson,1629130,2025-10-29,DET vs. ORL,W,29.0,4,7,0.571,4,6,0.667,3,4,0.75,1,4,5,2,0,1,1,4,15,22,ORL,HOME,Duncan Robinson
Duncan Robinson,1629130,2025-10-27,DET vs. CLE,L,26.0,3,8,0.375,2,5,0.4,0,0,0.0,0,0,0,1,0,0,0,1,8,-15,CLE,HOME,Duncan Robinson
Duncan Robinson,1629130,2025-10-26,DET vs. BOS,W,30.0,2,7,0.286,2,7,0.286,2,3,0.667,0,4,4,1,1,0,0,2,8,-6,BOS,HOME,Duncan Robinson
Duncan Robinson,1629130,2025-10-24,DET @ HOU,W,38.0,5,9,0.556,4,8,0.5,3,3,1.0,2,1,3,2,0,3,0,4,17,15,HOU,AWAY,Duncan Robinson
Duncan Robinson,1629130,2025-10-22,DET @ CHI,L,32.0,1,7,0.143,0,5,0.0,0,0,0.0,0,0,0,0,0,0,1,3,2,-7,CHI,AWAY,Duncan Robinson
