player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Duop Reath,1641871,2025-11-23,POR @ OKC,L,19.0,3,7,0.429,0,4,0.0,0,0,0.0,1,2,3,0,2,0,0,1,6,-18,OKC,AWAY,Duop Reath
Duop Reath,1641871,2025-11-21,POR @ GSW,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-3,GSW,AWAY,Duop Reath
Duop Reath,1641871,2025-11-19,POR vs. CHI,L,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,CHI,HOME,Duop Reath
Duop Reath,1641871,2025-11-18,POR vs. PHX,L,10.0,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,1,3,5,PHX,HOME,Duop Reath
Duop Reath,1641871,2025-11-14,POR @ HOU,L,7.0,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,5,1,HOU,AWAY,Duop Reath
Duop Reath,1641871,2025-11-12,POR @ NOP,W,4.0,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,-1,NOP,AWAY,Duop Reath
Duop Reath,1641871,2025-11-10,POR @ ORL,L,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-4,ORL,AWAY,Duop Reath
Duop Reath,1641871,2025-11-08,POR @ MIA,L,12.0,2,3,0.667,2,3,0.667,0,0,0.0,1,2,3,0,0,0,1,1,6,-14,MIA,AWAY,Duop Reath
Duop Reath,1641871,2025-11-05,POR vs. OKC,W,20.0,4,5,0.8,4,5,0.8,0,0,0.0,0,0,0,2,0,0,0,0,12,21,OKC,HOME,Duop Reath
Duop Reath,1641871,2025-10-31,POR vs. DEN,W,7.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,DEN,HOME,Duop Reath
Duop Reath,1641871,2025-10-29,POR @ UTA,W,12.0,3,7,0.429,3,6,0.5,0,0,0.0,0,1,1,2,0,0,0,2,9,4,UTA,AWAY,Duop Reath
Duop Reath,1641871,2025-10-27,POR @ LAL,W,1.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,0,LAL,AWAY,Duop Reath
Duop Reath,1641871,2025-10-24,POR vs. GSW,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-3,GSW,HOME,Duop Reath
