player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Dyson Daniels,1630700,2025-11-23,ATL vs. CHA,W,36.0,10,17,0.588,1,4,0.25,1,1,1.0,4,5,9,6,2,0,2,4,22,5,CHA,HOME,Dyson Daniels
Dyson Daniels,1630700,2025-11-22,ATL @ NOP,W,31.0,6,15,0.4,0,4,0.0,2,2,1.0,5,3,8,4,1,1,1,3,14,13,NOP,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-11-20,ATL @ SAS,L,31.0,4,8,0.5,0,2,0.0,0,1,0.0,1,5,6,5,3,0,5,3,8,-2,SAS,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-11-18,ATL vs. DET,L,38.0,6,9,0.667,0,0,0.0,0,0,0.0,4,5,9,6,3,1,3,1,12,4,DET,HOME,Dyson Daniels
Dyson Daniels,1630700,2025-11-16,ATL @ PHX,W,37.0,5,6,0.833,0,1,0.0,1,1,1.0,4,3,7,12,3,0,4,4,11,11,PHX,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-11-13,ATL @ UTA,W,27.0,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,3,1,0,0,4,2,0,UTA,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-11-12,ATL @ SAC,W,27.0,2,9,0.222,0,2,0.0,1,2,0.5,1,5,6,7,2,0,2,0,5,38,SAC,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-11-10,ATL @ LAC,W,39.0,3,9,0.333,0,2,0.0,0,0,0.0,1,2,3,8,3,1,4,3,6,0,LAC,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-11-08,ATL vs. LAL,W,36.0,5,8,0.625,0,0,0.0,0,0,0.0,2,6,8,13,1,0,2,2,10,16,LAL,HOME,Dyson Daniels
Dyson Daniels,1630700,2025-11-07,ATL vs. TOR,L,35.0,2,10,0.2,1,3,0.333,2,2,1.0,5,3,8,8,2,1,2,2,7,-3,TOR,HOME,Dyson Daniels
Dyson Daniels,1630700,2025-11-04,ATL vs. ORL,W,35.0,8,9,0.889,1,1,1.0,1,2,0.5,1,5,6,6,2,0,3,1,18,25,ORL,HOME,Dyson Daniels
Dyson Daniels,1630700,2025-11-02,ATL @ CLE,L,36.0,8,12,0.667,0,1,0.0,2,4,0.5,1,3,4,3,4,1,2,1,18,-7,CLE,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-10-31,ATL @ IND,W,38.0,8,13,0.615,0,0,0.0,2,2,1.0,2,7,9,6,3,0,1,2,18,13,IND,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-10-29,ATL @ BKN,W,35.0,3,10,0.3,0,1,0.0,1,2,0.5,0,4,4,6,3,1,1,2,7,-5,BKN,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-10-27,ATL @ CHI,L,34.0,1,8,0.125,0,0,0.0,0,0,0.0,2,5,7,2,3,0,1,4,2,-15,CHI,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-10-25,ATL vs. OKC,L,27.0,2,6,0.333,1,1,1.0,3,4,0.75,1,3,4,1,1,1,2,2,8,-12,OKC,HOME,Dyson Daniels
Dyson Daniels,1630700,2025-10-24,ATL @ ORL,W,32.0,3,7,0.429,0,0,0.0,0,2,0.0,0,9,9,4,2,1,2,4,6,10,ORL,AWAY,Dyson Daniels
Dyson Daniels,1630700,2025-10-22,ATL vs. TOR,L,23.0,2,4,0.5,0,1,0.0,0,0,0.0,1,2,3,2,2,0,3,5,4,-3,TOR,HOME,Dyson Daniels
