player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Gui Santos,1630611,2025-11-19,GSW @ MIA,L,18.0,1,7,0.143,1,6,0.167,1,2,0.5,3,3,6,0,0,1,2,2,4,-14,MIA,AWAY,Gui Santos
Gui Santos,1630611,2025-11-16,GSW @ NOP,W,5.0,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,2,3,-4,NOP,AWAY,Gui Santos
Gui Santos,1630611,2025-11-11,GSW @ OKC,L,12.0,2,3,0.667,0,1,0.0,0,0,0.0,2,1,3,0,1,0,0,1,4,11,OKC,AWAY,Gui Santos
Gui Santos,1630611,2025-11-09,GSW vs. IND,W,4.0,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,0,0,0,0,1,3,4,IND,HOME,Gui Santos
Gui Santos,1630611,2025-11-07,GSW @ DEN,L,6.0,0,1,0.0,0,1,0.0,1,2,0.5,2,2,4,0,1,0,0,1,1,0,DEN,AWAY,Gui Santos
Gui Santos,1630611,2025-11-05,GSW @ SAC,L,7.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-2,SAC,AWAY,Gui Santos
Gui Santos,1630611,2025-11-04,GSW vs. PHX,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-10,PHX,HOME,Gui Santos
Gui Santos,1630611,2025-11-01,GSW @ IND,L,11.0,2,2,1.0,1,1,1.0,0,0,0.0,3,1,4,1,0,0,1,3,5,6,IND,AWAY,Gui Santos
Gui Santos,1630611,2025-10-30,GSW @ MIL,L,4.0,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,5,MIL,AWAY,Gui Santos
Gui Santos,1630611,2025-10-28,GSW vs. LAC,W,5.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-4,LAC,HOME,Gui Santos
Gui Santos,1630611,2025-10-27,GSW vs. MEM,W,6.0,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,1,0,0,1,3,-2,MEM,HOME,Gui Santos
Gui Santos,1630611,2025-10-24,GSW @ POR,L,11.0,1,2,0.5,1,2,0.5,0,0,0.0,1,0,1,1,1,0,2,2,3,-4,POR,AWAY,Gui Santos
Gui Santos,1630611,2025-10-21,GSW @ LAL,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,LAL,AWAY,Gui Santos
