player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Harrison Barnes,203084,2025-11-23,SAS @ PHX,L,35.0,5,11,0.455,0,2,0.0,1,2,0.5,2,1,3,3,1,0,1,1,11,1,PHX,AWAY,Harrison Barnes
Harrison Barnes,203084,2025-11-20,SAS vs. ATL,W,34.0,5,13,0.385,2,8,0.25,4,4,1.0,0,5,5,2,0,0,1,0,16,3,ATL,HOME,Harrison Barnes
Harrison Barnes,203084,2025-11-18,SAS vs. MEM,W,32.0,9,14,0.643,4,8,0.5,1,1,1.0,0,5,5,3,1,0,0,1,23,3,MEM,HOME,Harrison Barnes
Harrison Barnes,203084,2025-11-16,SAS vs. SAC,W,30.0,7,11,0.636,3,6,0.5,3,4,0.75,0,2,2,3,2,0,0,0,20,16,SAC,HOME,Harrison Barnes
Harrison Barnes,203084,2025-11-14,SAS vs. GSW,L,28.0,2,5,0.4,1,4,0.25,2,2,1.0,1,3,4,1,1,0,2,1,7,7,GSW,HOME,Harrison Barnes
Harrison Barnes,203084,2025-11-12,SAS vs. GSW,L,25.0,4,9,0.444,3,6,0.5,0,0,0.0,0,2,2,0,3,1,2,1,11,-5,GSW,HOME,Harrison Barnes
Harrison Barnes,203084,2025-11-10,SAS @ CHI,W,28.0,2,4,0.5,1,2,0.5,2,3,0.667,0,3,3,2,1,1,1,1,7,11,CHI,AWAY,Harrison Barnes
Harrison Barnes,203084,2025-11-08,SAS vs. NOP,W,28.0,6,8,0.75,3,5,0.6,0,0,0.0,0,2,2,0,0,0,1,1,15,-5,NOP,HOME,Harrison Barnes
Harrison Barnes,203084,2025-11-07,SAS vs. HOU,W,39.0,8,11,0.727,6,9,0.667,2,2,1.0,1,4,5,2,2,0,3,4,24,18,HOU,HOME,Harrison Barnes
Harrison Barnes,203084,2025-11-05,SAS @ LAL,L,28.0,4,6,0.667,4,6,0.667,2,2,1.0,1,5,6,3,0,0,0,6,14,0,LAL,AWAY,Harrison Barnes
Harrison Barnes,203084,2025-11-02,SAS @ PHX,L,27.0,3,6,0.5,3,6,0.5,4,4,1.0,2,2,4,2,1,0,1,1,13,-25,PHX,AWAY,Harrison Barnes
Harrison Barnes,203084,2025-10-30,SAS vs. MIA,W,31.0,3,8,0.375,2,6,0.333,2,2,1.0,0,2,2,2,2,0,2,2,10,-15,MIA,HOME,Harrison Barnes
Harrison Barnes,203084,2025-10-27,SAS vs. TOR,W,32.0,6,7,0.857,4,5,0.8,2,2,1.0,0,0,0,5,1,0,3,2,18,12,TOR,HOME,Harrison Barnes
Harrison Barnes,203084,2025-10-26,SAS vs. BKN,W,25.0,2,9,0.222,0,5,0.0,0,0,0.0,3,0,3,1,0,0,2,1,4,-6,BKN,HOME,Harrison Barnes
Harrison Barnes,203084,2025-10-24,SAS @ NOP,W,34.0,2,5,0.4,1,3,0.333,2,2,1.0,0,1,1,5,1,2,0,2,7,12,NOP,AWAY,Harrison Barnes
Harrison Barnes,203084,2025-10-22,SAS @ DAL,W,30.0,3,7,0.429,1,3,0.333,0,0,0.0,0,2,2,1,0,0,2,2,7,27,DAL,AWAY,Harrison Barnes
