player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Isaiah Joe,1630198,2025-11-23,OKC vs. POR,W,24.0,3,7,0.429,2,6,0.333,2,2,1.0,0,2,2,1,1,1,2,1,10,15,POR,HOME,Isaiah Joe
Isaiah Joe,1630198,2025-11-21,OKC @ UTA,W,25.0,5,6,0.833,4,5,0.8,2,2,1.0,0,0,0,3,2,0,0,2,16,22,UTA,AWAY,Isaiah Joe
Isaiah Joe,1630198,2025-11-19,OKC vs. SAC,W,20.0,1,5,0.2,1,5,0.2,4,4,1.0,0,2,2,1,0,1,0,2,7,4,SAC,HOME,Isaiah Joe
Isaiah Joe,1630198,2025-11-17,OKC @ NOP,W,26.0,5,11,0.455,4,10,0.4,0,0,0.0,1,2,3,4,0,0,1,0,14,-1,NOP,AWAY,Isaiah Joe
Isaiah Joe,1630198,2025-11-15,OKC @ CHA,W,21.0,1,5,0.2,1,3,0.333,0,0,0.0,1,4,5,1,2,0,1,0,3,2,CHA,AWAY,Isaiah Joe
Isaiah Joe,1630198,2025-11-12,OKC vs. LAL,W,35.0,5,11,0.455,4,10,0.4,7,7,1.0,0,2,2,5,2,0,1,2,21,24,LAL,HOME,Isaiah Joe
Isaiah Joe,1630198,2025-11-11,OKC vs. GSW,W,29.0,4,11,0.364,3,9,0.333,7,7,1.0,0,1,1,1,0,0,3,4,18,8,GSW,HOME,Isaiah Joe
Isaiah Joe,1630198,2025-11-09,OKC @ MEM,W,21.0,3,10,0.3,2,7,0.286,0,0,0.0,1,1,2,0,0,1,0,1,8,3,MEM,AWAY,Isaiah Joe
Isaiah Joe,1630198,2025-11-07,OKC @ SAC,W,28.0,4,8,0.5,3,6,0.5,3,4,0.75,1,5,6,1,1,0,2,2,14,14,SAC,AWAY,Isaiah Joe
Isaiah Joe,1630198,2025-11-05,OKC @ POR,L,26.0,4,12,0.333,3,10,0.3,3,4,0.75,0,0,0,2,0,0,2,1,14,3,POR,AWAY,Isaiah Joe
Isaiah Joe,1630198,2025-11-04,OKC @ LAC,W,21.0,7,12,0.583,6,10,0.6,2,2,1.0,1,2,3,0,0,0,1,2,22,7,LAC,AWAY,Isaiah Joe
Isaiah Joe,1630198,2025-11-02,OKC vs. NOP,W,27.0,5,12,0.417,3,10,0.3,0,0,0.0,1,4,5,1,1,0,0,4,13,18,NOP,HOME,Isaiah Joe
Isaiah Joe,1630198,2025-10-30,OKC vs. WAS,W,24.0,7,12,0.583,5,9,0.556,1,2,0.5,1,5,6,1,1,0,0,2,20,11,WAS,HOME,Isaiah Joe
