player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jaime Jaquez Jr.,1631170,2025-11-23,MIA @ PHI,W,33.0,10,12,0.833,0,0,0.0,2,3,0.667,1,1,2,7,0,0,4,4,22,-4,PHI,AWAY,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-21,MIA @ CHI,W,24.0,5,11,0.455,0,0,0.0,0,0,0.0,2,5,7,7,1,0,3,3,10,12,CHI,AWAY,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-19,MIA vs. GSW,W,34.0,4,12,0.333,0,2,0.0,4,5,0.8,4,1,5,7,2,0,2,2,12,12,GSW,HOME,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-17,MIA vs. NYK,W,32.0,5,11,0.455,1,2,0.5,2,2,1.0,0,1,1,4,0,0,5,2,13,0,NYK,HOME,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-14,MIA @ NYK,L,34.0,9,20,0.45,1,2,0.5,4,8,0.5,4,5,9,7,0,0,1,3,23,-5,NYK,AWAY,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-12,MIA vs. CLE,L,30.0,4,15,0.267,0,4,0.0,3,3,1.0,0,3,3,4,0,0,1,4,11,-16,CLE,HOME,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-10,MIA vs. CLE,W,33.0,7,12,0.583,0,1,0.0,8,8,1.0,1,12,13,7,1,2,2,2,22,-2,CLE,HOME,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-08,MIA vs. POR,W,29.0,6,15,0.4,0,2,0.0,2,3,0.667,0,12,12,7,1,0,1,1,14,8,POR,HOME,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-07,MIA vs. CHA,W,33.0,8,15,0.533,1,1,1.0,1,2,0.5,3,5,8,9,0,2,2,2,18,18,CHA,HOME,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-05,MIA @ DEN,L,26.0,9,14,0.643,1,5,0.2,2,2,1.0,0,3,3,2,1,0,1,2,21,-5,DEN,AWAY,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-03,MIA @ LAC,W,26.0,3,9,0.333,0,2,0.0,0,0,0.0,1,5,6,5,1,0,0,1,6,-1,LAC,AWAY,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-11-02,MIA @ LAL,L,35.0,11,16,0.688,0,0,0.0,9,13,0.692,3,5,8,4,0,0,4,3,31,7,LAL,AWAY,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-10-30,MIA @ SAS,L,34.0,2,8,0.25,0,0,0.0,2,2,1.0,0,8,8,6,0,0,1,1,6,-1,SAS,AWAY,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-10-28,MIA vs. CHA,W,28.0,9,14,0.643,2,4,0.5,8,8,1.0,1,3,4,5,1,0,3,2,28,43,CHA,HOME,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-10-26,MIA vs. NYK,W,27.0,8,12,0.667,0,2,0.0,1,2,0.5,0,5,5,5,0,0,1,2,17,18,NYK,HOME,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-10-24,MIA @ MEM,W,27.0,8,12,0.667,0,1,0.0,1,1,1.0,3,7,10,6,2,0,3,2,17,43,MEM,AWAY,Jaime Jaquez Jr
Jaime Jaquez Jr.,1631170,2025-10-22,MIA @ ORL,L,30.0,6,7,0.857,0,1,0.0,1,2,0.5,1,5,6,1,2,0,2,3,13,-1,ORL,AWAY,Jaime Jaquez Jr
