player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jarace Walker,1641716,2025-11-21,IND @ CLE,L,17.0,2,6,0.333,0,2,0.0,2,2,1.0,0,4,4,0,0,0,0,2,6,-7,CLE,AWAY,Jarace Walker
Jarace Walker,1641716,2025-11-19,IND vs. CHA,W,26.0,3,6,0.5,3,4,0.75,0,0,0.0,0,4,4,0,0,0,2,2,9,-2,CHA,HOME,Jarace Walker
Jarace Walker,1641716,2025-11-17,IND @ DET,L,28.0,2,4,0.5,1,2,0.5,3,5,0.6,2,1,3,1,2,0,3,2,8,-9,DET,AWAY,Jarace Walker
Jarace Walker,1641716,2025-11-15,IND vs. TOR,L,30.0,2,9,0.222,0,5,0.0,4,5,0.8,0,8,8,2,2,0,4,2,8,-7,TOR,HOME,Jarace Walker
Jarace Walker,1641716,2025-11-13,IND @ PHX,L,26.0,0,10,0.0,0,4,0.0,2,2,1.0,1,3,4,2,0,1,1,1,2,-28,PHX,AWAY,Jarace Walker
Jarace Walker,1641716,2025-11-11,IND @ UTA,L,22.0,1,8,0.125,0,5,0.0,9,9,1.0,0,1,1,0,1,1,3,1,11,-20,UTA,AWAY,Jarace Walker
Jarace Walker,1641716,2025-11-09,IND @ GSW,L,32.0,4,14,0.286,3,6,0.5,1,1,1.0,0,2,2,0,0,1,6,3,12,-11,GSW,AWAY,Jarace Walker
Jarace Walker,1641716,2025-11-08,IND @ DEN,L,22.0,3,7,0.429,1,4,0.25,1,2,0.5,1,4,5,2,0,0,1,2,8,7,DEN,AWAY,Jarace Walker
Jarace Walker,1641716,2025-11-05,IND vs. BKN,L,32.0,3,11,0.273,0,1,0.0,0,0,0.0,0,6,6,6,0,1,1,2,6,-9,BKN,HOME,Jarace Walker
Jarace Walker,1641716,2025-11-03,IND vs. MIL,L,38.0,7,15,0.467,2,6,0.333,2,4,0.5,1,7,8,5,0,0,2,3,18,-10,MIL,HOME,Jarace Walker
Jarace Walker,1641716,2025-11-01,IND vs. GSW,W,30.0,2,9,0.222,0,5,0.0,2,2,1.0,2,7,9,5,0,0,4,2,6,13,GSW,HOME,Jarace Walker
Jarace Walker,1641716,2025-10-31,IND vs. ATL,L,28.0,6,13,0.462,4,6,0.667,1,2,0.5,1,2,3,3,0,0,1,2,17,-8,ATL,HOME,Jarace Walker
Jarace Walker,1641716,2025-10-29,IND @ DAL,L,36.0,5,19,0.263,4,10,0.4,6,7,0.857,0,6,6,5,3,1,1,3,20,-3,DAL,AWAY,Jarace Walker
Jarace Walker,1641716,2025-10-26,IND @ MIN,L,26.0,2,8,0.25,1,5,0.2,0,0,0.0,1,6,7,4,0,1,2,2,5,-11,MIN,AWAY,Jarace Walker
Jarace Walker,1641716,2025-10-25,IND @ MEM,L,27.0,2,13,0.154,2,8,0.25,0,0,0.0,1,6,7,3,0,1,1,0,6,-14,MEM,AWAY,Jarace Walker
Jarace Walker,1641716,2025-10-23,IND vs. OKC,L,30.0,6,11,0.545,1,5,0.2,0,0,0.0,1,3,4,4,1,0,2,4,13,-7,OKC,HOME,Jarace Walker
