player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jarred Vanderbilt,1629020,2025-11-15,LAL @ MIL,W,8.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,0,0,-11,MIL,AWAY,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-11-14,LAL @ NOP,W,11.0,1,4,0.25,1,2,0.5,0,0,0.0,1,1,2,1,2,0,1,1,3,-19,NOP,AWAY,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-11-12,LAL @ OKC,L,19.0,2,4,0.5,1,2,0.5,1,2,0.5,1,8,9,2,0,0,3,2,6,-1,OKC,AWAY,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-11-10,LAL @ CHA,W,16.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,4,0,0,CHA,AWAY,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-11-08,LAL @ ATL,L,28.0,4,9,0.444,1,2,0.5,3,3,1.0,4,14,18,2,1,1,2,2,12,2,ATL,AWAY,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-11-05,LAL vs. SAS,W,17.0,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,2,0,0,0,4,5,-2,SAS,HOME,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-11-03,LAL @ POR,W,21.0,1,1,1.0,0,0,0.0,2,2,1.0,0,4,4,2,1,1,2,0,4,1,POR,AWAY,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-11-02,LAL vs. MIA,W,10.0,1,2,0.5,0,0,0.0,2,2,1.0,0,4,4,0,1,0,0,3,4,-9,MIA,HOME,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-10-31,LAL @ MEM,W,14.0,1,2,0.5,0,1,0.0,0,0,0.0,1,3,4,1,0,1,0,1,2,9,MEM,AWAY,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-10-29,LAL @ MIN,W,26.0,1,3,0.333,0,1,0.0,1,2,0.5,6,6,12,4,1,0,4,4,3,4,MIN,AWAY,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-10-27,LAL vs. POR,L,28.0,6,11,0.545,0,1,0.0,2,2,1.0,4,4,8,3,3,0,1,1,14,-6,POR,HOME,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-10-26,LAL @ SAC,W,27.0,3,5,0.6,0,0,0.0,3,4,0.75,1,4,5,2,2,0,3,3,9,15,SAC,AWAY,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-10-24,LAL vs. MIN,W,20.0,0,2,0.0,0,1,0.0,2,2,1.0,1,6,7,0,2,2,1,2,2,12,MIN,HOME,Jarred Vanderbilt
Jarred Vanderbilt,1629020,2025-10-21,LAL vs. GSW,L,12.0,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,0,2,0,0,-4,GSW,HOME,Jarred Vanderbilt
