player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jaylen Brown,1627759,2025-11-23,BOS vs. ORL,W,37.0,14,26,0.538,2,6,0.333,5,7,0.714,1,3,4,8,1,0,1,3,35,12,ORL,HOME,Jaylen Brown
Jaylen Brown,1627759,2025-11-21,BOS vs. BKN,L,32.0,9,18,0.5,1,4,0.25,7,9,0.778,1,7,8,4,2,0,3,5,26,-4,BKN,HOME,Jaylen Brown
Jaylen Brown,1627759,2025-11-18,BOS @ BKN,W,32.0,9,19,0.474,3,7,0.429,8,10,0.8,1,3,4,4,1,0,8,2,29,2,BKN,AWAY,Jaylen Brown
Jaylen Brown,1627759,2025-11-16,BOS vs. LAC,W,39.0,14,33,0.424,1,7,0.143,4,7,0.571,3,10,13,3,2,1,1,1,33,22,LAC,HOME,Jaylen Brown
Jaylen Brown,1627759,2025-11-12,BOS vs. MEM,W,25.0,8,16,0.5,2,5,0.4,1,2,0.5,3,3,6,6,0,0,2,2,19,29,MEM,HOME,Jaylen Brown
Jaylen Brown,1627759,2025-11-11,BOS @ PHI,L,35.0,8,18,0.444,1,3,0.333,7,8,0.875,1,5,6,5,0,0,2,2,24,-5,PHI,AWAY,Jaylen Brown
Jaylen Brown,1627759,2025-11-09,BOS @ ORL,W,34.0,10,24,0.417,1,4,0.25,6,7,0.857,1,4,5,1,1,1,4,4,27,-17,ORL,AWAY,Jaylen Brown
Jaylen Brown,1627759,2025-11-07,BOS @ ORL,L,36.0,15,28,0.536,1,6,0.167,1,2,0.5,0,9,9,3,1,0,4,3,32,-21,ORL,AWAY,Jaylen Brown
Jaylen Brown,1627759,2025-11-05,BOS vs. WAS,W,26.0,13,21,0.619,2,4,0.5,7,9,0.778,1,4,5,5,1,0,1,2,35,11,WAS,HOME,Jaylen Brown
Jaylen Brown,1627759,2025-11-03,BOS vs. UTA,L,38.0,13,28,0.464,0,9,0.0,10,11,0.909,1,1,2,4,2,0,3,3,36,21,UTA,HOME,Jaylen Brown
Jaylen Brown,1627759,2025-11-01,BOS vs. HOU,L,22.0,6,14,0.429,0,2,0.0,0,0,0.0,0,2,2,5,1,0,5,3,12,-20,HOU,HOME,Jaylen Brown
Jaylen Brown,1627759,2025-10-31,BOS @ PHI,W,32.0,13,19,0.684,4,7,0.571,2,3,0.667,1,2,3,6,1,1,5,4,32,-11,PHI,AWAY,Jaylen Brown
Jaylen Brown,1627759,2025-10-29,BOS vs. CLE,W,32.0,12,20,0.6,4,9,0.444,2,2,1.0,0,5,5,4,1,1,2,4,30,20,CLE,HOME,Jaylen Brown
Jaylen Brown,1627759,2025-10-27,BOS @ NOP,W,24.0,5,9,0.556,1,3,0.333,4,6,0.667,0,7,7,4,0,0,3,5,15,4,NOP,AWAY,Jaylen Brown
Jaylen Brown,1627759,2025-10-26,BOS @ DET,L,35.0,12,25,0.48,5,9,0.556,12,15,0.8,2,4,6,4,0,0,4,3,41,-1,DET,AWAY,Jaylen Brown
Jaylen Brown,1627759,2025-10-24,BOS @ NYK,L,35.0,9,18,0.5,3,7,0.429,2,4,0.5,0,4,4,3,1,1,7,5,23,-14,NYK,AWAY,Jaylen Brown
Jaylen Brown,1627759,2025-10-22,BOS vs. PHI,L,36.0,9,18,0.5,2,4,0.5,5,6,0.833,0,6,6,4,0,0,2,4,25,0,PHI,HOME,Jaylen Brown
