player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jonathan Isaac,1628371,2025-11-23,ORL @ BOS,L,5.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,1,0,0,-9,BOS,AWAY,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-22,ORL vs. NYK,W,16.0,3,5,0.6,0,2,0.0,0,0,0.0,2,5,7,0,0,0,1,2,6,8,NYK,HOME,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-20,ORL vs. LAC,W,16.0,4,4,1.0,1,1,1.0,0,0,0.0,3,4,7,1,0,2,0,0,9,2,LAC,HOME,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-18,ORL vs. GSW,W,7.0,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,1,0,3,GSW,HOME,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-16,ORL @ HOU,L,14.0,1,3,0.333,1,2,0.5,0,0,0.0,1,5,6,0,0,0,0,1,3,-4,HOU,AWAY,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-14,ORL vs. BKN,W,14.0,2,2,1.0,0,0,0.0,0,0,0.0,1,4,5,0,0,1,0,2,4,-2,BKN,HOME,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-12,ORL @ NYK,W,16.0,0,3,0.0,0,2,0.0,3,4,0.75,1,4,5,0,1,0,0,2,3,-9,NYK,AWAY,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-10,ORL vs. POR,W,14.0,2,5,0.4,1,3,0.333,2,2,1.0,3,3,6,0,2,0,0,0,7,8,POR,HOME,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-09,ORL vs. BOS,L,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-13,BOS,HOME,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-07,ORL vs. BOS,W,5.0,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,1,0,3,-7,BOS,HOME,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-04,ORL @ ATL,L,9.0,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,0,2,-12,ATL,AWAY,Jonathan Isaac
Jonathan Isaac,1628371,2025-11-01,ORL @ WAS,W,16.0,2,3,0.667,1,1,1.0,3,6,0.5,0,6,6,0,0,0,1,1,8,3,WAS,AWAY,Jonathan Isaac
Jonathan Isaac,1628371,2025-10-30,ORL @ CHA,W,15.0,1,5,0.2,0,4,0.0,0,0,0.0,1,2,3,1,1,3,0,2,2,9,CHA,AWAY,Jonathan Isaac
Jonathan Isaac,1628371,2025-10-29,ORL @ DET,L,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,0,-9,DET,AWAY,Jonathan Isaac
Jonathan Isaac,1628371,2025-10-25,ORL vs. CHI,L,6.0,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,0,2,-6,CHI,HOME,Jonathan Isaac
Jonathan Isaac,1628371,2025-10-24,ORL vs. ATL,L,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Jonathan Isaac
Jonathan Isaac,1628371,2025-10-22,ORL vs. MIA,W,7.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,-6,MIA,HOME,Jonathan Isaac
