player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Josh Hart,1628404,2025-12-03,NYK vs. CHA,W,37.0,4,11,0.364,1,5,0.2,6,7,0.857,2,6,8,8,1,1,2,1,15,12,CHA,HOME,Josh Hart
Josh Hart,1628404,2025-12-02,NYK @ BOS,L,36.0,7,11,0.636,4,7,0.571,1,1,1.0,2,5,7,4,1,0,2,3,19,-1,BOS,AWAY,Josh Hart
Josh Hart,1628404,2025-11-30,NYK vs. TOR,W,35.0,8,12,0.667,4,7,0.571,0,0,0.0,5,7,12,7,3,0,4,2,20,24,TOR,HOME,Josh Hart
Josh Hart,1628404,2025-11-28,NYK vs. MIL,W,40.0,5,12,0.417,0,4,0.0,9,10,0.9,2,13,15,7,3,0,3,4,19,15,MIL,HOME,Josh Hart
Josh Hart,1628404,2025-11-26,NYK @ CHA,W,34.0,8,13,0.615,4,6,0.667,2,2,1.0,2,6,8,7,3,0,2,5,22,20,CHA,AWAY,Josh Hart
Josh Hart,1628404,2025-11-24,NYK @ BKN,W,38.0,3,8,0.375,1,3,0.333,0,1,0.0,2,10,12,7,2,2,1,3,7,17,BKN,AWAY,Josh Hart
Josh Hart,1628404,2025-11-22,NYK @ ORL,L,29.0,5,9,0.556,1,5,0.2,1,1,1.0,1,4,5,2,0,0,2,6,12,-19,ORL,AWAY,Josh Hart
Josh Hart,1628404,2025-11-19,NYK @ DAL,W,30.0,5,10,0.5,3,4,0.75,3,4,0.75,3,7,10,5,1,1,1,5,16,8,DAL,AWAY,Josh Hart
Josh Hart,1628404,2025-11-17,NYK @ MIA,L,34.0,6,11,0.545,0,3,0.0,2,3,0.667,1,4,5,9,2,1,6,3,14,-11,MIA,AWAY,Josh Hart
Josh Hart,1628404,2025-11-14,NYK vs. MIA,W,34.0,5,8,0.625,1,1,1.0,1,2,0.5,1,10,11,10,1,0,3,4,12,3,MIA,HOME,Josh Hart
Josh Hart,1628404,2025-11-12,NYK vs. ORL,L,18.0,4,10,0.4,1,5,0.2,1,1,1.0,1,2,3,2,1,1,3,2,10,-16,ORL,HOME,Josh Hart
Josh Hart,1628404,2025-11-11,NYK vs. MEM,W,30.0,2,7,0.286,1,3,0.333,3,3,1.0,0,4,4,8,2,0,1,4,8,6,MEM,HOME,Josh Hart
Josh Hart,1628404,2025-11-09,NYK vs. BKN,W,21.0,5,7,0.714,1,2,0.5,0,0,0.0,3,4,7,2,1,0,1,1,11,18,BKN,HOME,Josh Hart
Josh Hart,1628404,2025-11-05,NYK vs. MIN,W,27.0,7,12,0.583,4,5,0.8,0,0,0.0,0,5,5,4,0,0,1,1,18,12,MIN,HOME,Josh Hart
Josh Hart,1628404,2025-11-03,NYK vs. WAS,W,26.0,5,7,0.714,2,4,0.5,0,0,0.0,0,10,10,5,0,0,1,2,12,21,WAS,HOME,Josh Hart
Josh Hart,1628404,2025-11-02,NYK vs. CHI,W,26.0,5,10,0.5,1,4,0.25,3,3,1.0,3,6,9,3,1,0,3,1,14,1,CHI,HOME,Josh Hart
Josh Hart,1628404,2025-10-31,NYK @ CHI,L,15.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,2,0,-18,CHI,AWAY,Josh Hart
Josh Hart,1628404,2025-10-28,NYK @ MIL,L,26.0,1,5,0.2,1,4,0.25,0,0,0.0,1,3,4,4,2,0,2,0,3,-18,MIL,AWAY,Josh Hart
Josh Hart,1628404,2025-10-26,NYK @ MIA,L,29.0,2,5,0.4,0,2,0.0,2,4,0.5,3,2,5,5,1,0,3,1,6,2,MIA,AWAY,Josh Hart
Josh Hart,1628404,2025-10-24,NYK vs. BOS,W,19.0,1,8,0.125,0,3,0.0,0,0,0.0,6,8,14,3,0,0,0,3,2,-2,BOS,HOME,Josh Hart
