player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Jrue Holiday,201950,2025-11-14,POR @ HOU,L,29.0,4,9,0.444,3,7,0.429,2,2,1.0,2,2,4,6,2,0,2,1,13,-23,HOU,AWAY,Jrue Holiday
Jrue Holiday,201950,2025-11-12,POR @ NOP,W,37.0,6,12,0.5,3,7,0.429,2,2,1.0,0,4,4,12,0,0,3,2,17,-4,NOP,AWAY,Jrue Holiday
Jrue Holiday,201950,2025-11-10,POR @ ORL,L,36.0,6,14,0.429,1,4,0.25,0,0,0.0,2,5,7,7,2,1,3,0,13,14,ORL,AWAY,Jrue Holiday
Jrue Holiday,201950,2025-11-08,POR @ MIA,L,35.0,6,19,0.316,3,10,0.3,3,4,0.75,3,6,9,13,4,0,3,3,18,-6,MIA,AWAY,Jrue Holiday
Jrue Holiday,201950,2025-11-05,POR vs. OKC,W,35.0,7,16,0.438,6,10,0.6,2,2,1.0,1,5,6,3,1,0,4,0,22,-5,OKC,HOME,Jrue Holiday
Jrue Holiday,201950,2025-11-03,POR vs. LAL,L,36.0,4,11,0.364,0,6,0.0,0,0,0.0,2,1,3,6,1,0,2,3,8,-9,LAL,HOME,Jrue Holiday
Jrue Holiday,201950,2025-10-31,POR vs. DEN,W,32.0,4,13,0.308,2,7,0.286,1,2,0.5,0,3,3,13,2,0,2,2,11,4,DEN,HOME,Jrue Holiday
Jrue Holiday,201950,2025-10-29,POR @ UTA,W,35.0,10,16,0.625,3,8,0.375,4,4,1.0,3,2,5,8,2,0,4,4,27,9,UTA,AWAY,Jrue Holiday
Jrue Holiday,201950,2025-10-27,POR @ LAL,W,30.0,10,15,0.667,4,7,0.571,0,0,0.0,0,5,5,6,1,2,2,3,24,19,LAL,AWAY,Jrue Holiday
Jrue Holiday,201950,2025-10-26,POR @ LAC,L,34.0,7,14,0.5,3,8,0.375,4,5,0.8,2,4,6,7,0,0,2,2,21,-5,LAC,AWAY,Jrue Holiday
Jrue Holiday,201950,2025-10-24,POR vs. GSW,W,28.0,5,12,0.417,2,4,0.5,0,0,0.0,1,4,5,11,1,0,4,1,12,19,GSW,HOME,Jrue Holiday
Jrue Holiday,201950,2025-10-22,POR vs. MIN,L,33.0,5,15,0.333,1,7,0.143,3,4,0.75,0,6,6,7,3,0,4,3,14,-2,MIN,HOME,Jrue Holiday
