player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Julius Randle,203944,2025-11-21,MIN @ PHX,L,34.0,6,13,0.462,2,7,0.286,6,9,0.667,1,4,5,2,1,0,5,3,20,1,PHX,AWAY,Julius Randle
Julius Randle,203944,2025-11-19,MIN vs. WAS,W,33.0,11,19,0.579,1,4,0.25,9,13,0.692,2,8,10,6,0,0,1,1,32,0,WAS,HOME,Julius Randle
Julius Randle,203944,2025-11-17,MIN vs. DAL,W,27.0,4,16,0.25,1,5,0.2,3,5,0.6,1,5,6,4,1,0,1,3,12,21,DAL,HOME,Julius Randle
Julius Randle,203944,2025-11-15,MIN vs. DEN,L,38.0,9,17,0.529,1,5,0.2,7,7,1.0,1,5,6,8,2,0,2,4,26,-4,DEN,HOME,Julius Randle
Julius Randle,203944,2025-11-14,MIN vs. SAC,W,32.0,9,16,0.563,2,4,0.5,6,9,0.667,3,8,11,5,1,0,2,2,26,20,SAC,HOME,Julius Randle
Julius Randle,203944,2025-11-10,MIN @ UTA,W,34.0,7,16,0.438,1,4,0.25,12,13,0.923,1,7,8,7,3,0,2,2,27,22,UTA,AWAY,Julius Randle
Julius Randle,203944,2025-11-09,MIN @ SAC,W,26.0,8,16,0.5,1,4,0.25,2,2,1.0,2,4,6,4,1,0,1,3,19,19,SAC,AWAY,Julius Randle
Julius Randle,203944,2025-11-07,MIN vs. UTA,W,26.0,6,12,0.5,1,4,0.25,6,6,1.0,3,7,10,12,1,0,7,3,19,43,UTA,HOME,Julius Randle
Julius Randle,203944,2025-11-05,MIN @ NYK,L,38.0,12,21,0.571,3,6,0.5,5,5,1.0,1,4,5,4,0,1,3,3,32,-16,NYK,AWAY,Julius Randle
Julius Randle,203944,2025-11-03,MIN @ BKN,W,34.0,6,12,0.5,0,3,0.0,7,8,0.875,2,9,11,10,2,0,4,3,19,13,BKN,AWAY,Julius Randle
Julius Randle,203944,2025-11-01,MIN @ CHA,W,32.0,12,19,0.632,3,6,0.5,3,3,1.0,1,6,7,4,1,0,2,2,30,8,CHA,AWAY,Julius Randle
Julius Randle,203944,2025-10-29,MIN vs. LAL,L,36.0,10,20,0.5,4,7,0.571,9,10,0.9,0,5,5,6,1,0,3,2,33,-1,LAL,HOME,Julius Randle
Julius Randle,203944,2025-10-27,MIN vs. DEN,L,35.0,8,15,0.533,1,4,0.25,7,8,0.875,1,6,7,3,2,1,2,4,24,-5,DEN,HOME,Julius Randle
Julius Randle,203944,2025-10-26,MIN vs. IND,W,39.0,11,18,0.611,1,4,0.25,8,10,0.8,0,4,4,6,1,0,3,2,31,-1,IND,HOME,Julius Randle
Julius Randle,203944,2025-10-24,MIN @ LAL,L,30.0,9,16,0.563,4,8,0.5,4,5,0.8,3,6,9,6,0,0,3,0,26,-15,LAL,AWAY,Julius Randle
Julius Randle,203944,2025-10-22,MIN @ POR,W,37.0,7,13,0.538,3,5,0.6,2,4,0.5,1,6,7,6,2,1,0,3,19,6,POR,AWAY,Julius Randle
