player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Karl-Anthony Towns,1626157,2025-11-22,NYK @ ORL,L,37.0,6,14,0.429,2,6,0.333,10,11,0.909,2,6,8,3,0,0,4,3,24,-14,ORL,AWAY,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-11-19,NYK @ DAL,W,35.0,6,16,0.375,1,6,0.167,5,9,0.556,4,10,14,6,2,0,3,4,18,4,DAL,AWAY,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-11-17,NYK @ MIA,L,33.0,7,19,0.368,1,7,0.143,7,7,1.0,4,11,15,2,0,1,4,5,22,3,MIA,AWAY,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-11-14,NYK vs. MIA,W,38.0,13,26,0.5,6,14,0.429,7,9,0.778,2,9,11,4,1,0,0,3,39,13,MIA,HOME,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-11-12,NYK vs. ORL,L,35.0,6,15,0.4,1,4,0.25,2,2,1.0,2,10,12,4,1,0,2,5,15,-2,ORL,HOME,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-11-11,NYK vs. MEM,W,32.0,7,17,0.412,3,8,0.375,4,5,0.8,4,9,13,4,3,2,2,4,21,0,MEM,HOME,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-11-09,NYK vs. BKN,W,28.0,10,17,0.588,0,2,0.0,8,8,1.0,3,9,12,2,2,0,2,5,28,21,BKN,HOME,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-11-05,NYK vs. MIN,W,31.0,5,11,0.455,1,5,0.2,4,4,1.0,3,7,10,4,0,2,4,5,15,15,MIN,HOME,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-11-03,NYK vs. WAS,W,30.0,12,24,0.5,3,8,0.375,6,7,0.857,5,8,13,5,2,0,3,4,33,13,WAS,HOME,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-11-02,NYK vs. CHI,W,36.0,5,11,0.455,2,2,1.0,8,8,1.0,3,12,15,5,0,2,1,1,20,12,CHI,HOME,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-10-31,NYK @ CHI,L,32.0,6,14,0.429,1,5,0.2,9,9,1.0,2,8,10,4,0,1,2,2,22,7,CHI,AWAY,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-10-28,NYK @ MIL,L,35.0,2,12,0.167,0,3,0.0,4,4,1.0,5,7,12,1,1,1,3,5,8,0,MIL,AWAY,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-10-26,NYK @ MIA,L,36.0,6,14,0.429,2,8,0.25,1,2,0.5,1,17,18,2,1,2,3,5,15,2,MIA,AWAY,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-10-24,NYK vs. BOS,W,33.0,6,16,0.375,4,6,0.667,10,12,0.833,6,7,13,3,1,1,5,2,26,6,BOS,HOME,Karl-Anthony Towns
Karl-Anthony Towns,1626157,2025-10-22,NYK vs. CLE,W,31.0,5,12,0.417,1,4,0.25,8,9,0.889,1,10,11,2,0,0,3,4,19,2,CLE,HOME,Karl-Anthony Towns
