player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Kentavious Caldwell-Pope,203484,2025-11-22,MEM @ DAL,W,25.0,4,8,0.5,2,4,0.5,0,0,0.0,0,0,0,1,0,0,0,0,10,-6,DAL,AWAY,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-20,MEM vs. SAC,W,18.0,1,6,0.167,0,4,0.0,0,0,0.0,0,3,3,7,1,0,0,0,2,23,SAC,HOME,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-18,MEM @ SAS,L,19.0,2,6,0.333,0,3,0.0,0,0,0.0,1,2,3,3,1,0,0,1,4,-16,SAS,AWAY,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-15,MEM @ CLE,L,23.0,2,4,0.5,0,0,0.0,2,2,1.0,0,0,0,3,0,0,1,0,6,1,CLE,AWAY,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-12,MEM @ BOS,L,19.0,0,3,0.0,0,3,0.0,0,0,0.0,1,2,3,3,1,0,1,2,0,-25,BOS,AWAY,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-11,MEM @ NYK,L,15.0,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,0,2,0,0,0,4,-19,NYK,AWAY,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-09,MEM vs. OKC,L,23.0,4,8,0.5,1,4,0.25,0,0,0.0,0,4,4,3,1,1,1,4,9,-9,OKC,HOME,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-07,MEM vs. DAL,W,24.0,5,7,0.714,2,3,0.667,0,0,0.0,1,2,3,1,0,0,0,2,12,24,DAL,HOME,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-05,MEM vs. HOU,L,24.0,1,8,0.125,0,1,0.0,2,4,0.5,2,1,3,2,2,1,3,3,4,-19,HOU,HOME,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-03,MEM vs. DET,L,25.0,0,4,0.0,0,3,0.0,2,2,1.0,1,3,4,1,1,1,1,0,2,2,DET,HOME,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-11-02,MEM @ TOR,L,27.0,3,13,0.231,2,5,0.4,4,4,1.0,0,0,0,2,0,0,1,0,12,-21,TOR,AWAY,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-10-31,MEM vs. LAL,L,24.0,4,7,0.571,2,4,0.5,2,2,1.0,0,2,2,5,0,0,1,0,12,5,LAL,HOME,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-10-29,MEM @ PHX,W,19.0,5,12,0.417,1,2,0.5,0,0,0.0,0,2,2,5,1,0,0,0,11,6,PHX,AWAY,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-10-27,MEM @ GSW,L,26.0,3,7,0.429,1,4,0.25,0,0,0.0,0,2,2,4,0,1,1,2,7,-6,GSW,AWAY,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-10-25,MEM vs. IND,W,23.0,3,11,0.273,1,5,0.2,3,4,0.75,0,4,4,5,1,0,1,1,10,-7,IND,HOME,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-10-24,MEM vs. MIA,L,23.0,2,6,0.333,2,5,0.4,1,1,1.0,0,3,3,6,2,0,2,1,7,-11,MIA,HOME,Kentavious Caldwell-Pope
Kentavious Caldwell-Pope,203484,2025-10-22,MEM vs. NOP,W,31.0,2,8,0.25,2,7,0.286,9,9,1.0,0,4,4,3,0,0,3,3,15,-2,NOP,HOME,Kentavious Caldwell-Pope
