player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Kevin Durant,201142,2025-11-21,HOU vs. DEN,L,35.0,5,15,0.333,1,5,0.2,2,3,0.667,1,7,8,2,2,1,2,3,13,-7,DEN,HOME,Kevin Durant
Kevin Durant,201142,2025-11-19,HOU @ CLE,W,37.0,6,18,0.333,1,6,0.167,7,8,0.875,0,3,3,3,0,0,4,2,20,6,CLE,AWAY,Kevin Durant
Kevin Durant,201142,2025-11-16,HOU vs. ORL,W,45.0,13,24,0.542,2,8,0.25,7,7,1.0,0,5,5,6,0,1,5,2,35,4,ORL,HOME,Kevin Durant
Kevin Durant,201142,2025-11-14,HOU vs. POR,W,36.0,12,19,0.632,3,6,0.5,3,3,1.0,0,5,5,3,1,0,3,2,30,37,POR,HOME,Kevin Durant
Kevin Durant,201142,2025-11-12,HOU vs. WAS,W,31.0,7,16,0.438,2,5,0.4,7,8,0.875,1,4,5,4,2,0,1,2,23,15,WAS,HOME,Kevin Durant
Kevin Durant,201142,2025-11-09,HOU @ MIL,W,37.0,11,15,0.733,2,2,1.0,7,9,0.778,0,3,3,7,0,0,3,2,31,2,MIL,AWAY,Kevin Durant
Kevin Durant,201142,2025-11-07,HOU @ SAS,L,37.0,8,18,0.444,1,2,0.5,7,7,1.0,0,1,1,2,1,0,8,5,24,-8,SAS,AWAY,Kevin Durant
Kevin Durant,201142,2025-11-05,HOU @ MEM,W,34.0,5,18,0.278,1,2,0.5,0,0,0.0,1,3,4,5,1,1,2,1,11,20,MEM,AWAY,Kevin Durant
Kevin Durant,201142,2025-11-03,HOU vs. DAL,W,38.0,6,18,0.333,2,8,0.25,7,7,1.0,1,5,6,5,1,1,3,2,21,-1,DAL,HOME,Kevin Durant
Kevin Durant,201142,2025-11-01,HOU @ BOS,W,30.0,8,11,0.727,2,3,0.667,8,9,0.889,0,4,4,1,2,1,2,2,26,21,BOS,AWAY,Kevin Durant
Kevin Durant,201142,2025-10-29,HOU @ TOR,W,37.0,11,19,0.579,4,8,0.5,5,8,0.625,0,5,5,1,0,3,2,2,31,20,TOR,AWAY,Kevin Durant
Kevin Durant,201142,2025-10-27,HOU vs. BKN,W,25.0,6,14,0.429,0,4,0.0,7,7,1.0,0,6,6,3,1,0,3,4,19,10,BKN,HOME,Kevin Durant
Kevin Durant,201142,2025-10-24,HOU vs. DET,L,37.0,9,18,0.5,3,3,1.0,16,18,0.889,1,2,3,1,3,1,0,3,37,-1,DET,HOME,Kevin Durant
Kevin Durant,201142,2025-10-21,HOU @ OKC,L,47.0,9,16,0.563,0,4,0.0,5,6,0.833,0,9,9,3,0,0,4,6,23,0,OKC,AWAY,Kevin Durant
