player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Keyonte George,1641718,2025-11-23,UTA vs. LAL,L,39.0,10,23,0.435,4,10,0.4,3,4,0.75,0,5,5,8,1,0,3,3,27,-4,LAL,HOME,Keyonte George
Keyonte George,1641718,2025-11-21,UTA vs. OKC,L,30.0,6,10,0.6,1,2,0.5,7,7,1.0,0,3,3,8,0,0,4,3,20,-14,OKC,HOME,Keyonte George
Keyonte George,1641718,2025-11-18,UTA @ LAL,L,35.0,13,23,0.565,5,13,0.385,3,3,1.0,0,4,4,8,2,0,4,4,34,-9,LAL,AWAY,Keyonte George
Keyonte George,1641718,2025-11-16,UTA vs. CHI,W,44.0,10,27,0.37,3,10,0.3,10,10,1.0,0,2,2,6,4,0,4,2,33,0,CHI,HOME,Keyonte George
Keyonte George,1641718,2025-11-13,UTA vs. ATL,L,37.0,7,19,0.368,3,8,0.375,2,2,1.0,4,2,6,7,1,0,3,0,19,-14,ATL,HOME,Keyonte George
Keyonte George,1641718,2025-11-11,UTA vs. IND,W,27.0,3,12,0.25,0,3,0.0,4,4,1.0,2,3,5,7,0,0,3,5,10,-2,IND,HOME,Keyonte George
Keyonte George,1641718,2025-11-10,UTA vs. MIN,L,36.0,9,18,0.5,3,11,0.273,6,6,1.0,0,6,6,6,0,1,3,2,27,-12,MIN,HOME,Keyonte George
Keyonte George,1641718,2025-11-07,UTA @ MIN,L,26.0,7,14,0.5,2,5,0.4,2,2,1.0,0,4,4,2,1,0,3,1,18,-20,MIN,AWAY,Keyonte George
Keyonte George,1641718,2025-11-05,UTA @ DET,L,35.0,6,18,0.333,1,5,0.2,6,7,0.857,0,2,2,6,0,0,2,0,19,-11,DET,AWAY,Keyonte George
Keyonte George,1641718,2025-11-03,UTA @ BOS,W,38.0,9,16,0.563,2,5,0.4,11,13,0.846,1,4,5,4,1,0,1,2,31,-11,BOS,AWAY,Keyonte George
Keyonte George,1641718,2025-11-02,UTA @ CHA,L,33.0,8,18,0.444,1,5,0.2,8,9,0.889,0,2,2,7,1,1,4,2,25,-17,CHA,AWAY,Keyonte George
Keyonte George,1641718,2025-10-31,UTA @ PHX,L,33.0,3,10,0.3,2,4,0.5,9,11,0.818,1,7,8,9,1,1,3,3,17,3,PHX,AWAY,Keyonte George
Keyonte George,1641718,2025-10-29,UTA vs. POR,L,32.0,6,14,0.429,2,5,0.4,15,15,1.0,1,1,2,8,1,0,6,3,29,-2,POR,HOME,Keyonte George
Keyonte George,1641718,2025-10-27,UTA vs. PHX,W,43.0,8,18,0.444,2,9,0.222,8,8,1.0,0,5,5,10,1,0,4,5,26,3,PHX,HOME,Keyonte George
Keyonte George,1641718,2025-10-24,UTA @ SAC,L,34.0,5,15,0.333,1,6,0.167,7,7,1.0,0,2,2,10,0,1,4,2,18,5,SAC,AWAY,Keyonte George
Keyonte George,1641718,2025-10-22,UTA vs. LAC,W,30.0,6,12,0.5,1,7,0.143,3,4,0.75,0,2,2,9,2,0,3,1,16,18,LAC,HOME,Keyonte George
