player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Kobe Brown,1641738,2025-11-23,LAC @ CLE,L,4.0,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,0,3,0,CLE,AWAY,Kobe Brown
Kobe Brown,1641738,2025-11-22,LAC @ CHA,W,8.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-9,CHA,AWAY,Kobe Brown
Kobe Brown,1641738,2025-11-20,LAC @ ORL,L,16.0,3,8,0.375,3,6,0.5,0,0,0.0,2,1,3,1,0,0,1,1,9,-11,ORL,AWAY,Kobe Brown
Kobe Brown,1641738,2025-11-12,LAC vs. DEN,L,7.0,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,0,2,5,DEN,HOME,Kobe Brown
Kobe Brown,1641738,2025-11-10,LAC vs. ATL,L,16.0,3,3,1.0,1,1,1.0,2,2,1.0,1,1,2,0,0,0,0,1,9,-12,ATL,HOME,Kobe Brown
Kobe Brown,1641738,2025-11-06,LAC @ PHX,L,16.0,0,2,0.0,0,1,0.0,0,0,0.0,2,5,7,2,0,0,1,1,0,6,PHX,AWAY,Kobe Brown
Kobe Brown,1641738,2025-11-04,LAC vs. OKC,L,7.0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,3,OKC,HOME,Kobe Brown
Kobe Brown,1641738,2025-10-28,LAC @ GSW,L,6.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,1,GSW,AWAY,Kobe Brown
Kobe Brown,1641738,2025-10-24,LAC vs. PHX,W,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,PHX,HOME,Kobe Brown
Kobe Brown,1641738,2025-10-22,LAC @ UTA,L,4.0,0,0,0.0,0,0,0.0,2,2,1.0,1,0,1,2,0,0,0,0,2,6,UTA,AWAY,Kobe Brown
