player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Kris Dunn,1627739,2025-11-23,LAC @ CLE,L,24.0,3,5,0.6,1,1,1.0,2,2,1.0,2,2,4,2,1,0,1,2,9,4,CLE,AWAY,Kris Dunn
Kris Dunn,1627739,2025-11-22,LAC @ CHA,W,27.0,3,5,0.6,0,0,0.0,0,0,0.0,1,1,2,6,1,0,0,1,6,8,CHA,AWAY,Kris Dunn
Kris Dunn,1627739,2025-11-20,LAC @ ORL,L,25.0,2,5,0.4,0,1,0.0,0,0,0.0,0,3,3,3,1,0,1,1,4,-16,ORL,AWAY,Kris Dunn
Kris Dunn,1627739,2025-11-17,LAC @ PHI,L,27.0,3,5,0.6,1,2,0.5,0,0,0.0,1,1,2,5,1,0,1,5,7,-8,PHI,AWAY,Kris Dunn
Kris Dunn,1627739,2025-11-16,LAC @ BOS,L,24.0,1,5,0.2,1,3,0.333,3,4,0.75,1,3,4,3,0,1,3,2,6,-15,BOS,AWAY,Kris Dunn
Kris Dunn,1627739,2025-11-14,LAC @ DAL,W,32.0,2,8,0.25,1,6,0.167,4,4,1.0,0,2,2,5,2,1,1,2,9,3,DAL,AWAY,Kris Dunn
Kris Dunn,1627739,2025-11-12,LAC vs. DEN,L,16.0,1,4,0.25,0,0,0.0,1,1,1.0,0,0,0,2,1,0,1,5,3,-8,DEN,HOME,Kris Dunn
Kris Dunn,1627739,2025-11-10,LAC vs. ATL,L,36.0,5,10,0.5,1,4,0.25,0,1,0.0,0,2,2,0,2,1,0,3,11,13,ATL,HOME,Kris Dunn
Kris Dunn,1627739,2025-11-08,LAC vs. PHX,L,33.0,3,5,0.6,0,1,0.0,0,2,0.0,1,1,2,3,2,0,2,5,6,-7,PHX,HOME,Kris Dunn
Kris Dunn,1627739,2025-11-06,LAC @ PHX,L,24.0,3,4,0.75,1,1,1.0,2,2,1.0,1,1,2,6,1,0,2,0,9,-27,PHX,AWAY,Kris Dunn
Kris Dunn,1627739,2025-11-04,LAC vs. OKC,L,30.0,2,4,0.5,1,3,0.333,1,2,0.5,0,5,5,3,2,1,3,2,6,-24,OKC,HOME,Kris Dunn
Kris Dunn,1627739,2025-11-03,LAC vs. MIA,L,23.0,4,6,0.667,2,2,1.0,0,0,0.0,2,1,3,4,3,0,1,3,10,-2,MIA,HOME,Kris Dunn
Kris Dunn,1627739,2025-10-31,LAC vs. NOP,W,23.0,3,6,0.5,0,1,0.0,0,0,0.0,0,0,0,0,3,0,1,4,6,-2,NOP,HOME,Kris Dunn
Kris Dunn,1627739,2025-10-28,LAC @ GSW,L,26.0,2,6,0.333,1,2,0.5,0,0,0.0,3,1,4,0,0,0,2,2,5,-12,GSW,AWAY,Kris Dunn
Kris Dunn,1627739,2025-10-26,LAC vs. POR,W,22.0,4,6,0.667,1,3,0.333,0,0,0.0,0,2,2,1,0,0,1,4,9,6,POR,HOME,Kris Dunn
Kris Dunn,1627739,2025-10-24,LAC vs. PHX,W,21.0,5,8,0.625,2,4,0.5,2,2,1.0,1,1,2,1,3,0,0,1,14,18,PHX,HOME,Kris Dunn
Kris Dunn,1627739,2025-10-22,LAC @ UTA,L,22.0,0,3,0.0,0,1,0.0,0,0,0.0,2,3,5,1,1,0,2,0,0,-20,UTA,AWAY,Kris Dunn
