player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Kris Murray,1631200,2025-11-23,POR @ OKC,L,27.0,3,9,0.333,0,3,0.0,3,4,0.75,5,2,7,0,1,0,1,2,9,-23,OKC,AWAY,Kris Murray
Kris Murray,1631200,2025-11-21,POR @ GSW,W,17.0,1,3,0.333,0,1,0.0,3,4,0.75,1,2,3,2,2,0,4,5,5,0,GSW,AWAY,Kris Murray
Kris Murray,1631200,2025-11-19,POR vs. CHI,L,35.0,4,11,0.364,0,3,0.0,1,2,0.5,4,2,6,2,1,1,1,0,9,4,CHI,HOME,Kris Murray
Kris Murray,1631200,2025-11-18,POR vs. PHX,L,25.0,1,4,0.25,1,3,0.333,0,0,0.0,2,2,4,0,0,0,0,1,3,-29,PHX,HOME,Kris Murray
Kris Murray,1631200,2025-11-16,POR @ DAL,L,32.0,2,2,1.0,2,2,1.0,0,0,0.0,2,3,5,2,3,0,0,2,6,-1,DAL,AWAY,Kris Murray
Kris Murray,1631200,2025-11-14,POR @ HOU,L,22.0,2,6,0.333,1,2,0.5,0,0,0.0,1,2,3,1,0,0,1,0,5,2,HOU,AWAY,Kris Murray
Kris Murray,1631200,2025-11-12,POR @ NOP,W,22.0,3,4,0.75,0,1,0.0,0,0,0.0,2,5,7,1,0,0,0,2,6,-3,NOP,AWAY,Kris Murray
Kris Murray,1631200,2025-11-10,POR @ ORL,L,19.0,1,4,0.25,0,1,0.0,1,2,0.5,1,1,2,1,1,0,0,1,3,-3,ORL,AWAY,Kris Murray
Kris Murray,1631200,2025-11-08,POR @ MIA,L,22.0,3,8,0.375,0,1,0.0,0,0,0.0,2,1,3,1,0,0,0,3,6,-23,MIA,AWAY,Kris Murray
Kris Murray,1631200,2025-11-05,POR vs. OKC,W,18.0,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,0,1,5,0,0,OKC,HOME,Kris Murray
Kris Murray,1631200,2025-11-03,POR vs. LAL,L,23.0,3,5,0.6,0,2,0.0,0,0,0.0,0,0,0,2,1,1,1,0,6,-5,LAL,HOME,Kris Murray
Kris Murray,1631200,2025-10-31,POR vs. DEN,W,29.0,4,8,0.5,1,3,0.333,1,2,0.5,3,3,6,1,3,0,2,4,10,5,DEN,HOME,Kris Murray
Kris Murray,1631200,2025-10-27,POR @ LAL,W,24.0,1,5,0.2,0,1,0.0,0,0,0.0,3,2,5,0,2,0,0,2,2,7,LAL,AWAY,Kris Murray
Kris Murray,1631200,2025-10-26,POR @ LAC,L,18.0,0,2,0.0,0,2,0.0,0,0,0.0,1,2,3,1,1,0,0,0,0,0,LAC,AWAY,Kris Murray
Kris Murray,1631200,2025-10-24,POR vs. GSW,W,27.0,6,7,0.857,1,1,1.0,0,0,0.0,0,1,1,1,2,1,1,2,13,7,GSW,HOME,Kris Murray
Kris Murray,1631200,2025-10-22,POR vs. MIN,L,19.0,2,3,0.667,1,2,0.5,2,2,1.0,0,0,0,0,0,0,1,1,7,2,MIN,HOME,Kris Murray
