player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Luka Garza,1630568,2025-11-21,BOS vs. BKN,L,17.0,2,5,0.4,2,2,1.0,1,2,0.5,3,1,4,1,0,0,1,2,7,-5,BKN,HOME,Luka Garza
Luka Garza,1630568,2025-11-18,BOS @ BKN,W,20.0,1,1,1.0,0,0,0.0,3,4,0.75,2,3,5,0,1,0,1,4,5,14,BKN,AWAY,Luka Garza
Luka Garza,1630568,2025-11-16,BOS vs. LAC,W,14.0,5,6,0.833,2,2,1.0,1,1,1.0,3,1,4,0,0,0,0,6,13,-14,LAC,HOME,Luka Garza
Luka Garza,1630568,2025-11-12,BOS vs. MEM,W,17.0,6,8,0.75,2,3,0.667,0,0,0.0,5,2,7,1,0,0,0,3,14,2,MEM,HOME,Luka Garza
Luka Garza,1630568,2025-11-11,BOS @ PHI,L,19.0,3,7,0.429,0,1,0.0,3,4,0.75,4,4,8,0,0,0,0,1,9,-3,PHI,AWAY,Luka Garza
Luka Garza,1630568,2025-11-09,BOS @ ORL,W,17.0,7,8,0.875,0,1,0.0,2,4,0.5,4,4,8,3,1,0,1,4,16,9,ORL,AWAY,Luka Garza
Luka Garza,1630568,2025-11-07,BOS @ ORL,L,13.0,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,3,0,3,2,-16,ORL,AWAY,Luka Garza
Luka Garza,1630568,2025-11-05,BOS vs. WAS,W,7.0,0,2,0.0,0,0,0.0,2,2,1.0,2,0,2,1,1,0,0,2,2,-3,WAS,HOME,Luka Garza
Luka Garza,1630568,2025-11-03,BOS vs. UTA,L,11.0,0,2,0.0,0,2,0.0,2,2,1.0,1,1,2,1,1,0,0,3,2,-12,UTA,HOME,Luka Garza
Luka Garza,1630568,2025-11-01,BOS vs. HOU,L,15.0,0,3,0.0,0,1,0.0,0,0,0.0,2,2,4,0,0,1,0,4,0,-12,HOU,HOME,Luka Garza
Luka Garza,1630568,2025-10-31,BOS @ PHI,W,15.0,4,5,0.8,1,1,1.0,0,0,0.0,2,3,5,1,0,0,0,2,9,5,PHI,AWAY,Luka Garza
Luka Garza,1630568,2025-10-29,BOS vs. CLE,W,16.0,3,6,0.5,0,2,0.0,4,4,1.0,5,0,5,2,1,1,0,3,10,-1,CLE,HOME,Luka Garza
Luka Garza,1630568,2025-10-27,BOS @ NOP,W,19.0,5,7,0.714,3,4,0.75,3,4,0.75,3,3,6,1,0,0,1,4,16,14,NOP,AWAY,Luka Garza
Luka Garza,1630568,2025-10-26,BOS @ DET,L,13.0,1,2,0.5,0,1,0.0,0,1,0.0,1,1,2,1,0,0,1,4,2,-12,DET,AWAY,Luka Garza
Luka Garza,1630568,2025-10-22,BOS vs. PHI,L,6.0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,2,1,0,-3,PHI,HOME,Luka Garza
