player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Malik Monk,1628370,2025-11-22,SAC @ DEN,W,26.0,5,14,0.357,1,4,0.25,1,1,1.0,1,1,2,2,0,0,0,1,12,12,DEN,AWAY,Malik Monk
Malik Monk,1628370,2025-11-20,SAC @ MEM,L,14.0,1,4,0.25,0,1,0.0,0,0,0.0,1,1,2,2,0,1,1,2,2,-13,MEM,AWAY,Malik Monk
Malik Monk,1628370,2025-11-19,SAC @ OKC,L,27.0,5,9,0.556,3,5,0.6,3,4,0.75,0,3,3,2,2,0,1,3,16,-4,OKC,AWAY,Malik Monk
Malik Monk,1628370,2025-11-16,SAC @ SAS,L,28.0,5,17,0.294,2,7,0.286,4,4,1.0,0,2,2,1,1,0,1,1,16,3,SAS,AWAY,Malik Monk
Malik Monk,1628370,2025-11-14,SAC @ MIN,L,16.0,0,4,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,1,1,0,0,MIN,AWAY,Malik Monk
Malik Monk,1628370,2025-11-11,SAC vs. DEN,L,28.0,5,12,0.417,2,5,0.4,0,0,0.0,0,1,1,2,1,0,1,0,12,2,DEN,HOME,Malik Monk
Malik Monk,1628370,2025-11-09,SAC vs. MIN,L,20.0,1,7,0.143,0,3,0.0,0,0,0.0,0,0,0,5,0,0,0,3,2,-10,MIN,HOME,Malik Monk
Malik Monk,1628370,2025-11-07,SAC vs. OKC,L,24.0,6,9,0.667,3,4,0.75,0,0,0.0,1,2,3,1,1,1,1,2,15,-10,OKC,HOME,Malik Monk
Malik Monk,1628370,2025-11-05,SAC vs. GSW,W,25.0,6,12,0.5,2,5,0.4,7,8,0.875,1,3,4,2,0,0,2,2,21,2,GSW,HOME,Malik Monk
Malik Monk,1628370,2025-10-29,SAC @ CHI,L,28.0,7,10,0.7,1,3,0.333,0,0,0.0,0,1,1,1,1,0,1,0,15,17,CHI,AWAY,Malik Monk
Malik Monk,1628370,2025-10-28,SAC @ OKC,L,26.0,3,7,0.429,0,3,0.0,3,4,0.75,0,2,2,4,1,0,2,2,9,4,OKC,AWAY,Malik Monk
Malik Monk,1628370,2025-10-26,SAC vs. LAL,L,24.0,5,9,0.556,3,6,0.5,2,2,1.0,0,1,1,2,2,2,1,4,15,7,LAL,HOME,Malik Monk
Malik Monk,1628370,2025-10-24,SAC vs. UTA,W,21.0,7,14,0.5,6,9,0.667,0,0,0.0,0,1,1,3,2,2,1,2,20,10,UTA,HOME,Malik Monk
Malik Monk,1628370,2025-10-22,SAC @ PHX,L,27.0,7,13,0.538,3,4,0.75,2,2,1.0,0,1,1,2,0,0,0,2,19,-9,PHX,AWAY,Malik Monk
