player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Michael Porter Jr.,1629008,2025-11-23,BKN @ TOR,L,33.0,9,18,0.5,4,9,0.444,3,3,1.0,1,5,6,4,1,1,1,3,25,-6,TOR,AWAY,Michael Porter Jr
Michael Porter Jr.,1629008,2025-11-21,BKN @ BOS,W,37.0,13,21,0.619,4,6,0.667,3,5,0.6,0,8,8,2,0,0,2,1,33,13,BOS,AWAY,Michael Porter Jr
Michael Porter Jr.,1629008,2025-11-18,BKN vs. BOS,L,34.0,8,16,0.5,4,8,0.5,5,5,1.0,2,4,6,2,3,0,1,1,25,-9,BOS,HOME,Michael Porter Jr
Michael Porter Jr.,1629008,2025-11-16,BKN @ WAS,W,34.0,11,18,0.611,3,8,0.375,9,10,0.9,0,9,9,7,0,0,2,2,34,17,WAS,AWAY,Michael Porter Jr
Michael Porter Jr.,1629008,2025-11-14,BKN @ ORL,L,36.0,10,23,0.435,3,11,0.273,1,1,1.0,1,10,11,7,1,0,0,2,24,-7,ORL,AWAY,Michael Porter Jr
Michael Porter Jr.,1629008,2025-11-11,BKN vs. TOR,L,36.0,5,14,0.357,1,6,0.167,10,10,1.0,1,5,6,3,0,1,3,3,21,-2,TOR,HOME,Michael Porter Jr
Michael Porter Jr.,1629008,2025-11-09,BKN @ NYK,L,26.0,9,18,0.5,4,9,0.444,3,4,0.75,1,3,4,0,1,0,2,3,25,-22,NYK,AWAY,Michael Porter Jr
Michael Porter Jr.,1629008,2025-11-07,BKN vs. DET,L,32.0,8,17,0.471,5,10,0.5,7,7,1.0,1,4,5,2,1,0,4,1,28,-11,DET,HOME,Michael Porter Jr
Michael Porter Jr.,1629008,2025-11-05,BKN @ IND,W,35.0,10,20,0.5,4,11,0.364,8,11,0.727,2,9,11,3,1,0,5,4,32,2,IND,AWAY,Michael Porter Jr
Michael Porter Jr.,1629008,2025-11-02,BKN vs. PHI,L,31.0,7,23,0.304,1,12,0.083,2,2,1.0,3,14,17,2,1,0,3,2,17,-6,PHI,HOME,Michael Porter Jr
Michael Porter Jr.,1629008,2025-10-29,BKN vs. ATL,L,33.0,12,20,0.6,4,9,0.444,4,4,1.0,2,7,9,2,0,1,4,1,32,-3,ATL,HOME,Michael Porter Jr
Michael Porter Jr.,1629008,2025-10-27,BKN @ HOU,L,28.0,8,13,0.615,2,4,0.5,0,0,0.0,1,3,4,2,0,0,3,3,18,-13,HOU,AWAY,Michael Porter Jr
Michael Porter Jr.,1629008,2025-10-26,BKN @ SAS,L,38.0,5,15,0.333,3,9,0.333,2,3,0.667,0,6,6,4,2,0,0,2,15,-6,SAS,AWAY,Michael Porter Jr
Michael Porter Jr.,1629008,2025-10-24,BKN vs. CLE,L,36.0,13,22,0.591,5,10,0.5,0,0,0.0,0,8,8,3,1,0,2,3,31,-1,CLE,HOME,Michael Porter Jr
Michael Porter Jr.,1629008,2025-10-22,BKN @ CHA,L,25.0,5,15,0.333,2,7,0.286,0,2,0.0,1,3,4,5,0,0,0,2,12,-19,CHA,AWAY,Michael Porter Jr
