player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Miles Bridges,1628970,2025-11-23,CHA @ ATL,L,35.0,8,21,0.381,1,9,0.111,4,4,1.0,0,5,5,5,1,1,2,3,21,-2,ATL,AWAY,Miles Bridges
Miles Bridges,1628970,2025-11-22,CHA vs. LAC,L,30.0,5,12,0.417,0,2,0.0,9,10,0.9,0,3,3,2,0,1,0,0,19,-15,LAC,HOME,Miles Bridges
Miles Bridges,1628970,2025-11-19,CHA @ IND,L,35.0,9,20,0.45,3,8,0.375,4,4,1.0,3,2,5,2,1,2,0,5,25,-2,IND,AWAY,Miles Bridges
Miles Bridges,1628970,2025-11-17,CHA @ TOR,L,38.0,9,22,0.409,3,9,0.333,1,2,0.5,3,5,8,3,3,1,4,1,22,2,TOR,AWAY,Miles Bridges
Miles Bridges,1628970,2025-11-15,CHA vs. OKC,L,30.0,6,16,0.375,3,9,0.333,0,0,0.0,0,4,4,4,0,0,0,0,15,-20,OKC,HOME,Miles Bridges
Miles Bridges,1628970,2025-11-14,CHA @ MIL,L,42.0,12,24,0.5,6,15,0.4,2,2,1.0,0,7,7,2,0,1,1,3,32,-11,MIL,AWAY,Miles Bridges
Miles Bridges,1628970,2025-11-12,CHA vs. MIL,W,33.0,7,19,0.368,2,10,0.2,4,4,1.0,1,5,6,6,1,0,3,2,20,15,MIL,HOME,Miles Bridges
Miles Bridges,1628970,2025-11-10,CHA vs. LAL,L,40.0,11,19,0.579,7,12,0.583,5,6,0.833,2,6,8,5,1,1,2,4,34,-15,LAL,HOME,Miles Bridges
Miles Bridges,1628970,2025-11-07,CHA @ MIA,L,41.0,4,16,0.25,0,5,0.0,6,6,1.0,3,9,12,7,0,1,4,2,14,-9,MIA,AWAY,Miles Bridges
Miles Bridges,1628970,2025-11-04,CHA @ NOP,L,37.0,7,19,0.368,3,11,0.273,5,7,0.714,2,6,8,3,1,0,1,2,22,0,NOP,AWAY,Miles Bridges
Miles Bridges,1628970,2025-11-02,CHA vs. UTA,W,33.0,7,18,0.389,3,10,0.3,12,12,1.0,0,4,4,6,0,0,0,2,29,10,UTA,HOME,Miles Bridges
Miles Bridges,1628970,2025-11-01,CHA vs. MIN,L,37.0,10,16,0.625,6,11,0.545,4,4,1.0,0,8,8,4,1,0,1,3,30,-5,MIN,HOME,Miles Bridges
Miles Bridges,1628970,2025-10-30,CHA vs. ORL,L,33.0,6,15,0.4,4,6,0.667,0,0,0.0,0,5,5,0,0,1,3,2,16,-17,ORL,HOME,Miles Bridges
Miles Bridges,1628970,2025-10-28,CHA @ MIA,L,31.0,6,16,0.375,2,7,0.286,3,4,0.75,0,4,4,1,1,1,2,2,17,-10,MIA,AWAY,Miles Bridges
Miles Bridges,1628970,2025-10-26,CHA @ WAS,W,32.0,6,16,0.375,1,7,0.143,9,10,0.9,0,4,4,3,1,0,0,0,22,4,WAS,AWAY,Miles Bridges
Miles Bridges,1628970,2025-10-25,CHA @ PHI,L,35.0,6,18,0.333,3,9,0.333,3,3,1.0,2,7,9,7,0,0,1,2,18,-4,PHI,AWAY,Miles Bridges
Miles Bridges,1628970,2025-10-22,CHA vs. BKN,W,31.0,6,11,0.545,3,6,0.5,3,4,0.75,2,9,11,4,1,0,1,1,18,7,BKN,HOME,Miles Bridges
