player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Myles Turner,1626167,2025-11-22,MIL vs. DET,L,30.0,4,8,0.5,2,6,0.333,1,1,1.0,0,4,4,2,1,2,1,3,11,-23,DET,HOME,Myles Turner
Myles Turner,1626167,2025-11-20,MIL vs. PHI,L,28.0,5,13,0.385,3,9,0.333,1,2,0.5,1,9,10,1,0,0,0,2,14,1,PHI,HOME,Myles Turner
Myles Turner,1626167,2025-11-17,MIL @ CLE,L,37.0,4,9,0.444,4,5,0.8,3,4,0.75,1,6,7,2,3,1,2,1,15,1,CLE,AWAY,Myles Turner
Myles Turner,1626167,2025-11-15,MIL vs. LAL,L,30.0,1,4,0.25,1,2,0.5,0,0,0.0,1,7,8,1,0,1,1,3,3,-12,LAL,HOME,Myles Turner
Myles Turner,1626167,2025-11-14,MIL vs. CHA,W,33.0,6,9,0.667,6,8,0.75,0,0,0.0,0,3,3,1,0,0,0,1,18,27,CHA,HOME,Myles Turner
Myles Turner,1626167,2025-11-12,MIL @ CHA,L,29.0,7,14,0.5,3,8,0.375,4,5,0.8,2,1,3,2,2,2,1,3,21,-11,CHA,AWAY,Myles Turner
Myles Turner,1626167,2025-11-10,MIL @ DAL,W,28.0,3,12,0.25,1,7,0.143,7,7,1.0,1,6,7,2,1,1,1,3,14,-11,DAL,AWAY,Myles Turner
Myles Turner,1626167,2025-11-09,MIL vs. HOU,L,34.0,6,11,0.545,1,3,0.333,0,2,0.0,1,5,6,1,3,3,1,4,13,-17,HOU,HOME,Myles Turner
Myles Turner,1626167,2025-11-07,MIL vs. CHI,W,31.0,8,14,0.571,5,8,0.625,2,3,0.667,3,5,8,0,4,1,2,4,23,19,CHI,HOME,Myles Turner
Myles Turner,1626167,2025-11-04,MIL @ TOR,L,23.0,3,7,0.429,2,4,0.5,2,2,1.0,0,8,8,3,2,1,1,1,10,-11,TOR,AWAY,Myles Turner
Myles Turner,1626167,2025-11-03,MIL @ IND,W,32.0,3,7,0.429,2,6,0.333,1,2,0.5,1,6,7,1,0,5,2,3,9,7,IND,AWAY,Myles Turner
Myles Turner,1626167,2025-11-01,MIL vs. SAC,L,24.0,3,6,0.5,3,4,0.75,0,2,0.0,2,1,3,0,2,0,2,5,9,2,SAC,HOME,Myles Turner
Myles Turner,1626167,2025-10-30,MIL vs. GSW,W,29.0,7,12,0.583,3,6,0.5,0,0,0.0,2,5,7,3,0,1,1,1,17,-4,GSW,HOME,Myles Turner
Myles Turner,1626167,2025-10-28,MIL vs. NYK,W,30.0,1,6,0.167,1,5,0.2,2,2,1.0,2,6,8,3,0,3,0,0,5,18,NYK,HOME,Myles Turner
Myles Turner,1626167,2025-10-26,MIL @ CLE,L,31.0,5,12,0.417,2,6,0.333,1,2,0.5,1,5,6,2,1,2,3,4,13,1,CLE,AWAY,Myles Turner
Myles Turner,1626167,2025-10-24,MIL @ TOR,W,28.0,2,8,0.25,0,3,0.0,0,0,0.0,0,5,5,2,1,2,3,4,4,12,TOR,AWAY,Myles Turner
Myles Turner,1626167,2025-10-22,MIL vs. WAS,W,29.0,4,12,0.333,2,8,0.25,1,2,0.5,1,7,8,5,0,3,1,3,11,9,WAS,HOME,Myles Turner
