player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Paolo Banchero,1631094,2025-11-12,ORL @ NYK,W,12.0,1,4,0.25,0,0,0.0,2,2,1.0,1,3,4,2,1,1,1,0,4,9,NYK,AWAY,Paolo Banchero
Paolo Banchero,1631094,2025-11-10,ORL vs. POR,W,35.0,10,18,0.556,2,3,0.667,6,10,0.6,0,9,9,3,1,0,2,4,28,-7,POR,HOME,Paolo Banchero
Paolo Banchero,1631094,2025-11-09,ORL vs. BOS,L,35.0,9,16,0.563,0,5,0.0,10,10,1.0,0,6,6,4,0,0,6,5,28,7,BOS,HOME,Paolo Banchero
Paolo Banchero,1631094,2025-11-07,ORL vs. BOS,W,36.0,4,10,0.4,1,3,0.333,6,8,0.75,1,8,9,4,1,1,2,0,15,25,BOS,HOME,Paolo Banchero
Paolo Banchero,1631094,2025-11-04,ORL @ ATL,L,37.0,6,16,0.375,0,4,0.0,10,12,0.833,1,10,11,8,1,0,3,4,22,2,ATL,AWAY,Paolo Banchero
Paolo Banchero,1631094,2025-11-01,ORL @ WAS,W,26.0,9,15,0.6,3,6,0.5,7,7,1.0,1,10,11,4,0,2,3,2,28,19,WAS,AWAY,Paolo Banchero
Paolo Banchero,1631094,2025-10-30,ORL @ CHA,W,33.0,8,12,0.667,2,4,0.5,2,6,0.333,1,8,9,9,2,0,1,2,20,9,CHA,AWAY,Paolo Banchero
Paolo Banchero,1631094,2025-10-29,ORL @ DET,L,35.0,7,16,0.438,0,3,0.0,10,17,0.588,4,7,11,7,1,1,4,3,24,-10,DET,AWAY,Paolo Banchero
Paolo Banchero,1631094,2025-10-27,ORL @ PHI,L,38.0,10,18,0.556,1,4,0.25,11,11,1.0,1,6,7,5,0,3,2,3,32,-15,PHI,AWAY,Paolo Banchero
Paolo Banchero,1631094,2025-10-25,ORL vs. CHI,L,36.0,7,21,0.333,1,4,0.25,9,11,0.818,1,9,10,1,1,2,3,2,24,-2,CHI,HOME,Paolo Banchero
Paolo Banchero,1631094,2025-10-24,ORL vs. ATL,L,36.0,4,15,0.267,0,5,0.0,3,5,0.6,0,6,6,1,0,0,3,3,11,-10,ATL,HOME,Paolo Banchero
Paolo Banchero,1631094,2025-10-22,ORL vs. MIA,W,35.0,7,17,0.412,1,3,0.333,9,12,0.75,0,11,11,1,1,1,2,1,24,-2,MIA,HOME,Paolo Banchero
