player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Pat Connaughton,1626192,2025-11-22,CHA vs. LAC,L,6.0,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,1,LAC,HOME,Pat Connaughton
Pat Connaughton,1626192,2025-11-19,CHA @ IND,L,16.0,5,7,0.714,3,5,0.6,0,0,0.0,0,2,2,1,1,0,0,1,13,7,IND,AWAY,Pat Connaughton
Pat Connaughton,1626192,2025-11-17,CHA @ TOR,L,9.0,1,2,0.5,0,1,0.0,3,4,0.75,0,1,1,0,0,0,0,0,5,-4,TOR,AWAY,Pat Connaughton
Pat Connaughton,1626192,2025-11-15,CHA vs. OKC,L,16.0,1,4,0.25,1,3,0.333,0,0,0.0,1,3,4,1,1,0,0,0,3,5,OKC,HOME,Pat Connaughton
Pat Connaughton,1626192,2025-11-14,CHA @ MIL,L,10.0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,2,0,0,0,0,-2,MIL,AWAY,Pat Connaughton
Pat Connaughton,1626192,2025-11-12,CHA vs. MIL,W,11.0,4,6,0.667,2,4,0.5,1,2,0.5,0,2,2,2,0,0,0,1,11,1,MIL,HOME,Pat Connaughton
Pat Connaughton,1626192,2025-11-10,CHA vs. LAL,L,8.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,5,0,1,0,1,0,0,5,LAL,HOME,Pat Connaughton
Pat Connaughton,1626192,2025-11-07,CHA @ MIA,L,10.0,2,4,0.5,0,2,0.0,2,2,1.0,2,3,5,0,0,0,1,1,6,-20,MIA,AWAY,Pat Connaughton
Pat Connaughton,1626192,2025-11-04,CHA @ NOP,L,11.0,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,0,3,-4,NOP,AWAY,Pat Connaughton
Pat Connaughton,1626192,2025-11-02,CHA vs. UTA,W,14.0,2,5,0.4,2,4,0.5,0,0,0.0,0,1,1,0,0,1,1,2,6,2,UTA,HOME,Pat Connaughton
Pat Connaughton,1626192,2025-10-30,CHA vs. ORL,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,ORL,HOME,Pat Connaughton
Pat Connaughton,1626192,2025-10-26,CHA @ WAS,W,2.0,2,2,1.0,0,0,0.0,0,1,0.0,0,0,0,1,0,0,0,0,4,7,WAS,AWAY,Pat Connaughton
