player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Precious Achiuwa,1630173,2025-11-22,SAC @ DEN,W,24.0,3,4,0.75,0,0,0.0,1,1,1.0,2,2,4,0,1,0,0,3,7,5,DEN,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-20,SAC @ MEM,L,24.0,1,3,0.333,0,2,0.0,0,0,0.0,0,5,5,2,0,0,0,1,2,-25,MEM,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-19,SAC @ OKC,L,26.0,6,12,0.5,1,1,1.0,2,4,0.5,5,4,9,3,1,0,2,2,15,-6,OKC,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-16,SAC @ SAS,L,5.0,0,2,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,3,SAS,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-14,SAC @ MIN,L,20.0,2,4,0.5,0,1,0.0,0,1,0.0,1,2,3,0,3,1,0,3,4,-14,MIN,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-12,SAC vs. ATL,L,20.0,4,6,0.667,0,0,0.0,2,4,0.5,2,3,5,2,0,0,0,0,10,-14,ATL,HOME,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-11,SAC vs. DEN,L,18.0,3,5,0.6,0,2,0.0,0,0,0.0,2,1,3,3,1,0,1,1,6,-13,DEN,HOME,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-09,SAC vs. MIN,L,29.0,5,7,0.714,0,1,0.0,2,3,0.667,4,6,10,0,0,1,1,3,12,-10,MIN,HOME,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-07,SAC vs. OKC,L,17.0,1,5,0.2,0,2,0.0,2,3,0.667,0,4,4,0,1,0,0,0,4,2,OKC,HOME,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-05,SAC vs. GSW,W,9.0,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,0,4,5,GSW,HOME,Precious Achiuwa
