player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Rayan Rupert,1641712,2025-11-23,POR @ OKC,L,16.0,4,7,0.571,2,2,1.0,0,0,0.0,0,5,5,0,1,0,2,1,10,-5,OKC,AWAY,Rayan Rupert
Rayan Rupert,1641712,2025-11-21,POR @ GSW,W,6.0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,0,0,0,5,GSW,AWAY,Rayan Rupert
Rayan Rupert,1641712,2025-11-18,POR vs. PHX,L,8.0,1,2,0.5,0,1,0.0,1,2,0.5,0,1,1,0,1,0,1,1,3,2,PHX,HOME,Rayan Rupert
Rayan Rupert,1641712,2025-11-16,POR @ DAL,L,5.0,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,2,0,6,DAL,AWAY,Rayan Rupert
Rayan Rupert,1641712,2025-11-14,POR @ HOU,L,5.0,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,3,HOU,AWAY,Rayan Rupert
Rayan Rupert,1641712,2025-11-12,POR @ NOP,W,6.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,0,NOP,AWAY,Rayan Rupert
Rayan Rupert,1641712,2025-10-31,POR vs. DEN,W,6.0,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-9,DEN,HOME,Rayan Rupert
Rayan Rupert,1641712,2025-10-29,POR @ UTA,W,14.0,1,2,0.5,1,2,0.5,0,0,0.0,0,3,3,1,2,0,0,2,3,13,UTA,AWAY,Rayan Rupert
Rayan Rupert,1641712,2025-10-27,POR @ LAL,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,LAL,AWAY,Rayan Rupert
Rayan Rupert,1641712,2025-10-24,POR vs. GSW,W,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-3,GSW,HOME,Rayan Rupert
