player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Robert Williams III,1629057,2025-11-21,POR @ GSW,W,21.0,4,6,0.667,0,1,0.0,0,0,0.0,3,8,11,2,0,3,1,1,8,4,GSW,AWAY,Robert Williams
Robert Williams III,1629057,2025-11-18,POR vs. PHX,L,8.0,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,1,0,4,0,PHX,HOME,Robert Williams
Robert Williams III,1629057,2025-11-16,POR @ DAL,L,17.0,3,5,0.6,0,0,0.0,0,0,0.0,2,3,5,1,2,1,0,1,6,5,DAL,AWAY,Robert Williams
Robert Williams III,1629057,2025-11-14,POR @ HOU,L,15.0,2,5,0.4,0,1,0.0,0,0,0.0,2,1,3,0,1,1,1,2,4,-15,HOU,AWAY,Robert Williams
Robert Williams III,1629057,2025-11-12,POR @ NOP,W,17.0,3,5,0.6,0,0,0.0,0,0,0.0,2,4,6,1,0,1,1,1,6,-3,NOP,AWAY,Robert Williams
Robert Williams III,1629057,2025-11-10,POR @ ORL,L,14.0,3,4,0.75,1,1,1.0,0,0,0.0,3,1,4,0,1,0,0,0,7,-6,ORL,AWAY,Robert Williams
Robert Williams III,1629057,2025-11-08,POR @ MIA,L,7.0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,0,0,0,3,MIA,AWAY,Robert Williams
Robert Williams III,1629057,2025-11-05,POR vs. OKC,W,4.0,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0,-9,OKC,HOME,Robert Williams
Robert Williams III,1629057,2025-11-03,POR vs. LAL,L,15.0,3,3,1.0,0,0,0.0,0,0,0.0,2,1,3,2,1,0,0,2,6,-4,LAL,HOME,Robert Williams
Robert Williams III,1629057,2025-10-31,POR vs. DEN,W,11.0,2,2,1.0,0,0,0.0,0,1,0.0,3,1,4,1,0,1,0,2,4,-6,DEN,HOME,Robert Williams
