player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Rudy Gobert,203497,2025-11-21,MIN @ PHX,L,35.0,5,10,0.5,0,0,0.0,2,4,0.5,7,5,12,4,0,1,2,5,12,6,PHX,AWAY,Rudy Gobert
Rudy Gobert,203497,2025-11-19,MIN vs. WAS,W,36.0,4,5,0.8,0,0,0.0,1,2,0.5,7,8,15,3,0,1,4,4,9,6,WAS,HOME,Rudy Gobert
Rudy Gobert,203497,2025-11-17,MIN vs. DAL,W,29.0,6,8,0.75,0,0,0.0,3,6,0.5,5,4,9,4,2,1,2,0,15,19,DAL,HOME,Rudy Gobert
Rudy Gobert,203497,2025-11-15,MIN vs. DEN,L,23.0,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,0,0,3,4,4,4,-22,DEN,HOME,Rudy Gobert
Rudy Gobert,203497,2025-11-14,MIN vs. SAC,W,34.0,4,6,0.667,0,0,0.0,3,8,0.375,2,6,8,1,1,1,1,3,11,14,SAC,HOME,Rudy Gobert
Rudy Gobert,203497,2025-11-10,MIN @ UTA,W,34.0,7,8,0.875,0,0,0.0,0,1,0.0,3,9,12,1,0,2,2,5,14,8,UTA,AWAY,Rudy Gobert
Rudy Gobert,203497,2025-11-09,MIN @ SAC,W,34.0,9,10,0.9,0,0,0.0,1,2,0.5,1,11,12,1,1,5,1,1,19,21,SAC,AWAY,Rudy Gobert
Rudy Gobert,203497,2025-11-07,MIN vs. UTA,W,29.0,4,6,0.667,0,0,0.0,0,0,0.0,3,6,9,2,1,3,2,3,8,24,UTA,HOME,Rudy Gobert
Rudy Gobert,203497,2025-11-05,MIN @ NYK,L,28.0,3,3,1.0,0,0,0.0,1,2,0.5,3,6,9,0,0,0,2,2,7,-8,NYK,AWAY,Rudy Gobert
Rudy Gobert,203497,2025-11-03,MIN @ BKN,W,34.0,6,6,1.0,0,0,0.0,3,6,0.5,4,8,12,1,0,1,3,4,15,27,BKN,AWAY,Rudy Gobert
Rudy Gobert,203497,2025-11-01,MIN @ CHA,W,35.0,6,9,0.667,0,0,0.0,2,3,0.667,3,12,15,5,2,2,1,0,14,31,CHA,AWAY,Rudy Gobert
Rudy Gobert,203497,2025-10-29,MIN vs. LAL,L,38.0,4,5,0.8,0,0,0.0,1,2,0.5,2,4,6,2,0,2,3,3,9,7,LAL,HOME,Rudy Gobert
Rudy Gobert,203497,2025-10-27,MIN vs. DEN,L,26.0,3,7,0.429,0,0,0.0,2,2,1.0,2,3,5,1,1,2,1,4,8,-18,DEN,HOME,Rudy Gobert
Rudy Gobert,203497,2025-10-26,MIN vs. IND,W,34.0,6,7,0.857,0,0,0.0,2,7,0.286,4,14,18,1,0,2,1,2,14,6,IND,HOME,Rudy Gobert
Rudy Gobert,203497,2025-10-24,MIN @ LAL,L,28.0,1,2,0.5,0,0,0.0,0,0,0.0,5,2,7,2,0,0,1,3,2,-6,LAL,AWAY,Rudy Gobert
Rudy Gobert,203497,2025-10-22,MIN @ POR,W,32.0,3,4,0.75,0,0,0.0,4,6,0.667,3,3,6,0,0,1,0,6,10,0,POR,AWAY,Rudy Gobert
