player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Sandro Mamukelashvili,1630572,2025-11-23,TOR vs. BKN,W,27.0,5,9,0.556,2,4,0.5,0,0,0.0,1,3,4,2,1,0,1,4,12,11,BKN,HOME,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-11-21,TOR vs. WAS,W,21.0,8,15,0.533,2,3,0.667,5,6,0.833,5,2,7,2,1,0,1,1,23,22,WAS,HOME,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-11-19,TOR @ PHI,W,15.0,2,5,0.4,0,2,0.0,3,4,0.75,1,1,2,2,1,0,0,2,7,5,PHI,AWAY,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-11-17,TOR vs. CHA,W,15.0,3,7,0.429,1,2,0.5,0,0,0.0,1,3,4,1,0,1,1,3,7,-3,CHA,HOME,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-11-15,TOR @ IND,W,22.0,5,9,0.556,1,3,0.333,1,2,0.5,0,4,4,3,1,1,0,2,12,14,IND,AWAY,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-11-13,TOR @ CLE,W,17.0,4,5,0.8,2,3,0.667,3,3,1.0,1,4,5,1,0,0,1,1,13,8,CLE,AWAY,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-11-08,TOR @ PHI,L,17.0,3,5,0.6,1,3,0.333,3,3,1.0,1,2,3,2,2,1,1,2,10,-3,PHI,AWAY,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-11-07,TOR @ ATL,W,21.0,5,9,0.556,1,4,0.25,1,2,0.5,2,4,6,1,1,0,0,0,12,7,ATL,AWAY,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-11-04,TOR vs. MIL,W,23.0,6,12,0.5,3,5,0.6,0,0,0.0,4,3,7,1,0,0,1,2,15,28,MIL,HOME,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-11-02,TOR vs. MEM,W,11.0,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,1,0,1,1,1,0,2,MEM,HOME,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-10-31,TOR @ CLE,W,19.0,2,4,0.5,1,3,0.333,6,6,1.0,1,5,6,3,1,1,3,0,11,13,CLE,AWAY,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-10-29,TOR vs. HOU,L,16.0,4,6,0.667,1,2,0.5,1,2,0.5,0,1,1,2,0,0,0,3,10,-3,HOU,HOME,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-10-27,TOR @ SAS,L,17.0,2,2,1.0,1,1,1.0,0,2,0.0,0,0,0,2,1,0,2,1,5,-4,SAS,AWAY,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-10-26,TOR @ DAL,L,22.0,6,8,0.75,1,3,0.333,3,3,1.0,0,1,1,3,0,0,0,1,16,-6,DAL,AWAY,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-10-24,TOR vs. MIL,L,16.0,1,2,0.5,0,1,0.0,2,2,1.0,1,2,3,1,0,0,0,3,4,-1,MIL,HOME,Sandro Mamukelashvili
Sandro Mamukelashvili,1630572,2025-10-22,TOR @ ATL,W,17.0,3,6,0.5,1,1,1.0,0,0,0.0,0,4,4,3,0,1,2,4,7,21,ATL,AWAY,Sandro Mamukelashvili
