player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Scottie Barnes,1630567,2025-11-23,TOR vs. BKN,W,34.0,6,13,0.462,0,0,0.0,5,6,0.833,3,4,7,4,2,4,0,3,17,2,BKN,HOME,Scottie Barnes
Scottie Barnes,1630567,2025-11-21,TOR vs. WAS,W,30.0,10,15,0.667,3,4,0.75,0,0,0.0,0,5,5,2,3,0,2,3,23,14,WAS,HOME,Scottie Barnes
Scottie Barnes,1630567,2025-11-19,TOR @ PHI,W,36.0,8,17,0.471,0,2,0.0,0,0,0.0,4,5,9,5,1,1,6,2,16,14,PHI,AWAY,Scottie Barnes
Scottie Barnes,1630567,2025-11-17,TOR vs. CHA,W,33.0,8,16,0.5,0,1,0.0,0,0,0.0,3,3,6,6,1,2,1,2,16,-6,CHA,HOME,Scottie Barnes
Scottie Barnes,1630567,2025-11-15,TOR @ IND,W,32.0,3,7,0.429,0,2,0.0,8,9,0.889,1,10,11,6,1,1,2,5,14,17,IND,AWAY,Scottie Barnes
Scottie Barnes,1630567,2025-11-13,TOR @ CLE,W,35.0,12,22,0.545,1,4,0.25,3,3,1.0,2,8,10,8,1,5,2,0,28,18,CLE,AWAY,Scottie Barnes
Scottie Barnes,1630567,2025-11-11,TOR @ BKN,W,31.0,6,9,0.667,0,1,0.0,3,3,1.0,2,9,11,5,1,1,2,5,15,10,BKN,AWAY,Scottie Barnes
Scottie Barnes,1630567,2025-11-08,TOR @ PHI,L,32.0,7,14,0.5,2,5,0.4,2,3,0.667,2,3,5,4,2,2,2,6,18,4,PHI,AWAY,Scottie Barnes
Scottie Barnes,1630567,2025-11-07,TOR @ ATL,W,35.0,5,16,0.313,0,2,0.0,4,4,1.0,3,7,10,4,1,2,0,3,14,-1,ATL,AWAY,Scottie Barnes
Scottie Barnes,1630567,2025-11-04,TOR vs. MIL,W,28.0,9,16,0.563,3,5,0.6,2,2,1.0,1,2,3,6,4,2,1,2,23,24,MIL,HOME,Scottie Barnes
Scottie Barnes,1630567,2025-11-02,TOR vs. MEM,W,32.0,8,19,0.421,3,8,0.375,0,0,0.0,5,7,12,8,1,5,2,3,19,9,MEM,HOME,Scottie Barnes
Scottie Barnes,1630567,2025-10-31,TOR @ CLE,W,35.0,6,14,0.429,1,4,0.25,1,4,0.25,2,8,10,5,1,1,3,2,14,-7,CLE,AWAY,Scottie Barnes
Scottie Barnes,1630567,2025-10-29,TOR vs. HOU,L,33.0,11,18,0.611,4,7,0.571,5,6,0.833,1,4,5,2,2,1,0,4,31,-12,HOU,HOME,Scottie Barnes
Scottie Barnes,1630567,2025-10-27,TOR @ SAS,L,30.0,3,7,0.429,2,4,0.5,0,1,0.0,0,3,3,2,0,1,2,4,8,-8,SAS,AWAY,Scottie Barnes
Scottie Barnes,1630567,2025-10-26,TOR @ DAL,L,34.0,13,24,0.542,3,5,0.6,4,5,0.8,4,7,11,6,1,0,5,4,33,5,DAL,AWAY,Scottie Barnes
Scottie Barnes,1630567,2025-10-24,TOR vs. MIL,L,36.0,6,15,0.4,2,4,0.5,3,4,0.75,1,4,5,3,3,0,3,3,17,-17,MIL,HOME,Scottie Barnes
Scottie Barnes,1630567,2025-10-22,TOR @ ATL,W,32.0,9,14,0.643,0,0,0.0,4,4,1.0,0,6,6,9,1,2,1,4,22,9,ATL,AWAY,Scottie Barnes
