player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Shai Gilgeous-Alexander,1628983,2025-11-23,OKC vs. POR,W,30.0,13,18,0.722,2,3,0.667,9,9,1.0,2,3,5,7,2,0,1,3,37,27,POR,HOME,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-21,OKC @ UTA,W,30.0,9,14,0.643,3,3,1.0,10,12,0.833,0,2,2,8,1,1,2,1,31,14,UTA,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-19,OKC vs. SAC,W,36.0,12,24,0.5,1,3,0.333,8,10,0.8,2,6,8,3,2,0,3,0,33,9,SAC,HOME,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-17,OKC @ NOP,W,29.0,5,9,0.556,3,5,0.6,10,10,1.0,1,1,2,8,3,1,3,3,23,32,NOP,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-15,OKC @ CHA,W,29.0,13,19,0.684,3,4,0.75,4,5,0.8,0,4,4,7,2,0,1,1,33,21,CHA,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-12,OKC vs. LAL,W,29.0,10,18,0.556,2,7,0.286,8,9,0.889,0,5,5,9,2,0,1,1,30,25,LAL,HOME,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-11,OKC vs. GSW,W,28.0,9,19,0.474,3,6,0.5,7,8,0.875,1,4,5,11,3,1,2,2,28,25,GSW,HOME,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-09,OKC @ MEM,W,35.0,11,22,0.5,3,9,0.333,10,11,0.909,1,6,7,6,2,0,1,0,35,28,MEM,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-07,OKC @ SAC,W,29.0,12,20,0.6,2,6,0.333,4,4,1.0,0,1,1,3,2,1,1,2,30,10,SAC,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-05,OKC @ POR,L,38.0,10,26,0.385,3,5,0.6,12,13,0.923,2,7,9,4,0,0,0,5,35,1,POR,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-04,OKC @ LAC,W,29.0,9,14,0.643,4,5,0.8,8,9,0.889,0,4,4,12,0,3,2,2,30,2,LAC,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-11-02,OKC vs. NOP,W,30.0,8,14,0.571,1,5,0.2,13,13,1.0,0,2,2,7,1,0,3,1,30,24,NOP,HOME,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-10-30,OKC vs. WAS,W,29.0,11,20,0.55,3,6,0.5,6,6,1.0,0,3,3,7,0,1,0,1,31,8,WAS,HOME,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-10-28,OKC vs. SAC,W,36.0,14,26,0.538,1,5,0.2,2,2,1.0,0,9,9,4,1,3,1,2,31,-1,SAC,HOME,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-10-27,OKC @ DAL,W,35.0,10,22,0.455,1,3,0.333,2,2,1.0,0,4,4,8,1,0,4,0,23,7,DAL,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-10-25,OKC @ ATL,W,29.0,12,17,0.706,2,6,0.333,4,4,1.0,1,4,5,5,1,1,2,2,30,16,ATL,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-10-23,OKC @ IND,W,45.0,15,31,0.484,2,7,0.286,23,26,0.885,0,8,8,5,2,1,2,4,55,9,IND,AWAY,Shai Gilgeous-Alexander
Shai Gilgeous-Alexander,1628983,2025-10-21,OKC vs. HOU,W,47.0,12,26,0.462,1,9,0.111,10,14,0.714,0,5,5,5,2,2,3,2,35,3,HOU,HOME,Shai Gilgeous-Alexander
