player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Stephen Curry,201939,2025-11-21,GSW vs. POR,L,34.0,14,23,0.609,9,17,0.529,1,1,1.0,0,2,2,4,0,0,3,2,38,-3,POR,HOME,Stephen Curry
Stephen Curry,201939,2025-11-18,GSW @ ORL,L,34.0,12,23,0.522,7,15,0.467,3,5,0.6,0,3,3,9,3,0,5,2,34,-3,ORL,AWAY,Stephen Curry
Stephen Curry,201939,2025-11-16,GSW @ NOP,W,28.0,2,11,0.182,1,6,0.167,4,5,0.8,1,4,5,3,0,0,4,3,9,18,NOP,AWAY,Stephen Curry
Stephen Curry,201939,2025-11-14,GSW @ SAS,W,36.0,16,26,0.615,9,17,0.529,8,8,1.0,0,4,4,2,2,0,3,2,49,9,SAS,AWAY,Stephen Curry
Stephen Curry,201939,2025-11-12,GSW @ SAS,W,34.0,13,25,0.52,5,16,0.313,15,16,0.938,0,5,5,5,2,0,1,2,46,5,SAS,AWAY,Stephen Curry
Stephen Curry,201939,2025-11-11,GSW @ OKC,L,20.0,4,13,0.308,1,5,0.2,2,3,0.667,0,1,1,0,1,0,1,5,11,-23,OKC,AWAY,Stephen Curry
Stephen Curry,201939,2025-11-04,GSW vs. PHX,W,34.0,9,23,0.391,5,12,0.417,5,5,1.0,1,3,4,3,1,1,2,3,28,7,PHX,HOME,Stephen Curry
Stephen Curry,201939,2025-11-01,GSW @ IND,L,29.0,8,23,0.348,4,16,0.25,4,5,0.8,0,0,0,2,1,0,5,2,24,-21,IND,AWAY,Stephen Curry
Stephen Curry,201939,2025-10-30,GSW @ MIL,L,35.0,8,19,0.421,4,10,0.4,7,8,0.875,0,6,6,4,1,0,5,2,27,-6,MIL,AWAY,Stephen Curry
Stephen Curry,201939,2025-10-28,GSW vs. LAC,W,26.0,7,15,0.467,2,8,0.25,3,3,1.0,0,2,2,8,2,0,2,1,19,16,LAC,HOME,Stephen Curry
Stephen Curry,201939,2025-10-27,GSW vs. MEM,W,30.0,5,11,0.455,4,9,0.444,2,2,1.0,0,4,4,3,0,0,1,2,16,17,MEM,HOME,Stephen Curry
Stephen Curry,201939,2025-10-24,GSW @ POR,L,27.0,12,22,0.545,7,14,0.5,4,4,1.0,1,5,6,3,1,2,4,1,35,-13,POR,AWAY,Stephen Curry
Stephen Curry,201939,2025-10-23,GSW vs. DEN,W,37.0,14,25,0.56,6,12,0.5,8,8,1.0,0,6,6,7,3,1,2,1,42,15,DEN,HOME,Stephen Curry
Stephen Curry,201939,2025-10-21,GSW @ LAL,W,32.0,6,14,0.429,3,9,0.333,8,8,1.0,0,1,1,4,3,1,2,3,23,1,LAL,AWAY,Stephen Curry
