player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Svi Mykhailiuk,1629004,2025-11-23,UTA vs. LAL,L,28.0,5,9,0.556,2,5,0.4,0,0,0.0,0,2,2,5,0,0,1,1,12,9,LAL,HOME,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-21,UTA vs. OKC,L,22.0,3,8,0.375,2,6,0.333,0,0,0.0,0,2,2,1,1,0,3,2,8,5,OKC,HOME,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-18,UTA @ LAL,L,25.0,5,7,0.714,3,5,0.6,0,0,0.0,0,3,3,1,0,0,1,2,13,-5,LAL,AWAY,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-16,UTA vs. CHI,W,29.0,4,6,0.667,2,3,0.667,0,0,0.0,0,0,0,3,0,1,0,2,10,-11,CHI,HOME,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-13,UTA vs. ATL,L,25.0,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,3,0,0,0,1,0,-4,ATL,HOME,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-11,UTA vs. IND,W,27.0,8,10,0.8,3,5,0.6,1,1,1.0,1,3,4,4,0,1,1,1,20,9,IND,HOME,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-10,UTA vs. MIN,L,28.0,4,13,0.308,3,11,0.273,0,0,0.0,1,2,3,2,0,0,1,2,11,-17,MIN,HOME,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-07,UTA @ MIN,L,18.0,2,4,0.5,2,3,0.667,0,0,0.0,2,0,2,2,0,0,1,3,6,-27,MIN,AWAY,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-05,UTA @ DET,L,36.0,10,16,0.625,6,11,0.545,2,3,0.667,0,2,2,2,1,0,1,1,28,-7,DET,AWAY,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-03,UTA @ BOS,W,29.0,4,12,0.333,1,8,0.125,0,0,0.0,0,6,6,1,0,0,0,0,9,-7,BOS,AWAY,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-11-02,UTA @ CHA,L,29.0,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,2,0,1,0,3,3,-15,CHA,AWAY,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-10-31,UTA @ PHX,L,23.0,0,5,0.0,0,5,0.0,0,0,0.0,1,2,3,1,0,0,1,1,0,-1,PHX,AWAY,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-10-29,UTA vs. POR,L,23.0,3,5,0.6,1,3,0.333,0,0,0.0,1,1,2,1,1,0,1,0,7,-1,POR,HOME,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-10-27,UTA vs. PHX,W,37.0,4,8,0.5,2,5,0.4,1,1,1.0,2,1,3,3,4,0,1,3,11,28,PHX,HOME,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-10-24,UTA @ SAC,L,24.0,3,7,0.429,2,5,0.4,1,1,1.0,2,2,4,0,0,0,2,1,9,14,SAC,AWAY,Svi Mykhailiuk
Svi Mykhailiuk,1629004,2025-10-22,UTA vs. LAC,W,24.0,3,4,0.75,3,4,0.75,0,0,0.0,0,1,1,3,1,0,0,0,9,20,LAC,HOME,Svi Mykhailiuk
