player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Tim Hardaway Jr.,203501,2025-11-22,DEN vs. SAC,L,26.0,2,7,0.286,1,5,0.2,3,3,1.0,0,1,1,1,0,0,1,2,8,3,SAC,HOME,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-21,DEN @ HOU,W,31.0,5,11,0.455,2,7,0.286,0,1,0.0,0,3,3,2,0,0,0,0,12,4,HOU,AWAY,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-19,DEN @ NOP,W,23.0,3,9,0.333,1,5,0.2,0,0,0.0,0,1,1,1,0,0,0,0,7,11,NOP,AWAY,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-17,DEN vs. CHI,L,16.0,2,8,0.25,0,3,0.0,0,0,0.0,1,1,2,0,3,0,0,1,4,-21,CHI,HOME,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-15,DEN @ MIN,W,29.0,6,8,0.75,5,6,0.833,6,6,1.0,0,3,3,1,0,1,0,0,23,18,MIN,AWAY,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-12,DEN @ LAC,W,21.0,3,7,0.429,3,5,0.6,3,3,1.0,0,1,1,3,1,0,0,1,12,24,LAC,AWAY,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-11,DEN @ SAC,W,24.0,2,8,0.25,2,6,0.333,0,0,0.0,0,2,2,1,0,0,0,1,6,-3,SAC,AWAY,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-08,DEN vs. IND,W,24.0,6,13,0.462,5,9,0.556,0,0,0.0,0,3,3,4,0,0,1,2,17,24,IND,HOME,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-07,DEN vs. GSW,W,19.0,2,5,0.4,1,3,0.333,2,2,1.0,1,2,3,2,0,0,0,0,7,-1,GSW,HOME,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-05,DEN vs. MIA,W,24.0,7,12,0.583,4,9,0.444,0,0,0.0,1,2,3,0,0,0,1,2,18,-1,MIA,HOME,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-11-03,DEN vs. SAC,W,23.0,2,4,0.5,1,2,0.5,0,0,0.0,0,2,2,2,1,0,0,1,5,-3,SAC,HOME,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-10-31,DEN @ POR,L,22.0,3,10,0.3,2,6,0.333,3,3,1.0,0,2,2,2,1,0,0,0,11,2,POR,AWAY,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-10-29,DEN vs. NOP,W,14.0,4,6,0.667,3,5,0.6,0,0,0.0,0,1,1,1,0,0,0,3,11,9,NOP,HOME,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-10-27,DEN @ MIN,W,32.0,7,11,0.636,4,6,0.667,2,2,1.0,0,1,1,3,0,0,0,2,20,25,MIN,AWAY,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-10-25,DEN vs. PHX,W,26.0,1,6,0.167,1,5,0.2,1,2,0.5,0,0,0,0,1,0,1,3,4,5,PHX,HOME,Tim Hardaway Jr
Tim Hardaway Jr.,203501,2025-10-23,DEN @ GSW,L,22.0,4,8,0.5,2,5,0.4,0,0,0.0,1,1,2,0,1,0,0,1,10,5,GSW,AWAY,Tim Hardaway Jr
