player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Tre Mann,1630544,2025-11-23,CHA @ ATL,L,17.0,1,6,0.167,1,4,0.25,0,0,0.0,0,1,1,1,0,0,3,1,3,-14,ATL,AWAY,Tre Mann
Tre Mann,1630544,2025-11-17,CHA @ TOR,L,12.0,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,0,3,0,0,2,4,-3,TOR,AWAY,Tre Mann
Tre Mann,1630544,2025-11-15,CHA vs. OKC,L,21.0,4,14,0.286,2,6,0.333,0,0,0.0,1,1,2,1,0,1,0,1,10,-15,OKC,HOME,Tre Mann
Tre Mann,1630544,2025-11-14,CHA @ MIL,L,29.0,4,10,0.4,1,3,0.333,0,0,0.0,1,6,7,7,0,0,3,2,9,-23,MIL,AWAY,Tre Mann
Tre Mann,1630544,2025-11-12,CHA vs. MIL,W,25.0,5,10,0.5,3,7,0.429,0,0,0.0,0,1,1,3,0,1,3,3,13,-6,MIL,HOME,Tre Mann
Tre Mann,1630544,2025-11-10,CHA vs. LAL,L,18.0,2,6,0.333,2,5,0.4,0,0,0.0,1,1,2,5,0,0,2,1,6,3,LAL,HOME,Tre Mann
Tre Mann,1630544,2025-11-07,CHA @ MIA,L,35.0,7,24,0.292,2,8,0.25,4,4,1.0,1,8,9,7,1,0,4,4,20,0,MIA,AWAY,Tre Mann
Tre Mann,1630544,2025-11-04,CHA @ NOP,L,24.0,8,13,0.615,2,6,0.333,0,0,0.0,1,1,2,2,2,0,4,2,18,-9,NOP,AWAY,Tre Mann
Tre Mann,1630544,2025-11-02,CHA vs. UTA,W,22.0,4,11,0.364,3,7,0.429,2,2,1.0,1,3,4,0,0,0,0,4,13,-2,UTA,HOME,Tre Mann
Tre Mann,1630544,2025-11-01,CHA vs. MIN,L,23.0,6,15,0.4,2,7,0.286,2,2,1.0,0,1,1,5,1,0,1,3,16,-4,MIN,HOME,Tre Mann
Tre Mann,1630544,2025-10-30,CHA vs. ORL,L,16.0,4,9,0.444,1,4,0.25,0,0,0.0,1,1,2,0,0,0,2,2,9,-11,ORL,HOME,Tre Mann
Tre Mann,1630544,2025-10-28,CHA @ MIA,L,27.0,3,15,0.2,2,8,0.25,0,0,0.0,1,2,3,5,2,0,3,1,8,-31,MIA,AWAY,Tre Mann
Tre Mann,1630544,2025-10-26,CHA @ WAS,W,12.0,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,2,0,-4,WAS,AWAY,Tre Mann
Tre Mann,1630544,2025-10-25,CHA @ PHI,L,22.0,1,7,0.143,0,5,0.0,2,2,1.0,1,4,5,2,0,0,3,4,4,4,PHI,AWAY,Tre Mann
Tre Mann,1630544,2025-10-22,CHA vs. BKN,W,21.0,4,7,0.571,2,3,0.667,2,3,0.667,1,2,3,6,1,0,2,1,12,15,BKN,HOME,Tre Mann
