player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Victor Wembanyama,1641705,2025-11-14,SAS vs. GSW,L,38.0,10,21,0.476,3,8,0.375,3,3,1.0,3,9,12,4,1,3,3,1,26,6,GSW,HOME,Victor Wembanyama
Victor Wembanyama,1641705,2025-11-12,SAS vs. GSW,L,36.0,11,22,0.5,3,7,0.429,6,6,1.0,6,9,15,10,0,1,8,5,31,-9,GSW,HOME,Victor Wembanyama
Victor Wembanyama,1641705,2025-11-10,SAS @ CHI,W,36.0,11,19,0.579,6,9,0.667,10,10,1.0,1,11,12,5,1,5,3,4,38,13,CHI,AWAY,Victor Wembanyama
Victor Wembanyama,1641705,2025-11-08,SAS vs. NOP,W,32.0,8,19,0.421,2,9,0.222,0,0,0.0,0,18,18,3,1,3,5,2,18,5,NOP,HOME,Victor Wembanyama
Victor Wembanyama,1641705,2025-11-07,SAS vs. HOU,W,37.0,8,16,0.5,0,2,0.0,6,6,1.0,1,7,8,4,1,2,4,5,22,5,HOU,HOME,Victor Wembanyama
Victor Wembanyama,1641705,2025-11-05,SAS @ LAL,L,33.0,5,14,0.357,0,2,0.0,9,11,0.818,2,6,8,3,1,1,5,6,19,-2,LAL,AWAY,Victor Wembanyama
Victor Wembanyama,1641705,2025-11-02,SAS @ PHX,L,34.0,4,14,0.286,1,5,0.2,0,0,0.0,2,7,9,2,1,4,6,4,9,-3,PHX,AWAY,Victor Wembanyama
Victor Wembanyama,1641705,2025-10-30,SAS vs. MIA,W,40.0,10,23,0.435,1,5,0.2,6,8,0.75,2,16,18,6,1,5,3,3,27,3,MIA,HOME,Victor Wembanyama
Victor Wembanyama,1641705,2025-10-27,SAS vs. TOR,W,31.0,7,8,0.875,0,0,0.0,10,10,1.0,2,13,15,4,1,1,4,1,24,35,TOR,HOME,Victor Wembanyama
Victor Wembanyama,1641705,2025-10-26,SAS vs. BKN,W,36.0,9,21,0.429,3,6,0.5,10,15,0.667,1,13,14,4,3,6,2,3,31,13,BKN,HOME,Victor Wembanyama
Victor Wembanyama,1641705,2025-10-24,SAS @ NOP,W,32.0,13,23,0.565,0,3,0.0,3,4,0.75,3,8,11,2,1,9,0,6,29,-12,NOP,AWAY,Victor Wembanyama
Victor Wembanyama,1641705,2025-10-22,SAS @ DAL,W,30.0,15,21,0.714,1,2,0.5,9,11,0.818,1,14,15,1,1,3,0,4,40,31,DAL,AWAY,Victor Wembanyama
