player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Vince Williams Jr.,1631246,2025-11-22,MEM @ DAL,W,24.0,3,9,0.333,0,3,0.0,4,4,1.0,3,7,10,6,2,0,3,4,10,3,DAL,AWAY,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-20,MEM vs. SAC,W,24.0,2,7,0.286,0,3,0.0,0,0,0.0,0,5,5,15,2,0,3,1,4,22,SAC,HOME,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-18,MEM @ SAS,L,30.0,5,13,0.385,1,5,0.2,3,4,0.75,4,5,9,9,0,0,1,3,14,11,SAS,AWAY,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-15,MEM @ CLE,L,27.0,3,9,0.333,2,4,0.5,0,2,0.0,0,4,4,5,2,0,4,1,8,4,CLE,AWAY,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-12,MEM @ BOS,L,25.0,4,12,0.333,3,10,0.3,1,1,1.0,1,4,5,2,0,0,1,2,12,-17,BOS,AWAY,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-11,MEM @ NYK,L,24.0,4,7,0.571,3,5,0.6,3,3,1.0,2,7,9,6,0,0,5,0,14,7,NYK,AWAY,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-09,MEM vs. OKC,L,14.0,1,3,0.333,1,2,0.5,0,0,0.0,1,5,6,0,0,1,1,2,3,9,OKC,HOME,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-07,MEM vs. DAL,W,16.0,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,2,0,-14,DAL,HOME,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-05,MEM vs. HOU,L,15.0,3,5,0.6,2,4,0.5,2,2,1.0,0,4,4,3,1,0,2,3,10,1,HOU,HOME,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-03,MEM vs. DET,L,15.0,0,3,0.0,0,2,0.0,4,4,1.0,1,1,2,2,1,1,1,2,4,-3,DET,HOME,Vince Williams Jr
Vince Williams Jr.,1631246,2025-11-02,MEM @ TOR,L,21.0,5,7,0.714,2,4,0.5,2,2,1.0,1,2,3,3,2,0,2,1,14,-5,TOR,AWAY,Vince Williams Jr
Vince Williams Jr.,1631246,2025-10-31,MEM vs. LAL,L,17.0,3,9,0.333,1,6,0.167,0,0,0.0,0,2,2,2,1,0,2,5,7,-1,LAL,HOME,Vince Williams Jr
