sport,bookmaker,team,odds,implied_prob,record
NBA,draftkings,Oklahoma City Thunder,115,0.46511627906976744,68-14
NBA,draftkings,Denver Nuggets,750,0.11764705882352941,50-32
NBA,draftkings,San Antonio Spurs,1200,0.07692307692307693,34-48
NBA,draftkings,New York Knicks,1200,0.07692307692307693,51-31
NBA,draftkings,Houston Rockets,1300,0.07142857142857142,52-30
NBA,draftkings,Detroit Pistons,2000,0.047619047619047616,44-38
NBA,draftkings,Los Angeles Lakers,2500,0.038461538461538464,50-32
NBA,draftkings,Boston Celtics,2500,0.038461538461538464,61-21
NBA,draftkings,Minnesota Timberwolves,2800,0.034482758620689655,49-33
NBA,draftkings,Cleveland Cavaliers,3000,0.03225806451612903,64-18
NBA,draftkings,Golden State Warriors,3500,0.027777777777777776,48-34
NBA,draftkings,Orlando Magic,4000,0.024390243902439025,41-41
NBA,draftkings,Philadelphia 76ers,6000,0.01639344262295082,24-58
NBA,draftkings,Miami Heat,9000,0.01098901098901099,37-45
NBA,draftkings,Atlanta Hawks,10000,0.009900990099009901,40-42
NBA,draftkings,Los Angeles Clippers,12000,0.008264462809917356,50-32
NBA,draftkings,Milwaukee Bucks,15000,0.006622516556291391,48-34
NBA,draftkings,Toronto Raptors,15000,0.006622516556291391,30-52
NBA,draftkings,Phoenix Suns,50000,0.001996007984031936,36-46
NBA,draftkings,Dallas Mavericks,70000,0.0014265335235378032,39-43
NBA,draftkings,Chicago Bulls,100000,0.000999000999000999,39-43
NBA,draftkings,Portland Trail Blazers,150000,0.0006662225183211193,36-46
NBA,draftkings,Sacramento Kings,200000,0.0004997501249375312,40-42
NBA,draftkings,Memphis Grizzlies,200000,0.0004997501249375312,48-34
NBA,draftkings,Washington Wizards,200000,0.0004997501249375312,18-64
NBA,draftkings,Charlotte Hornets,200000,0.0004997501249375312,19-63
NBA,draftkings,Brooklyn Nets,200000,0.0004997501249375312,26-56
NBA,draftkings,Utah Jazz,200000,0.0004997501249375312,17-65
NBA,draftkings,Indiana Pacers,200000,0.0004997501249375312,50-32
NBA,draftkings,New Orleans Pelicans,200000,0.0004997501249375312,21-61
NBA,fanduel,Oklahoma City Thunder,105,0.4878048780487805,68-14
NBA,fanduel,Denver Nuggets,850,0.10526315789473684,50-32
NBA,fanduel,New York Knicks,1200,0.07692307692307693,51-31
NBA,fanduel,Houston Rockets,1300,0.07142857142857142,52-30
NBA,fanduel,San Antonio Spurs,1400,0.06666666666666667,34-48
NBA,fanduel,Boston Celtics,1700,0.05555555555555555,61-21
NBA,fanduel,Detroit Pistons,2000,0.047619047619047616,44-38
NBA,fanduel,Cleveland Cavaliers,2200,0.043478260869565216,64-18
NBA,fanduel,Los Angeles Lakers,3000,0.03225806451612903,50-32
NBA,fanduel,Orlando Magic,4000,0.024390243902439025,41-41
NBA,fanduel,Minnesota Timberwolves,4500,0.021739130434782608,49-33
NBA,fanduel,Golden State Warriors,4500,0.021739130434782608,48-34
NBA,fanduel,Miami Heat,8000,0.012345679012345678,37-45
NBA,fanduel,Philadelphia 76ers,8000,0.012345679012345678,24-58
NBA,fanduel,Atlanta Hawks,10000,0.009900990099009901,40-42
NBA,fanduel,Los Angeles Clippers,12500,0.007936507936507936,50-32
NBA,fanduel,Milwaukee Bucks,17500,0.005681818181818182,48-34
NBA,fanduel,Toronto Raptors,20000,0.004975124378109453,30-52
NBA,fanduel,Phoenix Suns,50000,0.001996007984031936,36-46
NBA,fanduel,Dallas Mavericks,60000,0.0016638935108153079,39-43
NBA,fanduel,Portland Trail Blazers,100000,0.000999000999000999,36-46
NBA,fanduel,Chicago Bulls,100000,0.000999000999000999,39-43
NBA,fanduel,Brooklyn Nets,100000,0.000999000999000999,26-56
NBA,fanduel,Charlotte Hornets,100000,0.000999000999000999,19-63
NBA,fanduel,Utah Jazz,100000,0.000999000999000999,17-65
NBA,fanduel,Washington Wizards,100000,0.000999000999000999,18-64
NBA,fanduel,Sacramento Kings,100000,0.000999000999000999,40-42
NBA,fanduel,New Orleans Pelicans,100000,0.000999000999000999,21-61
NBA,fanduel,Indiana Pacers,100000,0.000999000999000999,50-32
NBA,fanduel,Memphis Grizzlies,100000,0.000999000999000999,48-34
NBA,betrivers,Oklahoma City Thunder,100,0.5,68-14
NBA,betrivers,Denver Nuggets,800,0.1111111111111111,50-32
NBA,betrivers,Houston Rockets,1200,0.07692307692307693,52-30
NBA,betrivers,New York Knicks,1200,0.07692307692307693,51-31
NBA,betrivers,San Antonio Spurs,1200,0.07692307692307693,34-48
NBA,betrivers,Boston Celtics,2000,0.047619047619047616,61-21
NBA,betrivers,Detroit Pistons,2000,0.047619047619047616,44-38
NBA,betrivers,Cleveland Cavaliers,2500,0.038461538461538464,64-18
NBA,betrivers,Los Angeles Lakers,2500,0.038461538461538464,50-32
NBA,betrivers,Minnesota Timberwolves,3000,0.03225806451612903,49-33
NBA,betrivers,Golden State Warriors,4000,0.024390243902439025,48-34
NBA,betrivers,Orlando Magic,4000,0.024390243902439025,41-41
NBA,betrivers,Atlanta Hawks,8000,0.012345679012345678,40-42
NBA,betrivers,Miami Heat,8000,0.012345679012345678,37-45
NBA,betrivers,Philadelphia 76ers,8000,0.012345679012345678,24-58
NBA,betrivers,Los Angeles Clippers,10000,0.009900990099009901,50-32
NBA,betrivers,Milwaukee Bucks,25000,0.00398406374501992,48-34
NBA,betrivers,Toronto Raptors,25000,0.00398406374501992,30-52
NBA,betrivers,Dallas Mavericks,50000,0.001996007984031936,39-43
NBA,betrivers,Phoenix Suns,50000,0.001996007984031936,36-46
NBA,betrivers,Brooklyn Nets,100000,0.000999000999000999,26-56
NBA,betrivers,Charlotte Hornets,100000,0.000999000999000999,19-63
NBA,betrivers,Chicago Bulls,100000,0.000999000999000999,39-43
NBA,betrivers,Indiana Pacers,100000,0.000999000999000999,50-32
NBA,betrivers,Memphis Grizzlies,100000,0.000999000999000999,48-34
NBA,betrivers,New Orleans Pelicans,100000,0.000999000999000999,21-61
NBA,betrivers,Portland Trail Blazers,100000,0.000999000999000999,36-46
NBA,betrivers,Sacramento Kings,100000,0.000999000999000999,40-42
NBA,betrivers,Utah Jazz,100000,0.000999000999000999,17-65
NBA,betrivers,Washington Wizards,100000,0.000999000999000999,18-64
NBA,betonlineag,Oklahoma City Thunder,-105,0.5121951219512195,68-14
NBA,betonlineag,Denver Nuggets,800,0.1111111111111111,50-32
NBA,betonlineag,San Antonio Spurs,1000,0.09090909090909091,34-48
NBA,betonlineag,Houston Rockets,1200,0.07692307692307693,52-30
NBA,betonlineag,New York Knicks,1200,0.07692307692307693,51-31
NBA,betonlineag,Boston Celtics,1800,0.05263157894736842,61-21
NBA,betonlineag,Detroit Pistons,2000,0.047619047619047616,44-38
NBA,betonlineag,Cleveland Cavaliers,2200,0.043478260869565216,64-18
NBA,betonlineag,Los Angeles Lakers,2500,0.038461538461538464,50-32
NBA,betonlineag,Minnesota Timberwolves,3300,0.029411764705882353,49-33
NBA,betonlineag,Orlando Magic,3300,0.029411764705882353,41-41
NBA,betonlineag,Golden State Warriors,4000,0.024390243902439025,48-34
NBA,betonlineag,Philadelphia 76ers,6600,0.014925373134328358,24-58
NBA,betonlineag,Atlanta Hawks,10000,0.009900990099009901,40-42
NBA,betonlineag,Miami Heat,10000,0.009900990099009901,37-45
NBA,betonlineag,Los Angeles Clippers,12500,0.007936507936507936,50-32
NBA,betonlineag,Milwaukee Bucks,12500,0.007936507936507936,48-34
NBA,betonlineag,Toronto Raptors,15000,0.006622516556291391,30-52
NBA,betonlineag,Phoenix Suns,50000,0.001996007984031936,36-46
NBA,betonlineag,Dallas Mavericks,75000,0.0013315579227696406,39-43
NBA,betonlineag,Charlotte Hornets,100000,0.000999000999000999,19-63
NBA,betonlineag,Chicago Bulls,100000,0.000999000999000999,39-43
NBA,betonlineag,Indiana Pacers,100000,0.000999000999000999,50-32
NBA,betonlineag,Memphis Grizzlies,100000,0.000999000999000999,48-34
NBA,betonlineag,Portland Trail Blazers,100000,0.000999000999000999,36-46
NBA,betonlineag,Sacramento Kings,100000,0.000999000999000999,40-42
NBA,betonlineag,Utah Jazz,100000,0.000999000999000999,17-65
NBA,betonlineag,New Orleans Pelicans,150000,0.0006662225183211193,21-61
NBA,betonlineag,Brooklyn Nets,200000,0.0004997501249375312,26-56
NBA,betonlineag,Washington Wizards,200000,0.0004997501249375312,18-64
NBA,betmgm,Oklahoma City Thunder,110,0.47619047619047616,68-14
NBA,betmgm,Denver Nuggets,800,0.1111111111111111,50-32
NBA,betmgm,New York Knicks,1200,0.07692307692307693,51-31
NBA,betmgm,San Antonio Spurs,1200,0.07692307692307693,34-48
NBA,betmgm,Houston Rockets,1300,0.07142857142857142,52-30
NBA,betmgm,Cleveland Cavaliers,2000,0.047619047619047616,64-18
NBA,betmgm,Detroit Pistons,2000,0.047619047619047616,44-38
NBA,betmgm,Los Angeles Lakers,2200,0.043478260869565216,50-32
NBA,betmgm,Boston Celtics,2500,0.038461538461538464,61-21
NBA,betmgm,Golden State Warriors,3000,0.03225806451612903,48-34
NBA,betmgm,Minnesota Timberwolves,3000,0.03225806451612903,49-33
NBA,betmgm,Orlando Magic,4000,0.024390243902439025,41-41
NBA,betmgm,Miami Heat,6600,0.014925373134328358,37-45
NBA,betmgm,Philadelphia 76ers,6600,0.014925373134328358,24-58
NBA,betmgm,Atlanta Hawks,8000,0.012345679012345678,40-42
NBA,betmgm,Los Angeles Clippers,12500,0.007936507936507936,50-32
NBA,betmgm,Toronto Raptors,15000,0.006622516556291391,30-52
NBA,betmgm,Milwaukee Bucks,20000,0.004975124378109453,48-34
NBA,betmgm,Chicago Bulls,50000,0.001996007984031936,39-43
NBA,betmgm,Dallas Mavericks,50000,0.001996007984031936,39-43
NBA,betmgm,Phoenix Suns,50000,0.001996007984031936,36-46
NBA,betmgm,Brooklyn Nets,100000,0.000999000999000999,26-56
NBA,betmgm,Charlotte Hornets,100000,0.000999000999000999,19-63
NBA,betmgm,Indiana Pacers,100000,0.000999000999000999,50-32
NBA,betmgm,Washington Wizards,100000,0.000999000999000999,18-64
NBA,betmgm,Memphis Grizzlies,100000,0.000999000999000999,48-34
NBA,betmgm,New Orleans Pelicans,100000,0.000999000999000999,21-61
NBA,betmgm,Portland Trail Blazers,100000,0.000999000999000999,36-46
NBA,betmgm,Sacramento Kings,100000,0.000999000999000999,40-42
NBA,betmgm,Utah Jazz,100000,0.000999000999000999,17-65
