player,game,game_time,market,line,bookmaker,under_odds,over_odds
LaMelo Ball,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,4.5,draftkings,-130,100
Brandon Miller,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,draftkings,-120,-110
Jordan Poole,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,draftkings,-140,110
Miles Bridges,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,draftkings,145,-188
Alex Sarr,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,draftkings,-105,-125
Bilal Coulibaly,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,draftkings,-145,114
Josh Green,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,draftkings,-180,140
Bilal Coulibaly,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,williamhill_us,-137,100
Alex Sarr,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,williamhill_us,-113,-121
Brandon Miller,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,williamhill_us,-109,-125
Jordan Poole,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,williamhill_us,-137,100
Miles Bridges,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,2.5,williamhill_us,-199,143
Josh Green,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,williamhill_us,-184,133
LaMelo Ball,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,4.5,williamhill_us,-133,-103
LaMelo Ball,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,4.5,betmgm,-130,100
Bilal Coulibaly,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,betmgm,-145,105
Jordan Poole,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,betmgm,-140,105
Brandon Miller,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,betmgm,-115,-120
Alex Sarr,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,betmgm,-110,-120
Josh Green,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,betmgm,-185,135
Miles Bridges,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,2.5,betmgm,-200,150
Miles Bridges,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,fanduel,142,-184
LaMelo Ball,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,4.5,fanduel,-122,-104
Jordan Poole,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,fanduel,-136,106
LaMelo Ball,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,4.5,betonlineag,-132,102
Jordan Poole,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,betonlineag,-137,106
Brandon Miller,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,betonlineag,-125,-103
Josh Green,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,betonlineag,-182,139
Alex Sarr,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,betonlineag,-110,-118
Bilal Coulibaly,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,betonlineag,-145,112
Miles Bridges,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,2.5,betonlineag,-200,152
Alex Sarr,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,bovada,100,-130
Bilal Coulibaly,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,bovada,-135,105
Brandon Miller,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,bovada,-110,-120
Jordan Poole,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,3.5,bovada,-135,105
Josh Green,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,bovada,-185,140
LaMelo Ball,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,4.5,bovada,-130,100
Miles Bridges,Charlotte Hornets @ Washington Wizards,2024-12-27T00:00:00Z,player_threes,1.5,bovada,150,-200
Tyler Herro,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,3.5,draftkings,-130,100
Duncan Robinson,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,draftkings,-125,-105
Jalen Suggs,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,draftkings,-135,105
Kentavious Caldwell-Pope,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,draftkings,135,-175
Tristan da Silva,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,draftkings,-110,-120
Bam Adebayo,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,0.5,draftkings,105,-135
Kentavious Caldwell-Pope,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,betrivers,123,-165
Jalen Suggs,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,betrivers,-130,-103
Tyler Herro,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,3.5,betrivers,-125,-106
Duncan Robinson,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,betrivers,-117,-114
Bam Adebayo,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,0.5,williamhill_us,108,-148
Duncan Robinson,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,williamhill_us,-109,-125
Kentavious Caldwell-Pope,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,williamhill_us,139,-194
Tyler Herro,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,3.5,williamhill_us,-121,-113
Tristan da Silva,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,williamhill_us,-113,-121
Haywood Highsmith,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,0.5,williamhill_us,139,-194
Jaime Jaquez Jr,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,0.5,williamhill_us,100,-137
Jalen Suggs,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,williamhill_us,-133,-103
Duncan Robinson,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,betmgm,-110,-120
Haywood Highsmith,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,0.5,betmgm,140,-190
Jaime Jaquez Jr,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,0.5,betmgm,100,-135
Kentavious Caldwell-Pope,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,betmgm,135,-185
Tyler Herro,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,3.5,betmgm,-115,-115
Bam Adebayo,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,0.5,betmgm,115,-155
Tristan da Silva,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,betmgm,-110,-120
Jalen Suggs,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,betmgm,-125,-105
Tyler Herro,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,3.5,fanduel,-118,-108
Kentavious Caldwell-Pope,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,fanduel,132,-170
Tristan da Silva,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,fanduel,-113,-113
Jalen Suggs,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,fanduel,-113,-113
Duncan Robinson,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,fanduel,-113,-113
Bam Adebayo,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,0.5,betonlineag,110,-143
Duncan Robinson,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,betonlineag,-114,-114
Tyler Herro,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,3.5,betonlineag,-119,-109
Jalen Suggs,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,betonlineag,-123,-105
Kentavious Caldwell-Pope,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,betonlineag,136,-179
Tristan da Silva,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,betonlineag,-111,-116
Duncan Robinson,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,bovada,-110,-120
Jalen Suggs,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,2.5,bovada,-125,-105
Kentavious Caldwell-Pope,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,bovada,145,-190
Tristan da Silva,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,1.5,bovada,-110,-120
Tyler Herro,Miami Heat @ Orlando Magic,2024-12-27T00:00:00Z,player_threes,3.5,bovada,-115,-115
Tyrese Haliburton,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,3.5,draftkings,-154,120
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,2.5,draftkings,-175,135
Myles Turner,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,draftkings,135,-175
Luguentz Dort,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,draftkings,130,-166
Jalen Williams,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,draftkings,124,-160
Pascal Siakam,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,draftkings,-110,-120
Bennedict Mathurin,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,draftkings,-135,105
Andrew Nembhard,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,draftkings,-195,150
Luguentz Dort,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betrivers,123,-165
