player,game,game_time,market,line,bookmaker,over_odds,under_odds
Tobias Harris,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,1.5,betonlineag,161,-213
Trae Young,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,3.5,betonlineag,132,-172
De'Andre Hunter,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,2.5,betonlineag,-118,-110
Cade Cunningham,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,1.5,betonlineag,-196,149
Zaccharie Risacher,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,1.5,betonlineag,106,-137
Tim Hardaway Jr,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,2.5,betonlineag,134,-175
Dyson Daniels,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,1.5,betonlineag,158,-208
Malik Beasley,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,3.5,betonlineag,-105,-123
Onyeka Okongwu,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,0.5,betonlineag,155,-204
Trae Young,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,3.5,fanduel,138,-178
Malik Beasley,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,3.5,fanduel,102,-130
Zaccharie Risacher,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,1.5,fanduel,100,-128
De'Andre Hunter,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,2.5,fanduel,100,-130
Dyson Daniels,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,1.5,fanduel,152,-196
Tim Hardaway Jr,Atlanta Hawks @ Detroit Pistons,2025-02-04T00:10:00Z,player_threes,2.5,fanduel,124,-158
