player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Al Horford,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,2.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,110.0,-140.0
Derrick White,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,4.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-140.0,110.0
Jalen Brunson,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,7.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,105.0,-135.0
Jaylen Brown,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,3.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-105.0,-125.0
Jayson Tatum,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,5.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,110.0,-140.0
Josh Hart,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,4.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,100.0,-130.0
Jrue Holiday,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,4.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-115.0,-115.0
Karl-Anthony Towns,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,2.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-175.0,135.0
Mikal Bridges,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,2.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-180.0,140.0
Miles McBride,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,1.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-160.0,124.0
OG Anunoby,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,1.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-105.0,-125.0
Payton Pritchard,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,3.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,120.0,-160.0
Sam Hauser,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_assists,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-166.0,130.0
Al Horford,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-135.0,105.0
Derrick White,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-180.0,140.0
Jalen Brunson,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,600.0,-1050.0
Jaylen Brown,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,120.0,-154.0
Jayson Tatum,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,124.0,-160.0
Josh Hart,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,124.0,-160.0
Jrue Holiday,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-130.0,100.0
Karl-Anthony Towns,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-120.0,-110.0
Luke Kornet,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-120.0,-110.0
Mikal Bridges,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,175.0,-230.0
Miles McBride,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,450.0,-720.0
OG Anunoby,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,-210.0,160.0
Payton Pritchard,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,600.0,-1050.0
Sam Hauser,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_blocks,0.5,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,290.0,-410.0
Al Horford,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
Derrick White,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
Jalen Brunson,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
Jaylen Brown,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
Jayson Tatum,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
Josh Hart,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
Jrue Holiday,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
Karl-Anthony Towns,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
Mikal Bridges,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
OG Anunoby,New York Knicks @ Boston Celtics,2024-10-22T23:40:00Z,player_double_double,,draftkings,2024-10-22T14:53:24Z,2024-10-22T14:55:59Z,,
