player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Tristan da Silva,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:54:42Z,-200,148
Franz Wagner,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:54:42Z,-138,104
Desmond Bane,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,2.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:54:42Z,114,-152
John Collins,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:54:42Z,162,-220
Bogdan Bogdanovic,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:54:42Z,-144,108
Wendell Carter Jr,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:54:42Z,162,-220
Nicolas Batum,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:54:42Z,152,-205
Jalen Suggs,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:54:42Z,-192,142
James Harden,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,3.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:54:42Z,116,-154
Jalen Suggs,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:55:11Z,-210,135
Nicolas Batum,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:55:11Z,135,-210
John Collins,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:55:11Z,155,-250
Tristan da Silva,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:55:11Z,-190,130
James Harden,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,3.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:55:11Z,120,-165
