player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Andrew Nembhard,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_assists,6.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,-129.0,-102.0
Donovan Mitchell,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_assists,4.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,-156.0,118.0
Darius Garland,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_assists,4.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,-117.0,-112.0
Pascal Siakam,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_assists,4.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,112.0,-147.0
T.J. McConnell,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_assists,3.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,-111.0,-118.0
Evan Mobley,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_assists,3.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,115.0,-152.0
De'Andre Hunter,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_assists,2.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,129.0,-170.0
Evan Mobley,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_blocks,1.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,-106.0,-125.0
Jarrett Allen,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_blocks,0.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,-132.0,100.0
Pascal Siakam,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_blocks,0.5,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,132.0,-176.0
Evan Mobley,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_double_double,,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,,
Jarrett Allen,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_double_double,,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,,
Andrew Nembhard,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_double_double,,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,,
Pascal Siakam,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_double_double,,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,,
Isaiah Jackson,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_double_double,,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,,
Bennedict Mathurin,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_double_double,,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,,
Donovan Mitchell,Indiana Pacers @ Cleveland Cavaliers,2025-11-22T00:00:00Z,player_double_double,,draftkings,2025-11-21T14:55:23Z,2025-11-21T14:56:22Z,,
