player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Josh Giddey,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,fanduel,2025-04-06T14:53:41Z,2025-04-06T14:55:14Z,118,-150
Matas Buzelis,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,fanduel,2025-04-06T14:53:41Z,2025-04-06T14:55:14Z,-136,106
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,fanduel,2025-04-06T14:53:41Z,2025-04-06T14:55:14Z,-138,108
Miles Bridges,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,fanduel,2025-04-06T14:53:41Z,2025-04-06T14:55:14Z,126,-162
Coby White,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,fanduel,2025-04-06T14:53:41Z,2025-04-06T14:55:14Z,-156,122
Kevin Huerter,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,fanduel,2025-04-06T14:53:41Z,2025-04-06T14:55:14Z,-102,-125
Nick Smith Jr,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,fanduel,2025-04-06T14:53:41Z,2025-04-06T14:55:14Z,132,-170
Coby White,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,draftkings,2025-04-06T14:55:28Z,2025-04-06T14:56:09Z,-140,110
Kevin Huerter,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,draftkings,2025-04-06T14:55:28Z,2025-04-06T14:56:09Z,124,-160
Miles Bridges,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,draftkings,2025-04-06T14:55:28Z,2025-04-06T14:56:09Z,130,-166
Matas Buzelis,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,draftkings,2025-04-06T14:55:28Z,2025-04-06T14:56:09Z,-140,110
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,draftkings,2025-04-06T14:55:28Z,2025-04-06T14:56:09Z,-130,100
Josh Giddey,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,draftkings,2025-04-06T14:55:28Z,2025-04-06T14:56:09Z,120,-154
Coby White,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,betrivers,2025-04-06T14:55:29Z,2025-04-06T14:55:35Z,-159,120
Kevin Huerter,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,betrivers,2025-04-06T14:55:29Z,2025-04-06T14:55:35Z,108,-143
Matas Buzelis,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betrivers,2025-04-06T14:55:29Z,2025-04-06T14:55:35Z,-150,112
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betrivers,2025-04-06T14:55:29Z,2025-04-06T14:55:35Z,-143,108
Josh Giddey,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betrivers,2025-04-06T14:55:29Z,2025-04-06T14:55:35Z,102,-136
Miles Bridges,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,betonlineag,2025-04-06T14:55:28Z,2025-04-06T14:55:38Z,134,-175
Coby White,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,betonlineag,2025-04-06T14:55:28Z,2025-04-06T14:55:38Z,-152,117
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betonlineag,2025-04-06T14:55:28Z,2025-04-06T14:55:38Z,-156,120
Josh Giddey,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betonlineag,2025-04-06T14:55:28Z,2025-04-06T14:55:38Z,124,-161
Kevin Huerter,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,betonlineag,2025-04-06T14:55:28Z,2025-04-06T14:55:38Z,104,-135
Matas Buzelis,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betonlineag,2025-04-06T14:55:28Z,2025-04-06T14:55:38Z,-139,107
Nick Smith Jr,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,betonlineag,2025-04-06T14:55:28Z,2025-04-06T14:55:38Z,120,-156
Seth Curry,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betonlineag,2025-04-06T14:55:28Z,2025-04-06T14:55:38Z,-115,-112
Seth Curry,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betmgm,2025-04-06T14:55:28Z,2025-04-06T14:55:54Z,-115,-115
Josh Giddey,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betmgm,2025-04-06T14:55:28Z,2025-04-06T14:55:54Z,130,-175
Coby White,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,betmgm,2025-04-06T14:55:28Z,2025-04-06T14:55:54Z,-155,115
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betmgm,2025-04-06T14:55:28Z,2025-04-06T14:55:54Z,-120,-110
Kevin Huerter,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,betmgm,2025-04-06T14:55:28Z,2025-04-06T14:55:54Z,100,-135
Matas Buzelis,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,betmgm,2025-04-06T14:55:28Z,2025-04-06T14:55:54Z,-140,105
Miles Bridges,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,betmgm,2025-04-06T14:55:28Z,2025-04-06T14:55:54Z,135,-185
Coby White,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,bovada,2025-04-06T14:55:31Z,2025-04-06T14:55:34Z,-160,120
Josh Giddey,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,bovada,2025-04-06T14:55:31Z,2025-04-06T14:55:34Z,130,-170
Kevin Huerter,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,bovada,2025-04-06T14:55:31Z,2025-04-06T14:55:34Z,105,-135
KJ Simpson,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,bovada,2025-04-06T14:55:31Z,2025-04-06T14:55:34Z,110,-145
Matas Buzelis,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,bovada,2025-04-06T14:55:31Z,2025-04-06T14:55:34Z,-135,105
Miles Bridges,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,bovada,2025-04-06T14:55:31Z,2025-04-06T14:55:34Z,140,-185
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,bovada,2025-04-06T14:55:31Z,2025-04-06T14:55:34Z,-125,-105
Seth Curry,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,bovada,2025-04-06T14:55:31Z,2025-04-06T14:55:34Z,-115,-115
Josh Giddey,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,williamhill_us,2025-04-06T14:55:28Z,2025-04-06T14:55:41Z,120,-166
Miles Bridges,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,williamhill_us,2025-04-06T14:55:28Z,2025-04-06T14:55:41Z,133,-184
Kevin Huerter,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,2.5,williamhill_us,2025-04-06T14:55:28Z,2025-04-06T14:55:41Z,100,-137
Matas Buzelis,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,williamhill_us,2025-04-06T14:55:28Z,2025-04-06T14:55:41Z,-148,108
Nikola Vucevic,Chicago Bulls @ Charlotte Hornets,2025-04-06T17:10:00Z,player_threes,1.5,williamhill_us,2025-04-06T14:55:28Z,2025-04-06T14:55:41Z,-142,104
