sport,bookmaker,team,odds,implied_prob,record
NFL,fanduel,Seattle Seahawks,390,0.20408163265306123,14-3
NFL,fanduel,Los Angeles Rams,430,0.18867924528301888,12-5
NFL,fanduel,Denver Broncos,650,0.13333333333333333,14-3
NFL,fanduel,Philadelphia Eagles,800,0.1111111111111111,11-6
NFL,fanduel,New England Patriots,1000,0.09090909090909091,14-3
NFL,fanduel,Buffalo Bills,1000,0.09090909090909091,12-5
NFL,fanduel,Houston Texans,1100,0.08333333333333333,12-5
NFL,fanduel,Jacksonville Jaguars,1300,0.07142857142857142,13-4
NFL,fanduel,Green Bay Packers,1900,0.05,9-7-1
NFL,fanduel,Chicago Bears,2000,0.047619047619047616,11-6
NFL,fanduel,San Francisco 49ers,2700,0.03571428571428571,12-5
NFL,fanduel,Los Angeles Chargers,3000,0.03225806451612903,11-6
NFL,fanduel,Pittsburgh Steelers,5000,0.0196078431372549,10-7
NFL,fanduel,Carolina Panthers,20000,0.004975124378109453,8-9
NFL,betonlineag,Seattle Seahawks,375,0.21052631578947367,14-3
NFL,betonlineag,Los Angeles Rams,440,0.18518518518518517,12-5
NFL,betonlineag,Denver Broncos,700,0.125,14-3
NFL,betonlineag,Philadelphia Eagles,850,0.10526315789473684,11-6
NFL,betonlineag,Buffalo Bills,900,0.1,12-5
NFL,betonlineag,New England Patriots,1000,0.09090909090909091,14-3
NFL,betonlineag,Houston Texans,1200,0.07692307692307693,12-5
NFL,betonlineag,Jacksonville Jaguars,1400,0.06666666666666667,13-4
NFL,betonlineag,Chicago Bears,2200,0.043478260869565216,11-6
NFL,betonlineag,Green Bay Packers,2200,0.043478260869565216,9-7-1
NFL,betonlineag,San Francisco 49ers,2500,0.038461538461538464,12-5
NFL,betonlineag,Los Angeles Chargers,3300,0.029411764705882353,11-6
NFL,betonlineag,Pittsburgh Steelers,5000,0.0196078431372549,10-7
NFL,betonlineag,Carolina Panthers,17500,0.005681818181818182,8-9
NFL,betrivers,Seattle Seahawks,375,0.21052631578947367,14-3
NFL,betrivers,Los Angeles Rams,425,0.19047619047619047,12-5
NFL,betrivers,Denver Broncos,650,0.13333333333333333,14-3
NFL,betrivers,Philadelphia Eagles,900,0.1,11-6
NFL,betrivers,Buffalo Bills,1000,0.09090909090909091,12-5
NFL,betrivers,New England Patriots,1000,0.09090909090909091,14-3
NFL,betrivers,Houston Texans,1200,0.07692307692307693,12-5
NFL,betrivers,Jacksonville Jaguars,1400,0.06666666666666667,13-4
NFL,betrivers,Chicago Bears,2000,0.047619047619047616,11-6
NFL,betrivers,Green Bay Packers,2200,0.043478260869565216,9-7-1
NFL,betrivers,San Francisco 49ers,2200,0.043478260869565216,12-5
NFL,betrivers,Los Angeles Chargers,3000,0.03225806451612903,11-6
NFL,betrivers,Pittsburgh Steelers,5000,0.0196078431372549,10-7
NFL,betrivers,Carolina Panthers,20000,0.004975124378109453,8-9
NFL,draftkings,Seattle Seahawks,330,0.23255813953488372,14-3
NFL,draftkings,Los Angeles Rams,425,0.19047619047619047,12-5
NFL,draftkings,Denver Broncos,650,0.13333333333333333,14-3
NFL,draftkings,New England Patriots,900,0.1,14-3
NFL,draftkings,Philadelphia Eagles,950,0.09523809523809523,11-6
NFL,draftkings,Buffalo Bills,1000,0.09090909090909091,12-5
NFL,draftkings,Houston Texans,1200,0.07692307692307693,12-5
NFL,draftkings,Jacksonville Jaguars,1300,0.07142857142857142,13-4
NFL,draftkings,Green Bay Packers,2500,0.038461538461538464,9-7-1
NFL,draftkings,Chicago Bears,2500,0.038461538461538464,11-6
NFL,draftkings,San Francisco 49ers,3000,0.03225806451612903,12-5
NFL,draftkings,Los Angeles Chargers,3000,0.03225806451612903,11-6
NFL,draftkings,Pittsburgh Steelers,5000,0.0196078431372549,10-7
NFL,draftkings,Carolina Panthers,20000,0.004975124378109453,8-9
NFL,bovada,Seattle Seahawks,375,0.21052631578947367,14-3
NFL,bovada,Los Angeles Rams,440,0.18518518518518517,12-5
NFL,bovada,Denver Broncos,700,0.125,14-3
NFL,bovada,Philadelphia Eagles,850,0.10526315789473684,11-6
NFL,bovada,Buffalo Bills,900,0.1,12-5
NFL,bovada,New England Patriots,1100,0.08333333333333333,14-3
NFL,bovada,Houston Texans,1300,0.07142857142857142,12-5
NFL,bovada,Jacksonville Jaguars,1350,0.06896551724137931,13-4
NFL,bovada,Los Angeles Chargers,2000,0.047619047619047616,11-6
NFL,bovada,San Francisco 49ers,2300,0.041666666666666664,12-5
NFL,bovada,Chicago Bears,2500,0.038461538461538464,11-6
NFL,bovada,Green Bay Packers,2600,0.037037037037037035,9-7-1
NFL,bovada,Pittsburgh Steelers,3800,0.02564102564102564,10-7
NFL,bovada,Carolina Panthers,14000,0.0070921985815602835,8-9
NFL,betmgm,Seattle Seahawks,375,0.21052631578947367,14-3
NFL,betmgm,Los Angeles Rams,425,0.19047619047619047,12-5
NFL,betmgm,Denver Broncos,650,0.13333333333333333,14-3
