player_name_nba_api,team,player_normalized
Asa Newell,ATL,Asa Newell
Caleb Houstan,ATL,Caleb Houstan
Dyson Daniels,ATL,Dyson Daniels
Eli John Ndiaye,ATL,Eli John Ndiaye
Jacob Toppin,ATL,Jacob Toppin
Jalen Johnson,ATL,Jalen Johnson
Keaton Wallace,ATL,Keaton Wallace
Kristaps Porziņģis,ATL,Kristaps Porzingis
Luke Kennard,ATL,Luke Kennard
Mouhamed Gueye,ATL,Mouhamed Gueye
N'Faly Dante,ATL,N'Faly Dante
Nickeil Alexander-Walker,ATL,Nickeil Alexander-Walker
Nikola Đurišić,ATL,Nikola Đurisic
Onyeka Okongwu,ATL,Onyeka Okongwu
Trae Young,ATL,Trae Young
Vít Krejčí,ATL,Vit Krejci
Zaccharie Risacher,ATL,Zaccharie Risacher
Ben Saraf,BKN,Ben Saraf
Cam Thomas,BKN,Cam Thomas
Danny Wolf,BKN,Danny Wolf
Day'Ron Sharpe,BKN,Day'Ron Sharpe
Drake Powell,BKN,Drake Powell
E.J. Liddell,BKN,E.J. Liddell
Egor Dëmin,BKN,Egor Demin
Haywood Highsmith,BKN,Haywood Highsmith
Jalen Wilson,BKN,Jalen Wilson
Michael Porter Jr.,BKN,Michael Porter Jr
Nic Claxton,BKN,Nic Claxton
Noah Clowney,BKN,Noah Clowney
Nolan Traore,BKN,Nolan Traore
Terance Mann,BKN,Terance Mann
Tyrese Martin,BKN,Tyrese Martin
Tyson Etienne,BKN,Tyson Etienne
Ziaire Williams,BKN,Ziaire Williams
Amari Williams,BOS,Amari Williams
Anfernee Simons,BOS,Anfernee Simons
Baylor Scheierman,BOS,Baylor Scheierman
Chris Boucher,BOS,Chris Boucher
Derrick White,BOS,Derrick White
Hugo González,BOS,Hugo Gonzalez
Jaylen Brown,BOS,Jaylen Brown
Jayson Tatum,BOS,Jayson Tatum
Jordan Walsh,BOS,Jordan Walsh
Josh Minott,BOS,Josh Minott
Luka Garza,BOS,Luka Garza
Max Shulga,BOS,Max Shulga
Neemias Queta,BOS,Neemias Queta
Payton Pritchard,BOS,Payton Pritchard
Ron Harper Jr.,BOS,Ron Harper Jr
Sam Hauser,BOS,Sam Hauser
Xavier Tillman,BOS,Xavier Tillman
Antonio Reeves,CHA,Antonio Reeves
Brandon Miller,CHA,Brandon Miller
Collin Sexton,CHA,Collin Sexton
Drew Peterson,CHA,Drew Peterson
Grant Williams,CHA,Grant Williams
Josh Green,CHA,Josh Green
KJ Simpson,CHA,Kj Simpson
Kon Knueppel,CHA,Kon Knueppel
LaMelo Ball,CHA,Lamelo Ball
Liam McNeeley,CHA,Liam Mcneeley
Mason Plumlee,CHA,Mason Plumlee
Miles Bridges,CHA,Miles Bridges
Moussa Diabaté,CHA,Moussa Diabate
Pat Connaughton,CHA,Pat Connaughton
Ryan Kalkbrenner,CHA,Ryan Kalkbrenner
Sion James,CHA,Sion James
Tidjane Salaün,CHA,Tidjane Salaun
Tre Mann,CHA,Tre Mann
Ayo Dosunmu,CHI,Ayo Dosunmu
Coby White,CHI,Coby White
Dalen Terry,CHI,Dalen Terry
Emanuel Miller,CHI,Emanuel Miller
Isaac Okoro,CHI,Isaac Okoro
Jalen Smith,CHI,Jalen Smith
Jevon Carter,CHI,Jevon Carter
Josh Giddey,CHI,Josh Giddey
Julian Phillips,CHI,Julian Phillips
Kevin Huerter,CHI,Kevin Huerter
Lachlan Olbrich,CHI,Lachlan Olbrich
Matas Buzelis,CHI,Matas Buzelis
Nikola Vučević,CHI,Nikola Vucevic
Noa Essengue,CHI,Noa Essengue
Patrick Williams,CHI,Patrick Williams
Tre Jones,CHI,Tre Jones
Trentyn Flowers,CHI,Trentyn Flowers
Zach Collins,CHI,Zach Collins
Chris Livingston,CLE,Chris Livingston
Craig Porter Jr.,CLE,Craig Porter Jr
Darius Garland,CLE,Darius Garland
De'Andre Hunter,CLE,De'Andre Hunter
Dean Wade,CLE,Dean Wade
Donovan Mitchell,CLE,Donovan Mitchell
Evan Mobley,CLE,Evan Mobley
Jarrett Allen,CLE,Jarrett Allen
Jaylon Tyson,CLE,Jaylon Tyson
Larry Nance Jr.,CLE,Larry Nance Jr
Lonzo Ball,CLE,Lonzo Ball
Luke Travers,CLE,Luke Travers
Max Strus,CLE,Max Strus
Nae'Qwan Tomlin,CLE,Nae'Qwan Tomlin
Sam Merrill,CLE,Sam Merrill
Thomas Bryant,CLE,Thomas Bryant
Tyrese Proctor,CLE,Tyrese Proctor
Anthony Davis,DAL,Anthony Davis
Brandon Williams,DAL,Brandon Williams
Caleb Martin,DAL,Caleb Martin
Cooper Flagg,DAL,Cooper Flagg
D'Angelo Russell,DAL,D'Angelo Russell
Daniel Gafford,DAL,Daniel Gafford
Danté Exum,DAL,Dante Exum
Dereck Lively II,DAL,Dereck Lively
Dwight Powell,DAL,Dwight Powell
Jaden Hardy,DAL,Jaden Hardy
Klay Thompson,DAL,Klay Thompson
Kyrie Irving,DAL,Kyrie Irving
Max Christie,DAL,Max Christie
Miles Kelly,DAL,Miles Kelly
Moussa Cisse,DAL,Moussa Cisse
Naji Marshall,DAL,Naji Marshall
P.J. Washington,DAL,P.J. Washington
Ryan Nembhard,DAL,Ryan Nembhard
Aaron Gordon,DEN,Aaron Gordon
Bruce Brown,DEN,Bruce Brown
Cameron Johnson,DEN,Cameron Johnson
Christian Braun,DEN,Christian Braun
Curtis Jones,DEN,Curtis Jones
DaRon Holmes II,DEN,Daron Holmes
Hunter Tyson,DEN,Hunter Tyson
Jalen Pickett,DEN,Jalen Pickett
Jamal Murray,DEN,Jamal Murray
Jonas Valančiūnas,DEN,Jonas Valanciunas
Julian Strawther,DEN,Julian Strawther
Nikola Jokić,DEN,Nikola Jokic
Peyton Watson,DEN,Peyton Watson
Spencer Jones,DEN,Spencer Jones
Tamar Bates,DEN,Tamar Bates
Tim Hardaway Jr.,DEN,Tim Hardaway Jr
Zeke Nnaji,DEN,Zeke Nnaji
Ausar Thompson,DET,Ausar Thompson
Bobi Klintman,DET,Bobi Klintman
Cade Cunningham,DET,Cade Cunningham
Caris LeVert,DET,Caris Levert
Chaz Lanier,DET,Chaz Lanier
Daniss Jenkins,DET,Daniss Jenkins
Duncan Robinson,DET,Duncan Robinson
Isaac Jones,DET,Isaac Jones
Isaiah Stewart,DET,Isaiah Stewart
Jaden Ivey,DET,Jadeney
Jalen Duren,DET,Jalen Duren
Javonte Green,DET,Javonte Green
Marcus Sasser,DET,Marcus Sasser
Paul Reed,DET,Paul Reed
Ronald Holland II,DET,Ronald Holland
Tobias Harris,DET,Tobias Harris
Tolu Smith,DET,Tolu Smith
Wendell Moore Jr.,DET,Wendell Moore Jr
Al Horford,GSW,Al Horford
Alex Toohey,GSW,Alex Toohey
Brandin Podziemski,GSW,Brandin Podziemski
Buddy Hield,GSW,Buddy Hield
De'Anthony Melton,GSW,De'Anthony Melton
Draymond Green,GSW,Draymond Green
Gary Payton II,GSW,Gary Payton
Gui Santos,GSW,Gui Santos
Jackson Rowe,GSW,Jackson Rowe
Jimmy Butler III,GSW,Jimmy Butler
Jonathan Kuminga,GSW,Jonathan Kuminga
Moses Moody,GSW,Moses Moody
Pat Spencer,GSW,Pat Spencer
Quinten Post,GSW,Quinten Post
Stephen Curry,GSW,Stephen Curry
Trayce Jackson-Davis,GSW,Trayce Jackson-Davis
Will Richard,GSW,Will Richard
Aaron Holiday,HOU,Aaron Holiday
Alperen Sengun,HOU,Alperen Sengun
Amen Thompson,HOU,Amen Thompson
Clint Capela,HOU,Clint Capela
Dorian Finney-Smith,HOU,Dorian Finney-Smith
Fred VanVleet,HOU,Fred Vanvleet
Isaiah Crawford,HOU,Isaiah Crawford
JD Davison,HOU,Jd Davison
Jabari Smith Jr.,HOU,Jabari Smith Jr
Jae'Sean Tate,HOU,Jae'Sean Tate
