consensus_line,num_bookmakers,avg_vig,over_best_odds,over_best_book,over_avg_odds,over_worst_odds,over_worst_book,under_best_odds,under_best_book,under_avg_odds,under_worst_odds,under_worst_book,best_market_vig,avg_market_vig,is_arbitrage,arb_opportunity,arb_profit_pct,alternative_lines,num_alternative_lines,date,player,game
1.5,7,6.86,-114,fanduel,-123.1,-130,fanatics,100,fanatics,-78.6,-114,fanduel,3.27,-0.81,False,0,0.0,,0,2025-10-21,Aaron Wiggins,Houston Rockets @ Oklahoma City Thunder
1.5,5,6.74,112,betonlineag,108.4,105,fanatics,-140,fanatics,-142.4,-145,bovada,5.5,6.73,False,0,0.0,,0,2025-10-21,Alex Caruso,Houston Rockets @ Oklahoma City Thunder
0.5,2,8.84,260,betmgm,225.0,190,fanatics,-325,fanatics,-350.0,-375,betmgm,4.25,8.55,False,0,0.0,,0,2025-10-21,Alperen Sengun,Houston Rockets @ Oklahoma City Thunder
0.5,3,6.89,120,betonlineag,118.3,115,fanatics,-155,fanatics,-157.0,-160,betmgm,6.24,6.89,False,0,0.0,,0,2025-10-21,Amen Thompson,Houston Rockets @ Oklahoma City Thunder
0.5,4,6.92,185,bovada,-130.0,-240,williamhill_us,175,betmgm,65.8,-250,bovada,-28.55,16.85,True,1,28.55,[1.5],1,2025-10-21,Cason Wallace,Houston Rockets @ Oklahoma City Thunder
1.5,8,7.1,112,betrivers,-26.1,-110,williamhill_us,-123,betonlineag,-131.9,-150,betrivers,2.33,-22.41,False,0,0.0,,0,2025-10-21,Chet Holmgren,Houston Rockets @ Oklahoma City Thunder
1.5,1,6.93,-120,bovada,-120.0,-120,bovada,-110,bovada,-110.0,-110,bovada,6.93,6.93,False,0,0.0,,0,2025-10-21,Isaiah Joe,Houston Rockets @ Oklahoma City Thunder
1.5,8,7.12,170,bovada,-130.5,-180,betrivers,133,draftkings,83.8,-230,bovada,-20.04,11.04,True,1,20.04,,0,2025-10-21,Jabari Smith Jr,Houston Rockets @ Oklahoma City Thunder
1.5,1,6.93,-120,bovada,-120.0,-120,bovada,-110,bovada,-110.0,-110,bovada,6.93,6.93,False,0,0.0,,0,2025-10-21,Jalen Williams,Houston Rockets @ Oklahoma City Thunder
2.5,8,6.89,103,draftkings,-28.0,-110,betmgm,-120,betmgm,-128.2,-136,fanduel,3.81,-21.94,False,0,0.0,,0,2025-10-21,Kevin Durant,Houston Rockets @ Oklahoma City Thunder
2.5,7,7.13,141,draftkings,134.9,125,fanatics,-175,fanatics,-182.0,-190,williamhill_us,5.13,7.12,False,0,0.0,[1.5],1,2025-10-21,Luguentz Dort,Houston Rockets @ Oklahoma City Thunder
1.5,8,7.07,185,bovada,-114.9,-175,betonlineag,134,betonlineag,71.8,-250,bovada,-22.18,11.69,True,1,22.18,,0,2025-10-21,Reed Sheppard,Houston Rockets @ Oklahoma City Thunder
1.5,8,7.06,190,bovada,-109.8,-167,betonlineag,128,betonlineag,67.4,-260,bovada,-21.66,12.07,True,1,21.66,,0,2025-10-21,Shai Gilgeous-Alexander,Houston Rockets @ Oklahoma City Thunder
1.5,6,7.52,170,betmgm,152.2,135,fanatics,-195,draftkings,-211.0,-235,betmgm,3.14,7.5,False,0,0.0,[0.5],1,2025-10-21,Tari Eason,Houston Rockets @ Oklahoma City Thunder
1.5,7,7.15,118,fanduel,111.9,102,betrivers,-136,betrivers,-149.7,-160,williamhill_us,3.5,7.16,False,0,0.0,,0,2025-10-22,Al Horford,Golden State Warriors @ Los Angeles Lakers
1.5,8,6.95,175,bovada,-120.1,-166,fanduel,125,betmgm,76.6,-240,bovada,-19.19,11.19,True,1,19.19,,0,2025-10-22,Andrew Wiggins,Miami Heat @ Orlando Magic
2.5,6,6.9,140,bovada,-123.0,-182,fanduel,136,fanduel,78.5,-185,bovada,-15.96,11.18,True,1,15.96,[3.5],1,2025-10-22,Anfernee Simons,Philadelphia 76ers @ Boston Celtics
2.5,6,6.8,150,bovada,-119.5,-180,fanduel,134,fanduel,75.3,-200,bovada,-17.26,11.48,True,1,17.26,[3.5],1,2025-10-22,Austin Reaves,Golden State Warriors @ Los Angeles Lakers
0.5,1,6.51,-235,betmgm,-235.0,-235,betmgm,175,betmgm,175.0,175,betmgm,6.51,6.51,False,0,0.0,,0,2025-10-22,Bam Adebayo,Miami Heat @ Orlando Magic
1.5,6,7.06,155,bovada,-127.8,-193,williamhill_us,143,betonlineag,79.0,-210,bovada,-19.63,11.97,True,1,19.63,[2.5],1,2025-10-22,Brandin Podziemski,Golden State Warriors @ Los Angeles Lakers
1.5,8,6.97,-125,betmgm,-128.8,-135,bovada,105,bovada,-77.9,-110,betmgm,4.34,0.06,False,0,0.0,,0,2025-10-22,Brandon Ingram,Toronto Raptors @ Atlanta Hawks
3.5,7,7.22,110,fanatics,76.3,-106,betrivers,-127,betrivers,-140.6,-155,williamhill_us,3.57,15.16,False,0,0.0,[2.5],1,2025-10-22,Brandon Miller,Brooklyn Nets @ Charlotte Hornets
2.5,6,7.51,130,fanduel,120.8,110,betmgm,-150,betmgm,-165.0,-185,williamhill_us,3.48,7.55,False,0,0.0,[1.5],1,2025-10-22,Buddy Hield,Golden State Warriors @ Los Angeles Lakers
2.5,8,6.85,180,bovada,-92.6,-140,betmgm,105,betmgm,-43.4,-245,bovada,-15.51,-21.66,True,1,15.51,,0,2025-10-22,Cam Thomas,Brooklyn Nets @ Charlotte Hornets
1.5,4,7.97,182,betonlineag,166.8,155,fanatics,-225,betmgm,-238.5,-250,fanatics,4.69,7.95,False,0,0.0,[0.5],1,2025-10-22,Chris Boucher,Philadelphia 76ers @ Boston Celtics
1.5,7,7.26,154,fanduel,147.0,135,fanatics,-190,bovada,-200.9,-210,fanatics,4.89,7.25,False,0,0.0,,0,2025-10-22,Collin Sexton,Brooklyn Nets @ Charlotte Hornets
1.5,7,7.42,180,betrivers,168.4,150,fanatics,-220,betmgm,-234.9,-245,betrivers,4.46,7.39,False,0,0.0,[0.5],1,2025-10-22,Davion Mitchell,Miami Heat @ Orlando Magic
0.5,1,7.09,333,betmgm,333.0,333,betmgm,-525,betmgm,-525.0,-525,betmgm,7.09,7.09,False,0,0.0,,0,2025-10-22,Day'Ron Sharpe,Brooklyn Nets @ Charlotte Hornets
2.5,7,7.19,126,betonlineag,120.6,110,betmgm,-150,betmgm,-162.1,-170,williamhill_us,4.25,7.19,False,0,0.0,[1.5],1,2025-10-22,De'Andre Hunter,Cleveland Cavaliers @ New York Knicks
1.5,3,6.71,110,fanatics,109.7,109,draftkings,-142,draftkings,-144.0,-145,fanatics,6.3,6.71,False,0,0.0,,0,2025-10-22,Dean Wade,Cleveland Cavaliers @ New York Knicks
0.5,1,10.3,230,fanatics,230.0,230,fanatics,-400,fanatics,-400.0,-400,fanatics,10.3,10.3,False,0,0.0,,0,2025-10-22,Deandre Ayton,Golden State Warriors @ Los Angeles Lakers
3.5,6,6.91,140,bovada,-104.8,-162,williamhill_us,121,draftkings,65.5,-185,bovada,-13.08,11.6,True,1,13.08,[4.5],1,2025-10-22,Derrick White,Philadelphia 76ers @ Boston Celtics
2.5,8,6.77,105,bovada,-79.0,-110,draftkings,-118,draftkings,-126.4,-135,bovada,2.91,-0.04,False,0,0.0,,0,2025-10-22,Desmond Bane,Miami Heat @ Orlando Magic
3.5,7,6.98,122,fanduel,118.7,114,betrivers,-150,betrivers,-158.1,-165,fanatics,5.05,6.98,False,0,0.0,[2.5],1,2025-10-22,Donovan Mitchell,Cleveland Cavaliers @ New York Knicks
1.5,8,7.26,162,fanduel,145.6,130,fanatics,-185,bovada,-198.8,-220,fanduel,3.08,7.24,False,0,0.0,,0,2025-10-22,Draymond Green,Golden State Warriors @ Los Angeles Lakers
0.5,2,6.42,-190,betmgm,-195.0,-200,betonlineag,151,betonlineag,148.0,145,betmgm,5.36,6.42,False,0,0.0,,0,2025-10-22,Dyson Daniels,Toronto Raptors @ Atlanta Hawks
1.5,8,7.36,144,betonlineag,135.8,125,betmgm,-165,betmgm,-185.5,-210,fanatics,3.25,7.39,False,0,0.0,,0,2025-10-22,Evan Mobley,Cleveland Cavaliers @ New York Knicks
1.5,8,7.11,190,bovada,-115.2,-165,betmgm,125,betmgm,71.0,-260,bovada,-21.07,12.02,True,1,21.07,,0,2025-10-22,Franz Wagner,Miami Heat @ Orlando Magic
1.5,6,6.93,210,bovada,-81.3,-146,fanduel,110,fanduel,39.3,-290,bovada,-20.12,16.62,True,1,20.12,,0,2025-10-22,Gabe Vincent,Golden State Warriors @ Los Angeles Lakers
1.5,7,6.96,130,betmgm,127.6,125,draftkings,-162,draftkings,-170.4,-175,betmgm,5.31,6.96,False,0,0.0,,0,2025-10-22,Gradey Dick,Toronto Raptors @ Atlanta Hawks
1.5,1,8.08,125,fanatics,125.0,125,fanatics,-175,fanatics,-175.0,-175,fanatics,8.08,8.08,False,0,0.0,,0,2025-10-22,Guerschon Yabusele,Cleveland Cavaliers @ New York Knicks
2.5,7,6.81,135,betrivers,118.1,110,fanduel,-146,fanduel,-156.3,-182,betrivers,1.9,6.82,False,0,0.0,[1.5],1,2025-10-22,Immanuel Quickley,Toronto Raptors @ Atlanta Hawks
0.5,1,7.11,-140,betmgm,-140.0,-140,betmgm,105,betmgm,105.0,105,betmgm,7.11,7.11,False,0,0.0,,0,2025-10-22,Jake LaRavia,Golden State Warriors @ Los Angeles Lakers
2.5,8,6.96,-110,fanatics,-113.9,-124,betrivers,-107,betrivers,-116.2,-120,fanatics,4.07,7.0,False,0,0.0,,0,2025-10-22,Jalen Brunson,Cleveland Cavaliers @ New York Knicks
0.5,5,7.52,190,bovada,-151.6,-250,fanatics,175,betonlineag,82.0,-260,bovada,-29.15,15.2,True,1,29.15,[1.5],1,2025-10-22,Jalen Johnson,Toronto Raptors @ Atlanta Hawks
1.5,1,6.52,100,fanatics,100.0,100,fanatics,-130,fanatics,-130.0,-130,fanatics,6.52,6.52,False,0,0.0,,0,2025-10-22,Jalen Suggs,Miami Heat @ Orlando Magic
0.5,1,6.67,275,betmgm,275.0,275,betmgm,-400,betmgm,-400.0,-400,betmgm,6.67,6.67,False,0,0.0,,0,2025-10-22,Jarred Vanderbilt,Golden State Warriors @ Los Angeles Lakers
2.5,6,7.32,148,betrivers,140.0,130,fanatics,-187,draftkings,-191.0,-200,betrivers,5.48,7.3,False,0,0.0,[1.5],1,2025-10-22,Jaylen Brown,Philadelphia 76ers @ Boston Celtics
0.5,1,7.3,-155,betmgm,-155.0,-155,betmgm,115,betmgm,115.0,115,betmgm,7.3,7.3,False,0,0.0,,0,2025-10-22,Jaylon Tyson,Cleveland Cavaliers @ New York Knicks
0.5,5,7.36,-135,betonlineag,-148.8,-165,fanatics,120,fanatics,110.2,104,betonlineag,2.9,7.38,False,0,0.0,,0,2025-10-22,Jimmy Butler,Golden State Warriors @ Los Angeles Lakers
1.5,8,7.06,125,bovada,119.2,115,betrivers,-152,betrivers,-159.5,-170,williamhill_us,4.76,7.07,False,0,0.0,,0,2025-10-22,Joel Embiid,Philadelphia 76ers @ Boston Celtics
0.5,2,6.92,-155,betmgm,-175.5,-196,betonlineag,148,betonlineag,131.5,115,betmgm,1.11,6.9,False,0,0.0,,0,2025-10-22,Jonathan Kuminga,Golden State Warriors @ Los Angeles Lakers
1.5,4,7.25,-115,fanatics,-121.2,-130,betmgm,-105,betmgm,-110.5,-115,fanatics,4.71,7.3,False,0,0.0,,0,2025-10-22,Jordan Clarkson,Cleveland Cavaliers @ New York Knicks
1.5,7,7.13,-145,betmgm,-159.0,-175,fanatics,127,draftkings,118.6,110,betmgm,3.24,7.14,False,0,0.0,[2.5],1,2025-10-22,Karl-Anthony Towns,Cleveland Cavaliers @ New York Knicks
0.5,1,7.3,115,betmgm,115.0,115,betmgm,-155,betmgm,-155.0,-155,betmgm,7.3,7.3,False,0,0.0,,0,2025-10-22,Kel'el Ware,Miami Heat @ Orlando Magic
