player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Bruce Brown,1628971,2024-10-23,TOR vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-10-25,TOR vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-10-26,TOR @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-10-28,TOR vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-10-30,TOR @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-01,TOR vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-11-02,TOR vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-11-04,TOR @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-06,TOR @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-09,TOR @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-10,TOR @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-12,TOR @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-15,TOR vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-11-16,TOR @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-18,TOR vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-11-21,TOR vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-11-24,TOR @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-25,TOR @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-27,TOR @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-11-29,TOR @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-12-01,TOR vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-12-03,TOR vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-12-05,TOR vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-12-07,TOR vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-12-09,TOR vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-12-12,TOR @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-12-16,TOR vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-12-19,TOR vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-12-22,TOR vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,Bruce Brown,True
Bruce Brown,1628971,2024-12-23,TOR @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-12-26,TOR @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Bruce Brown,True
Bruce Brown,1628971,2024-12-29,TOR vs. ATL,L,19.0,6,12,0.5,0,2,0.0,0,0,0.0,1,2,3,1,1,0,1,1,12,-6,ATL,HOME,Bruce Brown,False
Bruce Brown,1628971,2024-12-31,TOR @ BOS,L,19.0,2,7,0.286,1,2,0.5,1,2,0.5,1,1,2,1,1,0,0,3,6,-22,BOS,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-01-01,TOR vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Bruce Brown,True
Bruce Brown,1628971,2025-01-03,TOR vs. ORL,L,13.0,0,2,0.0,0,0,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,-8,ORL,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-01-06,TOR vs. MIL,L,17.0,1,3,0.333,0,1,0.0,1,1,1.0,1,2,3,0,1,0,1,2,3,-8,MIL,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-01-08,TOR @ NYK,L,21.0,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,4,-16,NYK,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-01-09,TOR @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Bruce Brown,True
Bruce Brown,1628971,2025-01-11,TOR @ DET,L,20.0,6,9,0.667,2,2,1.0,0,0,0.0,2,3,5,3,2,0,1,1,14,2,DET,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-01-13,TOR vs. GSW,W,14.0,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,2,1,2,3,1,0,-2,GSW,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-01-15,TOR vs. BOS,W,21.0,3,9,0.333,0,2,0.0,1,2,0.5,4,3,7,0,0,0,0,4,7,2,BOS,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-01-17,TOR @ MIL,L,20.0,6,11,0.545,2,5,0.4,3,4,0.75,2,4,6,0,0,0,1,2,17,-11,MIL,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-01-21,TOR vs. ORL,W,25.0,5,11,0.455,2,3,0.667,3,3,1.0,1,4,5,5,1,0,1,1,15,7,ORL,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-01-23,TOR @ ATL,W,20.0,8,12,0.667,1,3,0.333,1,1,1.0,0,5,5,4,1,0,2,2,18,-8,ATL,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-01-25,TOR @ ATL,W,27.0,3,9,0.333,0,3,0.0,2,2,1.0,0,5,5,2,1,0,5,3,8,27,ATL,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-01-27,TOR vs. NOP,W,29.0,4,8,0.5,0,0,0.0,4,4,1.0,2,7,9,2,3,0,2,1,12,4,NOP,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-01-29,TOR @ WAS,W,19.0,4,9,0.444,2,4,0.5,0,0,0.0,0,4,4,2,3,1,0,2,10,8,WAS,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-01-31,TOR vs. CHI,L,17.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,-19,CHI,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-02-02,TOR vs. LAC,W,17.0,1,4,0.25,0,1,0.0,4,4,1.0,2,1,3,2,0,0,0,0,6,7,LAC,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-02-04,TOR vs. NYK,L,16.0,3,6,0.5,1,2,0.5,2,2,1.0,0,3,3,1,0,0,1,1,9,8,NYK,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-02-05,TOR vs. MEM,L,18.0,3,9,0.333,0,3,0.0,2,2,1.0,1,2,3,1,1,0,0,1,8,-13,MEM,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-02-07,TOR @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Bruce Brown,True
Bruce Brown,1628971,2025-02-09,TOR @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Bruce Brown,True
Bruce Brown,1628971,2025-02-11,TOR @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Bruce Brown,True
Bruce Brown,1628971,2025-02-12,NOP vs. SAC,L,26.0,2,7,0.286,0,2,0.0,0,0,0.0,1,2,3,1,1,0,0,3,4,-9,SAC,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-02-13,NOP vs. SAC,W,17.0,1,5,0.2,0,2,0.0,3,4,0.75,0,4,4,2,0,0,1,4,5,-6,SAC,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-02-21,NOP @ DAL,L,22.0,2,7,0.286,0,1,0.0,2,2,1.0,1,3,4,0,0,0,0,2,6,-20,DAL,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-02-23,NOP vs. SAS,W,16.0,1,5,0.2,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,-11,SAS,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-02-25,NOP vs. SAS,W,29.0,3,8,0.375,0,1,0.0,2,3,0.667,2,4,6,6,3,0,1,1,8,20,SAS,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-02-27,NOP @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Bruce Brown,True
Bruce Brown,1628971,2025-02-28,NOP @ PHX,L,29.0,4,10,0.4,1,2,0.5,1,2,0.5,2,2,4,3,2,0,2,2,10,-11,PHX,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-03-02,NOP @ UTA,W,22.0,3,6,0.5,1,2,0.5,1,2,0.5,1,7,8,2,2,0,0,1,8,-9,UTA,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-03-04,NOP @ LAL,L,24.0,2,5,0.4,0,2,0.0,0,0,0.0,2,3,5,1,1,0,1,3,4,-17,LAL,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-03-06,NOP vs. HOU,L,19.0,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,2,2,0,1,1,0,-13,HOU,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-03-08,NOP @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Bruce Brown,True
Bruce Brown,1628971,2025-03-09,NOP vs. MEM,L,20.0,1,7,0.143,0,1,0.0,3,3,1.0,0,1,1,2,0,0,1,1,5,-10,MEM,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-03-11,NOP vs. LAC,W,30.0,5,9,0.556,1,2,0.5,1,1,1.0,1,4,5,5,0,0,0,1,12,-6,LAC,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-03-13,NOP vs. ORL,L,14.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,1,4,0,0,-24,ORL,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-03-15,NOP @ SAS,L,32.0,8,13,0.615,1,3,0.333,2,2,1.0,2,4,6,6,0,0,0,3,19,3,SAS,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-03-17,NOP vs. DET,L,16.0,1,4,0.25,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,-19,DET,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-03-19,NOP @ MIN,W,31.0,5,11,0.455,4,7,0.571,1,2,0.5,3,4,7,6,0,0,1,4,15,9,MIN,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-03-21,NOP @ MIN,L,22.0,5,8,0.625,3,4,0.75,1,1,1.0,0,2,2,1,1,0,2,3,14,-25,MIN,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-03-23,NOP @ DET,L,35.0,5,9,0.556,1,2,0.5,1,2,0.5,0,1,1,2,0,0,0,2,12,0,DET,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-03-24,NOP vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Bruce Brown,True
Bruce Brown,1628971,2025-03-28,NOP vs. GSW,L,32.0,6,11,0.545,2,4,0.5,4,4,1.0,2,5,7,1,2,2,1,4,18,-7,GSW,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-03-30,NOP vs. CHA,W,31.0,1,8,0.125,0,2,0.0,1,2,0.5,2,10,12,2,1,3,1,0,3,7,CHA,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-04-02,NOP @ LAC,L,23.0,7,12,0.583,1,2,0.5,1,1,1.0,0,5,5,1,2,0,2,3,16,3,LAC,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-04-04,NOP @ LAL,L,26.0,0,5,0.0,0,1,0.0,1,2,0.5,2,4,6,1,0,0,1,1,1,-12,LAL,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-04-06,NOP vs. MIL,L,32.0,7,16,0.438,0,1,0.0,2,3,0.667,0,4,4,9,0,1,0,3,16,0,MIL,HOME,Bruce Brown,False
Bruce Brown,1628971,2025-04-08,NOP @ BKN,L,20.0,4,7,0.571,1,1,1.0,0,0,0.0,0,3,3,1,0,0,0,0,9,-21,BKN,AWAY,Bruce Brown,False
Bruce Brown,1628971,2025-04-10,NOP @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Bruce Brown,True
Bruce Brown,1628971,2025-04-11,NOP vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Bruce Brown,True
Bruce Brown,1628971,2025-04-13,NOP vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Bruce Brown,True
