player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Cade Cunningham,1630595,2024-10-23,DET vs. IND,L,37.0,10,23,0.435,2,6,0.333,6,6,1.0,0,5,5,8,1,0,2,2,28,-10,IND,HOME,Cade Cunningham,False
Cade Cunningham,1630595,2024-10-25,DET @ CLE,L,35.0,14,24,0.583,2,6,0.333,3,3,1.0,2,2,4,6,0,0,9,4,33,-14,CLE,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-10-26,DET vs. BOS,L,41.0,9,22,0.409,2,8,0.25,1,3,0.333,0,6,6,10,1,4,7,2,21,3,BOS,HOME,Cade Cunningham,False
Cade Cunningham,1630595,2024-10-28,DET @ MIA,L,35.0,9,18,0.5,4,7,0.571,2,3,0.667,1,7,8,6,2,1,5,4,24,-7,MIA,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-10-30,DET @ PHI,W,37.0,6,15,0.4,4,8,0.5,6,6,1.0,1,4,5,7,1,1,5,2,22,12,PHI,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-01,DET vs. NYK,L,32.0,10,19,0.526,2,4,0.5,0,0,0.0,0,6,6,6,0,1,1,1,22,-19,NYK,HOME,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-03,DET @ BKN,W,35.0,8,13,0.615,1,4,0.25,2,3,0.667,1,5,6,5,0,0,7,3,19,11,BKN,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-04,DET vs. LAL,W,36.0,7,17,0.412,1,5,0.2,2,5,0.4,2,9,11,11,0,0,3,1,17,14,LAL,HOME,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-06,DET @ CHA,L,38.0,9,23,0.391,0,4,0.0,2,2,1.0,1,9,10,10,0,0,2,5,20,-1,CHA,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-08,DET vs. ATL,W,36.0,8,17,0.471,1,4,0.25,5,5,1.0,1,10,11,13,1,1,7,2,22,3,ATL,HOME,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-10,DET vs. HOU,L,36.0,10,21,0.476,2,4,0.5,4,6,0.667,0,8,8,9,0,1,4,3,26,-6,HOU,HOME,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-12,DET vs. MIA,W,38.0,6,15,0.4,2,7,0.286,7,7,1.0,0,7,7,9,0,2,7,1,21,-2,MIA,HOME,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-13,DET @ MIL,L,43.0,13,34,0.382,5,10,0.5,4,4,1.0,2,5,7,11,2,3,6,4,35,-4,MIL,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-15,DET @ TOR,W,36.0,6,21,0.286,2,9,0.222,1,2,0.5,2,4,6,10,1,0,4,2,15,-10,TOR,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-17,DET @ WAS,W,31.0,7,15,0.467,2,4,0.5,5,5,1.0,2,8,10,10,5,1,2,2,21,18,WAS,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-18,DET vs. CHI,L,36.0,8,17,0.471,4,7,0.571,6,9,0.667,0,6,6,10,0,0,3,3,26,-5,CHI,HOME,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-21,DET @ CHA,L,37.0,9,26,0.346,2,9,0.222,7,9,0.778,4,3,7,10,1,0,5,2,27,-3,CHA,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-23,DET @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Cade Cunningham,True
Cade Cunningham,1630595,2024-11-25,DET vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Cade Cunningham,True
Cade Cunningham,1630595,2024-11-27,DET @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Cade Cunningham,True
Cade Cunningham,1630595,2024-11-29,DET @ IND,W,33.0,10,19,0.526,4,6,0.667,0,0,0.0,0,6,6,11,2,0,6,3,24,13,IND,AWAY,Cade Cunningham,False
Cade Cunningham,1630595,2024-11-30,DET vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Cade Cunningham,True
Cade Cunningham,1630595,2024-12-03,DET vs. MIL,L,33.0,9,16,0.563,3,6,0.5,2,6,0.333,1,4,5,6,1,0,4,2,23,-20,MIL,HOME,Cade Cunningham,False
Cade Cunningham,1630595,2024-12-04,DET @ BOS,L,34.0,11,21,0.524,3,9,0.333,2,2,1.0,2,7,9,14,0,1,6,5,27,-7,BOS,AWAY,Cade Cunningham,False
