player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Cam Whitmore,1641715,2024-10-23,HOU vs. CHA,L,8.0,2,4,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,4,CHA,HOME,Cam Whitmore,False
Cam Whitmore,1641715,2024-10-25,HOU vs. MEM,W,14.0,5,12,0.417,0,4,0.0,1,3,0.333,1,2,3,0,0,0,1,5,11,-2,MEM,HOME,Cam Whitmore,False
Cam Whitmore,1641715,2024-10-26,HOU @ SAS,L,21.0,4,10,0.4,0,3,0.0,2,3,0.667,1,2,3,0,0,1,0,0,10,6,SAS,AWAY,Cam Whitmore,False
Cam Whitmore,1641715,2024-10-28,HOU @ SAS,W,12.0,1,5,0.2,0,4,0.0,2,2,1.0,0,1,1,0,0,0,0,0,4,-7,SAS,AWAY,Cam Whitmore,False
Cam Whitmore,1641715,2024-10-31,HOU @ DAL,W,8.0,2,6,0.333,1,2,0.5,1,2,0.5,1,0,1,1,0,0,1,1,6,-1,DAL,AWAY,Cam Whitmore,False
Cam Whitmore,1641715,2024-11-02,HOU vs. GSW,L,5.0,2,4,0.5,0,2,0.0,0,0,0.0,1,1,2,1,0,0,1,0,4,-9,GSW,HOME,Cam Whitmore,False
Cam Whitmore,1641715,2024-11-04,HOU vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Cam Whitmore,True
Cam Whitmore,1641715,2024-11-06,HOU vs. SAS,W,7.0,1,3,0.333,0,2,0.0,2,2,1.0,0,1,1,1,1,0,0,1,4,0,SAS,HOME,Cam Whitmore,False
Cam Whitmore,1641715,2024-11-08,HOU @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Cam Whitmore,True
Cam Whitmore,1641715,2024-11-10,HOU @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Cam Whitmore,True
Cam Whitmore,1641715,2024-11-11,HOU vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Cam Whitmore,True
Cam Whitmore,1641715,2024-11-13,HOU vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Cam Whitmore,True
Cam Whitmore,1641715,2024-11-15,HOU vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Cam Whitmore,True
Cam Whitmore,1641715,2024-11-17,HOU @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Cam Whitmore,True
Cam Whitmore,1641715,2024-11-18,HOU @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Cam Whitmore,True
Cam Whitmore,1641715,2024-11-20,HOU vs. IND,W,5.0,1,4,0.25,0,3,0.0,2,4,0.5,0,0,0,1,0,0,0,1,4,-4,IND,HOME,Cam Whitmore,False
Cam Whitmore,1641715,2024-11-22,HOU vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Cam Whitmore,True
