player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Chet Holmgren,1631096,2024-10-24,OKC @ DEN,W,36.0,11,18,0.611,0,5,0.0,3,5,0.6,4,10,14,5,2,4,2,2,25,9,DEN,AWAY,Chet Holmgren,False
Chet Holmgren,1631096,2024-10-26,OKC @ CHI,W,29.0,8,18,0.444,0,5,0.0,5,8,0.625,3,13,16,0,1,2,2,2,21,8,CHI,AWAY,Chet Holmgren,False
Chet Holmgren,1631096,2024-10-27,OKC vs. ATL,W,33.0,8,12,0.667,3,5,0.6,6,8,0.75,2,7,9,4,1,6,3,2,25,19,ATL,HOME,Chet Holmgren,False
Chet Holmgren,1631096,2024-10-30,OKC vs. SAS,W,28.0,7,10,0.7,3,3,1.0,2,2,1.0,0,5,5,2,2,2,5,3,19,8,SAS,HOME,Chet Holmgren,False
Chet Holmgren,1631096,2024-11-01,OKC @ POR,W,18.0,1,3,0.333,0,2,0.0,4,4,1.0,0,1,1,3,1,5,2,4,6,12,POR,AWAY,Chet Holmgren,False
Chet Holmgren,1631096,2024-11-02,OKC @ LAC,W,29.0,3,9,0.333,1,4,0.25,3,4,0.75,1,13,14,4,1,1,3,0,10,11,LAC,AWAY,Chet Holmgren,False
Chet Holmgren,1631096,2024-11-04,OKC vs. ORL,W,22.0,5,10,0.5,1,2,0.5,3,5,0.6,2,7,9,1,0,2,2,1,14,15,ORL,HOME,Chet Holmgren,False
Chet Holmgren,1631096,2024-11-06,OKC @ DEN,L,36.0,5,14,0.357,2,3,0.667,3,3,1.0,3,7,10,0,0,1,3,3,15,-11,DEN,AWAY,Chet Holmgren,False
Chet Holmgren,1631096,2024-11-08,OKC vs. HOU,W,29.0,8,14,0.571,4,6,0.667,9,10,0.9,1,4,5,1,0,3,1,1,29,16,HOU,HOME,Chet Holmgren,False
Chet Holmgren,1631096,2024-11-10,OKC vs. GSW,L,5.0,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,0,0,0,0,0,0,4,GSW,HOME,Chet Holmgren,False
Chet Holmgren,1631096,2024-11-11,OKC vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Chet Holmgren,True
