player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Christian Koloko,1631132,2024-10-22,LAL vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Christian Koloko,True
Christian Koloko,1631132,2024-10-25,LAL vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Christian Koloko,True
Christian Koloko,1631132,2024-10-26,LAL vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Christian Koloko,True
Christian Koloko,1631132,2024-10-28,LAL @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Christian Koloko,True
Christian Koloko,1631132,2024-10-30,LAL @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Christian Koloko,True
Christian Koloko,1631132,2024-11-01,LAL @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Christian Koloko,True
Christian Koloko,1631132,2024-11-04,LAL @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Christian Koloko,True
Christian Koloko,1631132,2024-11-06,LAL @ MEM,L,13.0,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,1,2,-4,MEM,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-11-08,LAL vs. PHI,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-4,PHI,HOME,Christian Koloko,False
Christian Koloko,1631132,2024-11-10,LAL vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Christian Koloko,True
Christian Koloko,1631132,2024-11-13,LAL vs. MEM,W,13.0,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,1,4,6,MEM,HOME,Christian Koloko,False
Christian Koloko,1631132,2024-11-15,LAL @ SAS,W,10.0,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,-6,SAS,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-11-16,LAL @ NOP,W,11.0,3,4,0.75,0,1,0.0,0,0,0.0,4,2,6,1,1,1,0,1,6,3,NOP,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-11-19,LAL vs. UTA,W,14.0,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,1,2,2,UTA,HOME,Christian Koloko,False
Christian Koloko,1631132,2024-11-21,LAL vs. ORL,L,10.0,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,1,0,1,1,1,2,-1,ORL,HOME,Christian Koloko,False
Christian Koloko,1631132,2024-11-23,LAL vs. DEN,L,10.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,1,1,0,1,0,8,DEN,HOME,Christian Koloko,False
Christian Koloko,1631132,2024-11-26,LAL @ PHX,L,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHX,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-11-27,LAL @ SAS,W,8.0,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,2,4,4,SAS,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-11-29,LAL vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Christian Koloko,True
Christian Koloko,1631132,2024-12-01,LAL @ UTA,W,9.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-5,UTA,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-12-02,LAL @ MIN,L,8.0,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,2,-4,MIN,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-12-04,LAL @ MIA,L,13.0,2,3,0.667,0,0,0.0,0,0,0.0,3,1,4,0,0,0,0,2,4,-12,MIA,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-12-06,LAL @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Christian Koloko,True
Christian Koloko,1631132,2024-12-08,LAL vs. POR,W,16.0,1,3,0.333,0,0,0.0,0,0,0.0,3,3,6,1,0,0,0,3,2,5,POR,HOME,Christian Koloko,False
Christian Koloko,1631132,2024-12-13,LAL @ MIN,L,12.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,6,0,1,2,0,2,0,12,MIN,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-12-15,LAL vs. MEM,W,12.0,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,2,1,-11,MEM,HOME,Christian Koloko,False
Christian Koloko,1631132,2024-12-19,LAL @ SAC,W,4.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,1,0,-6,SAC,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-12-21,LAL @ SAC,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2,SAC,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-12-23,LAL vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Christian Koloko,True
Christian Koloko,1631132,2024-12-25,LAL @ GSW,W,9.0,1,1,1.0,0,0,0.0,0,0,0.0,4,2,6,0,0,1,1,0,2,7,GSW,AWAY,Christian Koloko,False
Christian Koloko,1631132,2024-12-28,LAL vs. SAC,W,5.0,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,4,-4,SAC,HOME,Christian Koloko,False
Christian Koloko,1631132,2024-12-31,LAL vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Christian Koloko,True
Christian Koloko,1631132,2025-01-02,LAL vs. POR,W,19.0,4,8,0.5,0,0,0.0,0,0,0.0,6,2,8,3,1,0,0,2,8,8,POR,HOME,Christian Koloko,False
Christian Koloko,1631132,2025-01-03,LAL vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Christian Koloko,True
