player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Damion Lee,1627814,2024-10-23,PHO @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Damion Lee,True
Damion Lee,1627814,2024-10-25,PHO @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Damion Lee,True
Damion Lee,1627814,2024-10-26,PHX vs. DAL,W,18.0,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,2,0,0,1,1,2,-2,DAL,HOME,Damion Lee,False
Damion Lee,1627814,2024-10-28,PHO vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Damion Lee,True
Damion Lee,1627814,2024-10-31,PHO @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Damion Lee,True
Damion Lee,1627814,2024-11-02,PHO vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Damion Lee,True
Damion Lee,1627814,2024-11-04,PHO vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Damion Lee,True
Damion Lee,1627814,2024-11-06,PHO vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Damion Lee,True
Damion Lee,1627814,2024-11-08,PHO @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,Damion Lee,True
Damion Lee,1627814,2024-11-10,PHO vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Damion Lee,True
Damion Lee,1627814,2024-11-12,PHO @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,Damion Lee,True
Damion Lee,1627814,2024-11-13,PHX @ SAC,L,11.0,1,4,0.25,0,2,0.0,2,2,1.0,0,0,0,1,0,0,1,0,4,-1,SAC,AWAY,Damion Lee,False
Damion Lee,1627814,2024-11-15,PHX @ OKC,L,5.0,1,2,0.5,1,1,1.0,2,2,1.0,0,2,2,1,1,0,0,0,5,8,OKC,AWAY,Damion Lee,False
Damion Lee,1627814,2024-11-17,PHO @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Damion Lee,True
Damion Lee,1627814,2024-11-18,PHO vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Damion Lee,True
Damion Lee,1627814,2024-11-20,PHX vs. NYK,L,4.0,1,5,0.2,0,4,0.0,2,2,1.0,0,0,0,1,1,0,1,0,4,3,NYK,HOME,Damion Lee,False
Damion Lee,1627814,2024-11-26,PHO vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Damion Lee,True
Damion Lee,1627814,2024-11-27,PHO vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Damion Lee,True
Damion Lee,1627814,2024-11-30,PHO vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Damion Lee,True
Damion Lee,1627814,2024-12-03,PHO vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Damion Lee,True
Damion Lee,1627814,2024-12-05,PHO @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Damion Lee,True
Damion Lee,1627814,2024-12-07,PHO @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Damion Lee,True
Damion Lee,1627814,2024-12-08,PHO @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Damion Lee,True
Damion Lee,1627814,2024-12-13,PHO @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,Damion Lee,True
Damion Lee,1627814,2024-12-15,PHO vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Damion Lee,True
Damion Lee,1627814,2024-12-19,PHO vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Damion Lee,True
Damion Lee,1627814,2024-12-21,PHO vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Damion Lee,True
Damion Lee,1627814,2024-12-23,PHX @ DEN,L,7.0,0,4,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-3,DEN,AWAY,Damion Lee,False
Damion Lee,1627814,2024-12-25,PHO vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Damion Lee,True
Damion Lee,1627814,2024-12-27,PHX vs. DAL,L,1.0,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,DAL,HOME,Damion Lee,False
Damion Lee,1627814,2024-12-28,PHO @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,Damion Lee,True
Damion Lee,1627814,2024-12-31,PHX vs. MEM,L,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,MEM,HOME,Damion Lee,False
Damion Lee,1627814,2025-01-04,PHX @ IND,L,1.0,0,0,0.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,0,2,0,IND,AWAY,Damion Lee,False
Damion Lee,1627814,2025-01-06,PHO @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Damion Lee,True
Damion Lee,1627814,2025-01-07,PHO @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Damion Lee,True
Damion Lee,1627814,2025-01-09,PHO vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Damion Lee,True
Damion Lee,1627814,2025-01-11,PHO vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Damion Lee,True
Damion Lee,1627814,2025-01-12,PHO vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Damion Lee,True
Damion Lee,1627814,2025-01-14,PHO @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Damion Lee,True
Damion Lee,1627814,2025-01-16,PHO @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Damion Lee,True
Damion Lee,1627814,2025-01-18,PHO @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Damion Lee,True
Damion Lee,1627814,2025-01-20,PHX @ CLE,L,8.0,3,5,0.6,1,1,1.0,2,2,1.0,0,2,2,1,0,0,1,0,9,3,CLE,AWAY,Damion Lee,False
Damion Lee,1627814,2025-01-22,PHX @ BKN,W,5.0,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,0,3,0,BKN,AWAY,Damion Lee,False
Damion Lee,1627814,2025-01-25,PHO vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Damion Lee,True
Damion Lee,1627814,2025-01-27,PHO vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Damion Lee,True
Damion Lee,1627814,2025-01-29,PHO vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Damion Lee,True
Damion Lee,1627814,2025-01-31,PHX @ GSW,W,5.0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,GSW,AWAY,Damion Lee,False
Damion Lee,1627814,2025-02-01,PHX @ POR,L,5.0,3,5,0.6,0,2,0.0,1,1,1.0,0,0,0,0,2,0,0,0,7,1,POR,AWAY,Damion Lee,False
Damion Lee,1627814,2025-02-03,PHO @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Damion Lee,True
Damion Lee,1627814,2025-02-05,PHX @ OKC,L,8.0,1,5,0.2,0,1,0.0,2,2,1.0,0,2,2,1,0,0,0,1,4,-2,OKC,AWAY,Damion Lee,False
Damion Lee,1627814,2025-02-07,PHX vs. UTA,W,5.0,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,2,UTA,HOME,Damion Lee,False
Damion Lee,1627814,2025-02-08,PHX vs. DEN,L,16.0,3,7,0.429,2,4,0.5,3,4,0.75,0,0,0,0,0,0,1,1,11,2,DEN,HOME,Damion Lee,False
Damion Lee,1627814,2025-02-11,PHO vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Damion Lee,True
Damion Lee,1627814,2025-02-12,PHO @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Damion Lee,True
Damion Lee,1627814,2025-02-20,PHO @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Damion Lee,True
Damion Lee,1627814,2025-02-22,PHO @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Damion Lee,True
Damion Lee,1627814,2025-02-23,PHO @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Damion Lee,True
Damion Lee,1627814,2025-02-25,PHO @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Damion Lee,True
Damion Lee,1627814,2025-02-27,PHO vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Damion Lee,True
Damion Lee,1627814,2025-02-28,PHO vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Damion Lee,True
Damion Lee,1627814,2025-03-02,PHX vs. MIN,L,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,3,MIN,HOME,Damion Lee,False
Damion Lee,1627814,2025-03-04,PHO vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Damion Lee,True
Damion Lee,1627814,2025-03-07,PHO @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Damion Lee,True
Damion Lee,1627814,2025-03-09,PHO @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,Damion Lee,True
