player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Dante Exum,203957,2024-10-24,DAL vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Dante Exum,True
Dante Exum,203957,2024-10-26,DAL @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Dante Exum,True
Dante Exum,203957,2024-10-28,DAL vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Dante Exum,True
Dante Exum,203957,2024-10-29,DAL @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Dante Exum,True
Dante Exum,203957,2024-10-31,DAL vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,Dante Exum,True
Dante Exum,203957,2024-11-03,DAL vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Dante Exum,True
Dante Exum,203957,2024-11-04,DAL vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Dante Exum,True
Dante Exum,203957,2024-11-06,DAL vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Dante Exum,True
Dante Exum,203957,2024-11-08,DAL vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Dante Exum,True
Dante Exum,203957,2024-11-10,DAL @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Dante Exum,True
Dante Exum,203957,2024-11-12,DAL @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,Dante Exum,True
Dante Exum,203957,2024-11-14,DAL @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,Dante Exum,True
Dante Exum,203957,2024-11-16,DAL vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Dante Exum,True
Dante Exum,203957,2024-11-17,DAL @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Dante Exum,True
Dante Exum,203957,2024-11-19,DAL vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Dante Exum,True
Dante Exum,203957,2024-11-22,DAL @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Dante Exum,True
Dante Exum,203957,2024-11-24,DAL @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Dante Exum,True
Dante Exum,203957,2024-11-25,DAL @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Dante Exum,True
Dante Exum,203957,2024-11-27,DAL vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Dante Exum,True
Dante Exum,203957,2024-11-30,DAL @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,Dante Exum,True
Dante Exum,203957,2024-12-01,DAL @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Dante Exum,True
Dante Exum,203957,2024-12-03,DAL vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Dante Exum,True
Dante Exum,203957,2024-12-05,DAL @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Dante Exum,True
Dante Exum,203957,2024-12-07,DAL @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Dante Exum,True
Dante Exum,203957,2024-12-10,DAL @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Dante Exum,True
Dante Exum,203957,2024-12-15,DAL @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,Dante Exum,True
Dante Exum,203957,2024-12-19,DAL vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Dante Exum,True
Dante Exum,203957,2024-12-21,DAL vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Dante Exum,True
Dante Exum,203957,2024-12-23,DAL vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Dante Exum,True
Dante Exum,203957,2024-12-25,DAL vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Dante Exum,True
Dante Exum,203957,2024-12-27,DAL @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Dante Exum,True
Dante Exum,203957,2024-12-28,DAL @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Dante Exum,True
Dante Exum,203957,2024-12-30,DAL @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Dante Exum,True
Dante Exum,203957,2025-01-01,DAL @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Dante Exum,True
Dante Exum,203957,2025-01-03,DAL vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Dante Exum,True
Dante Exum,203957,2025-01-06,DAL @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Dante Exum,True
Dante Exum,203957,2025-01-07,DAL vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Dante Exum,True
Dante Exum,203957,2025-01-09,DAL vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Dante Exum,True
Dante Exum,203957,2025-01-12,DAL vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Dante Exum,True
Dante Exum,203957,2025-01-14,DAL vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Dante Exum,True
Dante Exum,203957,2025-01-15,DAL @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Dante Exum,True
Dante Exum,203957,2025-01-17,DAL vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Dante Exum,True
Dante Exum,203957,2025-01-20,DAL @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Dante Exum,True
Dante Exum,203957,2025-01-22,DAL vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Dante Exum,True
Dante Exum,203957,2025-01-23,DAL @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Dante Exum,True
Dante Exum,203957,2025-01-25,DAL vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Dante Exum,True
Dante Exum,203957,2025-01-27,DAL vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Dante Exum,True
Dante Exum,203957,2025-01-29,DAL @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Dante Exum,True
Dante Exum,203957,2025-01-31,DAL @ DET,L,14.0,1,2,0.5,0,1,0.0,1,2,0.5,0,2,2,1,0,0,2,2,3,-4,DET,AWAY,Dante Exum,False
Dante Exum,203957,2025-02-02,DAL @ CLE,L,21.0,5,14,0.357,1,3,0.333,3,4,0.75,1,1,2,3,2,0,1,0,14,-35,CLE,AWAY,Dante Exum,False
Dante Exum,203957,2025-02-04,DAL @ PHI,L,20.0,6,10,0.6,0,2,0.0,2,2,1.0,0,1,1,4,1,0,1,4,14,2,PHI,AWAY,Dante Exum,False
Dante Exum,203957,2025-02-06,DAL @ BOS,W,20.0,5,8,0.625,4,6,0.667,1,2,0.5,0,0,0,5,0,0,1,0,15,29,BOS,AWAY,Dante Exum,False
Dante Exum,203957,2025-02-08,DAL vs. HOU,W,21.0,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,3,0,0,0,1,4,11,HOU,HOME,Dante Exum,False
Dante Exum,203957,2025-02-10,DAL vs. SAC,L,19.0,2,5,0.4,1,2,0.5,0,4,0.0,0,2,2,6,0,0,1,2,5,-7,SAC,HOME,Dante Exum,False
Dante Exum,203957,2025-02-12,DAL vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Dante Exum,True
Dante Exum,203957,2025-02-13,DAL vs. MIA,W,24.0,11,13,0.846,2,2,1.0,3,3,1.0,1,2,3,4,2,1,1,2,27,8,MIA,HOME,Dante Exum,False
Dante Exum,203957,2025-02-21,DAL vs. NOP,W,21.0,1,7,0.143,1,4,0.25,1,2,0.5,0,2,2,4,1,1,2,0,4,-8,NOP,HOME,Dante Exum,False
Dante Exum,203957,2025-02-23,DAL @ GSW,L,20.0,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,5,0,0,1,2,5,-9,GSW,AWAY,Dante Exum,False
Dante Exum,203957,2025-02-25,DAL @ LAL,L,11.0,3,9,0.333,2,7,0.286,0,0,0.0,0,3,3,1,0,0,0,0,8,3,LAL,AWAY,Dante Exum,False
Dante Exum,203957,2025-02-27,DAL vs. CHA,W,25.0,3,4,0.75,1,1,1.0,5,5,1.0,0,3,3,3,4,1,1,1,12,-1,CHA,HOME,Dante Exum,False
Dante Exum,203957,2025-03-01,DAL vs. MIL,L,11.0,1,3,0.333,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,4,4,-2,MIL,HOME,Dante Exum,False
Dante Exum,203957,2025-03-03,DAL vs. SAC,L,22.0,2,10,0.2,1,3,0.333,0,0,0.0,0,0,0,4,0,0,4,2,5,-17,SAC,HOME,Dante Exum,False
Dante Exum,203957,2025-03-05,DAL @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Dante Exum,True
Dante Exum,203957,2025-03-07,DAL vs. MEM,L,20.0,1,6,0.167,1,3,0.333,0,0,0.0,1,1,2,1,0,0,0,2,3,-19,MEM,HOME,Dante Exum,False
Dante Exum,203957,2025-03-09,DAL vs. PHX,L,22.0,5,8,0.625,2,3,0.667,0,0,0.0,1,1,2,2,1,0,0,3,12,-14,PHX,HOME,Dante Exum,False
Dante Exum,203957,2025-03-10,DAL @ SAS,W,24.0,4,9,0.444,2,4,0.5,0,0,0.0,0,2,2,1,0,0,1,5,10,16,SAS,AWAY,Dante Exum,False
Dante Exum,203957,2025-03-12,DAL @ SAS,L,22.0,6,7,0.857,2,3,0.667,3,3,1.0,0,3,3,3,1,0,2,1,17,-16,SAS,AWAY,Dante Exum,False
Dante Exum,203957,2025-03-14,DAL @ HOU,L,7.0,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1,HOU,AWAY,Dante Exum,False
Dante Exum,203957,2025-03-16,DAL vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Dante Exum,True
Dante Exum,203957,2025-03-19,DAL @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Dante Exum,True
Dante Exum,203957,2025-03-21,DAL vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Dante Exum,True
Dante Exum,203957,2025-03-24,DAL @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Dante Exum,True
Dante Exum,203957,2025-03-25,DAL @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Dante Exum,True
Dante Exum,203957,2025-03-27,DAL @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Dante Exum,True
Dante Exum,203957,2025-03-29,DAL @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Dante Exum,True
Dante Exum,203957,2025-03-31,DAL vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Dante Exum,True
Dante Exum,203957,2025-04-02,DAL vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Dante Exum,True
Dante Exum,203957,2025-04-04,DAL @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Dante Exum,True
Dante Exum,203957,2025-04-05,DAL @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Dante Exum,True
Dante Exum,203957,2025-04-09,DAL vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Dante Exum,True
Dante Exum,203957,2025-04-11,DAL vs. TOR,W,14.0,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,3,0,0,3,2,6,10,TOR,HOME,Dante Exum,False
Dante Exum,203957,2025-04-13,DAL @ MEM,L,14.0,2,5,0.4,0,2,0.0,0,0,0.0,0,2,2,3,0,0,0,1,4,6,MEM,AWAY,Dante Exum,False
